time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"April 16 , 2003","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Brynn Cartelli (born April 16, 2003) is an American pop singer.",0,0,,57489963,2003-04-16,2003-04-16,ML
of 2016,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the summer of 2016, Cartelli was performing at a restaurant on Jetties Beach in Nantucket with a local islander when a bartender posted a video of her playing to Facebook.",3,2,== Early life ==,57489963,2016-01-01,2016-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,The Voice (2018),1,4,== Career == | === The Voice (2018) ===,57489963,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,Cartelli auditioned in 2018 to compete in the fourteenth season of The Voice.,0,5,== Career == | === The Voice (2018) ===,57489963,2018-01-01,2018-12-31,ML
"May 21 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"During part one of the Live Finale on May 21, 2018, she joined her coach, Clarkson, in a coach duet as they sang ""Don't Dream It's Over"" by Crowded House.",0,7,== Career == | === The Voice (2018) ===,57489963,2018-05-21,2018-05-21,ML
December 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Cartelli signed with Atlantic Records in December 2018.,1,11,== Career == | === After The Voice ===,57489963,2018-12-01,2018-12-31,ML
"January 24 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Cartelli opened up for Clarkson on her Meaning of Life Tour, which began on January 24, 2019.",2,11,== Career == | === After The Voice ===,57489963,2019-01-24,2019-01-24,ML
"March 19 , 2021","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"In March 19, 2021, Cartelli released the single, ""Long Way Home"" (co-written with Nathan Chapman), and on April 30, 2021, she released her next single ""If I Could"" (written with Ben Abraham).",0,12,== Career == | === After The Voice ===,57489963,2021-03-19,2021-03-19,ML
"April 30 , 2021","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"In March 19, 2021, Cartelli released the single, ""Long Way Home"" (co-written with Nathan Chapman), and on April 30, 2021, she released her next single ""If I Could"" (written with Ben Abraham).",0,12,== Career == | === After The Voice ===,57489963,2021-04-30,2021-04-30,ML
"May 28 , 2021","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"With the release of the two singles she announced on Instagram her debut EP, Based on a True Story, which was released on May 28, 2021.",2,12,== Career == | === After The Voice ===,57489963,2021-05-28,2021-05-28,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,SupportingMeaning of Life Tour (2019)  with Kelly Clarkson,0,18,== Tours ==,57489963,2019-01-01,2019-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Red Pill Blues Tour (2019) (with Maroon 5, one show)",0,19,== Tours ==,57489963,2019-01-01,2019-12-31,ML
"April 14 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Palma, Kristi (April 14, 2018).",0,22,== References == | === Sources ===,57489963,2018-04-14,2018-04-14,ML
"May 23 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Jones, Abby (May 23, 2018).",0,23,== References == | === Sources ===,57489963,2018-05-23,2018-05-23,ML
the summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"In the summer of 2016, Cartelli was performing at a restaurant on Jetties Beach in Nantucket with a local islander when a bartender posted a video of her playing to Facebook.",3,2,== Early life ==,57489963,,,ML
a week,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,The producers called her back a week later and said they wanted her to try out for the following season.,8,2,== Early life ==,57489963,,,ML
the first night,DT JJ NN,PREFIX_REGEX_1 ORDINAL_REGEX_1 DAY_TIME_REGEX,MODIFIER NUMERAL TIME,time_reference,"On the first night of the Live Playoffs, Cartelli performed the song ""Unstoppable"" by Sia.",10,5,== Career == | === The Voice (2018) ===,57489963,,,ML
that week,IN NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"The public voted her straight through to the top twelve, sparing her a second performance that week.",11,5,== Career == | === The Voice (2018) ===,57489963,,,ML
night,NN,DAY_TIME_REGEX,TIME,time_reference,"Kaleb Lee would end up joining her in the top twelve via the public vote on Team Kelly's second performance night, and D.R. King would be Clarkson's final save choice to join them both.",13,5,== Career == | === The Voice (2018) ===,57489963,,,ML
twelve week,NN NN,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Her performances included covers of ""Up to the Mountain"" by Patty Griffin in the top twelve week, ""Yoü and I"" by Lady Gaga in the top eleven week, ""Fix You"" by Coldplay in the top ten week, and ""What the World Needs Now is Love"" by Burt Bacharach in the semifinals week.",1,6,== Career == | === The Voice (2018) ===,57489963,,,ML
