time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1974,CD,YEAR_REGEX_1,TIME,time_reference,"Biel Ballester (born 1974) is a gypsy jazz guitarist from Mallorca, Spain.",0,0,,47737710,1974-01-01,1974-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Echoes from Mallorca  (Refined, 2005)",0,5,== Discography == | === As leader ===,47737710,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Live in London  (Le Q, 2006)",0,6,== Discography == | === As leader ===,47737710,2006-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Bistro de Barcelona  (Refined, 2008)",0,7,== Discography == | === As leader ===,47737710,2008-01-01,2008-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Jazz a l'Estudi  (TVC Disc, 2011)",0,8,== Discography == | === As leader ===,47737710,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"(Hot Club, 2011)",1,9,== Discography == | === As leader ===,47737710,2011-01-01,2011-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Melodium Melodynamic  (La Cupula Music, 2015)",0,10,== Discography == | === As leader ===,47737710,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"The Lowdown (Hot Club, 2015)",0,11,== Discography == | === As leader ===,47737710,2015-01-01,2015-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Jon Larsen, Short Stories from Catalonia, (Hot Club, 2013)",0,13,== Discography == | === As sideman ===,47737710,2013-01-01,2013-12-31,ML
