time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2006,CD,YEAR_REGEX_1,TIME,time_reference,Distance's involvement in Mary Anne Hobbs' 2006 BBC Radio 1 Dubstep Warz show lead to wider notoriety for him and also the genre as a whole.,2,0,,15886286,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Distance founded Chestplate in 2007.,0,3,== Career == | === Chestplate Records ===,15886286,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,My Demons (2007),0,7,== Discography == | === Albums ===,15886286,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Repercussions (2008),0,8,== Discography == | === Albums ===,15886286,2008-01-01,2008-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,Dynamis (2016),0,9,== Discography == | === Albums ===,15886286,2016-01-01,2016-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,Trust My Logic/Horizon (2003),0,11,== Discography == | === Extended plays ===,15886286,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,Nomad (2004),0,12,== Discography == | === Extended plays ===,15886286,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,Studio Gangsters (2004),0,13,== Discography == | === Extended plays ===,15886286,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,Closer than you think (2004),0,14,== Discography == | === Extended plays ===,15886286,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,Replicant (2005),0,15,== Discography == | === Extended plays ===,15886286,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,1 on 1/Empire (2005),0,16,== Discography == | === Extended plays ===,15886286,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,Bahl Fwd/Temptations (with Skream) (2006),0,17,== Discography == | === Extended plays ===,15886286,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,Travels/Wiseman (with Skream) (2006),0,18,== Discography == | === Extended plays ===,15886286,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,Traffic/Cyclops (2006),0,19,== Discography == | === Extended plays ===,15886286,2006-01-01,2006-12-31,ML
Fallen/Taipan,NNP,SEASON_REGEX,TIME,time_reference,Fallen/Taipan (2006),0,20,== Discography == | === Extended plays ===,15886286,,,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,Fallen/Taipan (2006),0,20,== Discography == | === Extended plays ===,15886286,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Feel me/Battle sequence (2007),0,21,== Discography == | === Extended plays ===,15886286,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Political Warfare/Radical (with Skream) (2007),0,22,== Discography == | === Extended plays ===,15886286,2007-01-01,2007-12-31,ML
Fallen,NNP,SEASON_REGEX,TIME,time_reference,Fallen (Vex'd remix) (2007),0,23,== Discography == | === Extended plays ===,15886286,,,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Fallen (Vex'd remix) (2007),0,23,== Discography == | === Extended plays ===,15886286,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Aqualung/Nomad (Scuba remix) (2007),0,24,== Discography == | === Extended plays ===,15886286,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Headstrung/No sunshine (2008),0,25,== Discography == | === Extended plays ===,15886286,2008-01-01,2008-12-31,ML
day,NN,TIME_UNIT_REGEX,TIME,time_reference,V/Present day (2008),0,26,== Discography == | === Extended plays ===,15886286,,,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,V/Present day (2008),0,26,== Discography == | === Extended plays ===,15886286,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Victim Support/Misfit (2008),0,27,== Discography == | === Extended plays ===,15886286,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Violate/Silence (2008) (with Cyrus),0,28,== Discography == | === Extended plays ===,15886286,2008-01-01,2008-12-31,ML
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,Night Vision/Traffic (remixes) (2009),0,29,== Discography == | === Extended plays ===,15886286,,,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Night Vision/Traffic (remixes) (2009),0,29,== Discography == | === Extended plays ===,15886286,2009-01-01,2009-12-31,ML
Twilight/V,NNP,DAY_TIME_REGEX,TIME,time_reference,Twilight/V (Pinch remix) (2009),0,30,== Discography == | === Extended plays ===,15886286,,,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Twilight/V (Pinch remix) (2009),0,30,== Discography == | === Extended plays ===,15886286,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Clockwork/One Blood, One source (Distance remix) (with Pinch) (2009)",0,31,== Discography == | === Extended plays ===,15886286,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Choke Hold/Surrender (with Benga and Cyrus) (2009),0,32,== Discography == | === Extended plays ===,15886286,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Skys Alight/ 1 Regret (2009),0,33,== Discography == | === Extended plays ===,15886286,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,Menace/Beyond (2010),0,34,== Discography == | === Extended plays ===,15886286,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,Falling (2010),0,35,== Discography == | === Extended plays ===,15886286,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,No warning/Jungle fears (2010),0,36,== Discography == | === Extended plays ===,15886286,2010-01-01,2010-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,Meanstreak (2011),0,37,== Discography == | === Extended plays ===,15886286,2011-01-01,2011-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,A result of sound/ Desterted (2012),0,38,== Discography == | === Extended plays ===,15886286,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Blue Meanie/Searching (2012),0,39,== Discography == | === Extended plays ===,15886286,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Reboot/Bazurk (2012),0,40,== Discography == | === Extended plays ===,15886286,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Aftershock/Blame (with Tunnidge) (2012),0,41,== Discography == | === Extended plays ===,15886286,2012-01-01,2012-12-31,ML
