time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1982 to 1991,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"Onslaught are a British thrash metal band from Bristol, England, active from 1982 to 1991 and again since 2005.",0,0,,4272959,1982-01-01,1991-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Onslaught are a British thrash metal band from Bristol, England, active from 1982 to 1991 and again since 2005.",0,0,,4272959,2005-01-01,2005-12-31,ML
1982–1985,CD,YEAR_REGEX_1,TIME,time_reference,Origins and Power from Hell (1982–1985),1,2,== History == | === Origins and Power from Hell (1982–1985) ===,4272959,1982-01-01,1985-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,"Onslaught were formed in 1982 in Bristol, England, by guitarist Nige Rockett and drummer Steve Grice.",0,3,== History == | === Origins and Power from Hell (1982–1985) ===,4272959,1982-01-01,1982-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,"In 1985, the duo were joined by bass player Jase Stallard and vocalist Paul Mahoney.",2,3,== History == | === Origins and Power from Hell (1982–1985) ===,4272959,1985-01-01,1985-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,"The band signed to Children of the Revolution Records, and released their album, Power from Hell, in 1985 as a result.",6,3,== History == | === Origins and Power from Hell (1982–1985) ===,4272959,1985-01-01,1985-12-31,ML
1985–1991,CD,YEAR_REGEX_1,TIME,time_reference,"The Force, In Search of Sanity and breakup (1985–1991) ===",1,4,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,1985-01-01,1991-12-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,"Jase Stallard (who had joined Onslaught in 1984) retained his place in the band, but took over bass duties from a hired bassist, who in turn assumed the role of rhythm guitarist, giving the band a second guitarist.",0,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,1984-01-01,1984-12-31,ML
of 1986,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"During the first months of 1986, the new line-up was ready to record their second album, The Force, in a recording studio in London.",1,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,1986-01-01,1986-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,Chris Dahlkvist left the band later in 1986 and was replaced by James Hinder.,4,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,1986-01-01,1986-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"In 1987, Jase Stallard's guitar playing came into question, so Rockett dismissed him and replaced him with Rob Trotman.",5,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,1987-01-01,1987-12-31,ML
mid 1989,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Owing to this development, the release of the album was delayed until mid 1989.",12,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,1989-01-01,1989-12-31,ML
early 1990,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In early 1990, Steve Grimmett decided to leave the band due to personal reasons, and was replaced by Tony O'Hora.",18,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,1990-01-01,1990-12-31,ML
early 1991,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Roadrunner offered them £50,000 but Rockett declined to sign for an indie label, and they decided to disband in early 1991.",21,5,"== History == | === The Force, In Search of Sanity and breakup (1985–1991) ===",4272959,1991-01-01,1991-12-31,ML
2005–2018,CD,YEAR_REGEX_1,TIME,time_reference,Reunion and more albums (2005–2018),1,6,== History == | === Reunion and more albums (2005–2018) ===,4272959,2005-01-01,2018-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"In 2005, the band was reformed by Steve Grice and was joined by Sy Keeler, Nige Rockett, and James Hinder.",0,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Writing for the band's fourth album, Killing Peace, began in 2005, and the album was released in early 2007.",2,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2005-01-01,2005-12-31,ML
early 2007,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Writing for the band's fourth album, Killing Peace, began in 2005, and the album was released in early 2007.",2,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2007-01-01,2007-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Bassist James Hinder left the band in 2006, before the release of Killing Peace, and was replaced by Jeff Williams.",3,7,== History == | === Reunion and more albums (2005–2018) ===,4272959,2006-01-01,2006-12-31,ML
