time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
26 October 1985,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Stéphanie Alexandra Mina Sokolinski (born 26 October 1985), known professionally as Soko (stylized as SoKo), is a French singer-songwriter, musician and actress.",0,0,,13726145,1985-10-26,1985-10-26,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Soko released her debut single ""I'll Kill Her"" in 2007.",0,1,,13726145,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"It achieved airplay success in several European countries as well as Australia, and was included on her first EP Not Sokute (2007).",1,1,,13726145,2007-01-01,2007-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"I Was an Alien was released in 2012 and contains the single ""We Might Be Dead by Tomorrow"", which peaked at number nine on the Billboard Hot 100.",3,1,,13726145,2012-01-01,2012-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,Ensuing years saw the releases of her second and third studio albums My Dreams Dictate My Reality (2015) and Feel Feelings (2020).,4,1,,13726145,2015-01-01,2015-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,Ensuing years saw the releases of her second and third studio albums My Dreams Dictate My Reality (2015) and Feel Feelings (2020).,4,1,,13726145,2020-01-01,2020-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"As an actress, Soko began appearing in a number of French productions in the early 2000s and earned a César Award for Most Promising Actress nomination for her role in the film In the Beginning (2009).",0,2,,13726145,2009-01-01,2009-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,She won the Courage in Acting Award at the Women Film Critics Circle Awards and the Best Actress award at the Mar del Plata Film Festival for her role as Augustine in the film of the same name (2012).,1,2,,13726145,2012-01-01,2012-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"She later appeared in the short film First Kiss (2014), which featured ""We Might Be Dead by Tomorrow"" and contributed to the song's chart success.",2,2,,13726145,2014-01-01,2014-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,Her role as Loie Fuller in The Dancer (2016) earned her Best Actress nominations at the César and Lumières Awards.,3,2,,13726145,2016-01-01,2016-12-31,ML
