time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
1929,CD,YEAR_REGEX_1,TIME,time_reference,3,2,1929-01-01,1929-12-31,ML
1930 to 1939,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,4,2,1930-01-01,1939-12-31,ML
1932,CD,YEAR_REGEX_1,TIME,time_reference,5,2,1932-01-01,1932-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,8,2,1944-01-01,1944-12-31,ML
1958,CD,YEAR_REGEX_1,TIME,time_reference,9,2,1958-01-01,1958-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,1,6,2001-01-01,2001-12-31,ML
"October 16 , 1902 – June 15 , 1988","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0,1902-10-16,1988-06-15,LLM
Early years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,1,1,,,ML
a year,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,3,2,,,ML
