time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
of the Year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,She was the recipient of New Talent of the Year at the 2020 National Indigenous Music Awards and won the ARIA Award for Best Soul/R&B Release at the 2020 ARIA Music Awards.,1,0,,64986370,,,ML
the 2020,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,She was the recipient of New Talent of the Year at the 2020 National Indigenous Music Awards and won the ARIA Award for Best Soul/R&B Release at the 2020 ARIA Music Awards.,1,0,,64986370,2020-01-01,2020-12-31,ML
2019–2020,CD,YEAR_REGEX_1,TIME,time_reference,2019–2020: Nyaaringu =,1,4,== Career == | === 2019–2020: Nyaaringu ===,64986370,2019-01-01,2020-12-31,ML
June 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Miiesha made her debut single ""Black Privilege"" in June 2019.",0,5,== Career == | === 2019–2020: Nyaaringu ===,64986370,2019-06-01,2019-06-30,ML
May 2020,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In May 2020, Miiesha released her debut album titled, Nyaaringu; a project of 9 songs tied together through the common themes of her life, her community and her people.",1,5,== Career == | === 2019–2020: Nyaaringu ===,64986370,2020-05-01,2020-05-31,ML
the 2020,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,the album peaked at number 28 on the ARIA Charts and won the ARIA Award for Best Soul/R&B Release at the 2020 ARIA Music Awards.,3,5,== Career == | === 2019–2020: Nyaaringu ===,64986370,2020-01-01,2020-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,2021: Smoke & Mirrors ===,1,6,== Career == | === 2021: Smoke & Mirrors ===,64986370,2021-01-01,2021-12-31,ML
14 May 2021,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 14 May 2021, Miiesha released ""Damaged"", which Miiesha said is her ""most personal song yet"".",0,7,== Career == | === 2021: Smoke & Mirrors ===,64986370,2021-05-14,2021-05-14,ML
of the Year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,It won Song of the Year at the National Indigenous Music Awards 2021.,1,7,== Career == | === 2021: Smoke & Mirrors ===,64986370,,,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,It won Song of the Year at the National Indigenous Music Awards 2021.,1,7,== Career == | === 2021: Smoke & Mirrors ===,64986370,2021-01-01,2021-12-31,ML
16 July 2021,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 16 July 2021, Miiesha released ""Made for Silence"".",2,7,== Career == | === 2021: Smoke & Mirrors ===,64986370,2021-07-16,2021-07-16,ML
September 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2021, Miiesha announced a double-EP project titled Smoke & Mirrors, with the first part scheduled for release in November 2021.",3,7,== Career == | === 2021: Smoke & Mirrors ===,64986370,2021-09-01,2021-09-30,ML
November 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2021, Miiesha announced a double-EP project titled Smoke & Mirrors, with the first part scheduled for release in November 2021.",3,7,== Career == | === 2021: Smoke & Mirrors ===,64986370,2021-11-01,2021-11-30,ML
of 2020,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"As of 2020, Miiesha has received 5 nominations and Best Soul/R&B Release.",1,18,== Awards and nominations == | === ARIA Music Awards ===,64986370,2020-01-01,2020-12-31,ML
the year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"The Australian Music Prize (the AMP) is an annual award of $30,000 given to an Australian band or solo artist in recognition of the merit of an album released during the year of award.",0,20,== Awards and nominations == | === Australian Music Prize ===,64986370,,,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,They commenced in 2005.,1,20,== Awards and nominations == | === Australian Music Prize ===,64986370,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,The J Awards are an annual series of Australian music awards that were established by the Australian Broadcasting Corporation's youth-focused radio station Triple J. They commenced in 2005.,0,22,== Awards and nominations == | === J Awards ===,64986370,2005-01-01,2005-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,They commenced in 2004.,1,24,== Awards and nominations == | === National Indigenous Music Awards ===,64986370,2004-01-01,2004-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,The awards commenced in 2016.,1,26,== Awards and nominations == | === National Live Music Awards ===,64986370,2016-01-01,2016-12-31,ML
previously,RB,TIMELINE_REGEX,TIME,time_reference,"The Queensland Music Awards (previously known as Q Song Awards) are annual awards celebrating Queensland, Australia's brightest emerging artists and established legends.",0,28,== Awards and nominations == | === Queensland Music Awards ===,64986370,,,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,They commenced in 2006.,1,28,== Awards and nominations == | === Queensland Music Awards ===,64986370,2006-01-01,2006-12-31,ML
