time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"May 2 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"She released her debut single, ""Wait"", on May 2, 2018, under Universal Music Group's record label 10:22pm.",1,0,,57897032,2018-05-02,2018-05-02,ML
"September 30th , 1992","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Jeffries was born on September 30th, 1992, in Coronado, California.",0,2,== Early life and education ==,57897032,1992-09-30,1992-09-30,ML
2018–present,CD,YEAR_REGEX_1,TIME,time_reference,2018–present: Calculated Luck ===,1,4,== Music career == | === 2018–present: Calculated Luck ===,57897032,2018-01-01,,ML
10:22 pm,CD NN,DIGIT_REGEX_1 HALFDAY_REGEX_1,NUMERAL TIME,,"Shortly after being signed to the Universal Music Group label 10:22 pm, it was announced that Jeffries would release her debut single on May 4, 2018.",0,5,== Music career == | === 2018–present: Calculated Luck ===,57897032,,,ML
"May 4 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Shortly after being signed to the Universal Music Group label 10:22 pm, it was announced that Jeffries would release her debut single on May 4, 2018.",0,5,== Music career == | === 2018–present: Calculated Luck ===,57897032,2018-05-04,2018-05-04,ML
"May 4 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Wait"" was officially released on May 4, 2018.",2,5,== Music career == | === 2018–present: Calculated Luck ===,57897032,2018-05-04,2018-05-04,ML
"June 5 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"A vertical music video for the single was released on June 5, 2018.",3,5,== Music career == | === 2018–present: Calculated Luck ===,57897032,2018-06-05,2018-06-05,ML
"July 13 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Jeffries released her second single, ""Both Sides"", on July 13, 2018, featuring Vory.",4,5,== Music career == | === 2018–present: Calculated Luck ===,57897032,2018-07-13,2018-07-13,ML
"August 10 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"A third single was released on August 10, 2018, called ""Better"".",5,5,== Music career == | === 2018–present: Calculated Luck ===,57897032,2018-08-10,2018-08-10,ML
"February 1 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On February 1, 2019, Jeffries released her fourth single ""Facts"", which features American rappers YG, Rich The Kid, and BIA.",7,5,== Music career == | === 2018–present: Calculated Luck ===,57897032,2019-02-01,2019-02-01,ML
day,NN,TIME_UNIT_REGEX,TIME,time_reference,A lyric video was released the same day.,8,5,== Music career == | === 2018–present: Calculated Luck ===,57897032,,,ML
