time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
"June 1 , 1945","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0,1945-06-01,1945-06-01,ML
about 2014,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,0,2014-01-01,2014-12-31,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,0,2,1960-01-01,1960-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,1,3,2006-01-01,2006-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,0,4,2005-01-01,2005-12-31,ML
February 2006,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,2,4,2006-02-01,2006-02-28,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,0,5,2006-01-01,2006-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,1,5,2007-01-01,2007-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,3,5,2009-01-01,2009-12-31,ML
"September 25 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,6,2010-09-25,2010-09-25,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,0,7,2011-01-01,2011-12-31,ML
late 2016,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,4,7,2016-01-01,2016-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,0,10,1968-01-01,1968-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,18,1969-01-01,1969-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,1,28,1969-01-01,1969-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,0,41,1970-01-01,1970-12-31,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,1,50,1971-01-01,1971-12-31,ML
1972,CD,YEAR_REGEX_1,TIME,time_reference,1,59,1972-01-01,1972-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,0,68,2006-01-01,2006-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,0,83,2016-01-01,2016-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,1,95,1980-01-01,1980-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,0,99,1977-01-01,1977-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,0,107,1977-01-01,1977-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,0,117,1979-01-01,1979-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,1,127,1980-01-01,1980-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,0,138,1981-01-01,1981-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,0,149,1982-01-01,1982-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,0,160,1983-01-01,1983-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,0,172,1990-01-01,1990-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,0,182,1995-01-01,1995-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,0,195,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,0,206,2002-01-01,2002-12-31,ML
more than 40 years,JJR IN CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,1,1,1980-01-01,2020-01-01,LLM
more recently,RBR RB,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,1,0,,,ML
Year,NNP,TIME_UNIT_REGEX,TIME,time_reference,3,0,,,ML
an August 2006,DT NNP CD,INARTICLE_REGEX MONTH_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,0,2,,,ML
two years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,5,,,ML
lasted five years,VBD CD NNS,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,,2,7,,,ML
Tomorrow,NN,TIMELINE_REGEX,TIME,time_reference,0,37,,,ML
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,0,68,,,ML
Day,NNP,TIME_UNIT_REGEX,TIME,time_reference,0,75,,,ML
Today,NN,TIMELINE_REGEX,TIME,time_reference,0,76,,,ML
Day,NNP,TIME_UNIT_REGEX,TIME,time_reference,0,80,,,ML
Dawn,NNP,DAY_TIME_REGEX,TIME,time_reference,0,83,,,ML
Sunset,NNP,DAY_TIME_REGEX,TIME,time_reference,1,83,,,ML
Dawn,NNP,DAY_TIME_REGEX,TIME,time_reference,0,85,,,ML
a Fall,DT NN,INARTICLE_REGEX SEASON_REGEX,MODIFIER TIME,time_reference,0,89,,,ML
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,0,157,,,ML
Every Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,186,,,ML
Now,RB,TIMELINE_REGEX,TIME,time_reference,0,198,,,ML
the years,DT NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,212,,,ML
