time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2017,CD,YEAR_REGEX_1,TIME,time_reference,"In 2017, she was the Triple J Unearthed National Indigenous Winner.",2,0,,58730191,2017-01-01,2017-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,She released her debut album Friends with Feelings in 2018 and toured nationally with Emily Wurramara.,3,0,,58730191,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,They commenced in 2018.,1,7,== Awards and nominations == | === Australian Women in Music Awards ===,58730191,2018-01-01,2018-12-31,ML
night,NN,DAY_TIME_REGEX,TIME,time_reference,"The Music Victoria Awards, are an annual awards night celebrating Victorian music.",0,9,== Awards and nominations == | === Music Victoria Awards ===,58730191,,,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,They commenced in 2005.,1,9,== Awards and nominations == | === Music Victoria Awards ===,58730191,2005-01-01,2005-12-31,ML
