time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
November 1961,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Andrew James Hamilton Lownie FRHistS (born November 1961)  is a British biographer and literary agent.,0,0,,61590314,1961-11-01,1961-11-30,ML
Easter,NNP,HOLIDAY_REGEX,TIME,time_reference,"He was educated at Westminster School and Magdalene College, Cambridge, and was President of the Cambridge Union in Easter term 1984.",0,2,== Biography ==,61590314,,,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,"He was educated at Westminster School and Magdalene College, Cambridge, and was President of the Cambridge Union in Easter term 1984.",0,2,== Biography ==,61590314,1984-01-01,1984-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,Lownie founded his eponymous literary agency in 1988.,0,3,== Biography ==,61590314,1988-01-01,1988-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"While researching for his  book on the Mountbattens, Lownie found himself blocked by the Cabinet Office and University of Southampton, despite buying their archive to ‘ensure public access’ in 2011.",3,3,== Biography ==,61590314,2011-01-01,2011-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,"In 2021 Lownie published The Traitor King, a biography based on fresh sources of Duke of Windsor — the former Edward VIII, a Nazi sympathiser who gave aid and comfort to his country’s enemies before and during the Second World War.",4,3,== Biography ==,61590314,2021-01-01,2021-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Lownie, Andrew (1995).",0,5,== Selected publications ==,61590314,1995-01-01,1995-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Lownie, Andrew (2000).",0,6,== Selected publications ==,61590314,2000-01-01,2000-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,(earlier ed 1992 Canongate Press),4,6,== Selected publications ==,61590314,1992-01-01,1992-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Lownie, Andrew (2016).",0,7,== Selected publications ==,61590314,2016-01-01,2016-12-31,ML
22 August 2019,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Lownie, Andrew (22 August 2019).",0,8,== Selected publications ==,61590314,2019-08-22,2019-08-22,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,"Lownie, Andrew (2021).",0,9,== Selected publications ==,61590314,2021-01-01,2021-12-31,ML
