time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2 May 1950,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Alan Reid (born 2 May 1950, Glasgow, Scotland) is a Scottish folk multi-instrumentalist and songwriter.",0,0,,31376078,1950-05-02,1950-05-02,ML
1969–2010,CD,YEAR_REGEX_1,TIME,time_reference,1969–2010: the Battlefield Band years =,1,2,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,1969-01-01,2010-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,"Alan Reid joined Battlefield Band in 1969, at a time when they were evolving into a folk group.",0,3,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,1969-01-01,1969-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,"From 1973, Battlefield Band quickly became pre-eminent in the emerging Scottish Traditional music scene, becoming established firmly at the forefront where they remain today.",1,3,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,1973-01-01,1973-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"Battlefield Band made two albums with the Breton label Arfolk (released in 1976 & 1978) and three albums with the Topic label (released in 1977, 1978 & 1979) but since 1980 have recorded exclusively with Temple Records.",2,3,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,1976-01-01,1976-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,"Battlefield Band made two albums with the Breton label Arfolk (released in 1976 & 1978) and three albums with the Topic label (released in 1977, 1978 & 1979) but since 1980 have recorded exclusively with Temple Records.",2,3,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,1978-01-01,1978-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,"Battlefield Band made two albums with the Breton label Arfolk (released in 1976 & 1978) and three albums with the Topic label (released in 1977, 1978 & 1979) but since 1980 have recorded exclusively with Temple Records.",2,3,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,1979-01-01,1979-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"Battlefield Band made two albums with the Breton label Arfolk (released in 1976 & 1978) and three albums with the Topic label (released in 1977, 1978 & 1979) but since 1980 have recorded exclusively with Temple Records.",2,3,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,1980-01-01,1980-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"In 1997, while remaining a member of Battlefield Band, Reid released his first solo album, The Sunlit Eye, on Temple Records.",0,4,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,1997-01-01,1997-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"In 2001, a song and tune book Martyrs Rogues and Worthies was released by Kinmor Music, the publishing arm of Temple Records.",2,4,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,Reid also formed a duo with singer/guitarist Rob van Sante and released a CD in 2002 entitled Under The Blue which featured more new songs.,3,4,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,2002-01-01,2002-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, he was nominated at the Scots Traditional Awards in the Composer of the Year category.",6,4,== Biography == | === 1969–2010: the Battlefield Band years ===,31376078,2009-01-01,2009-12-31,ML
