time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
"February 11 , 1928","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0,1928-02-11,1928-02-11,ML
1946,CD,YEAR_REGEX_1,TIME,time_reference,0,4,1946-01-01,1946-12-31,ML
"November 19 , 1950","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,5,1950-11-19,1950-11-19,ML
1953,CD,YEAR_REGEX_1,TIME,time_reference,1,5,1953-01-01,1953-12-31,ML
1949,CD,YEAR_REGEX_1,TIME,time_reference,1,6,1949-01-01,1949-12-31,ML
the late 1970s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,2,6,1977-01-01,1979-12-31,LLM
The next year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,1,4,,,ML
