time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
December 1948,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,2,2,1948-12-01,1948-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,4,2,1956-01-01,1956-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,6,2,1956-01-01,1956-12-31,ML
1963,CD,YEAR_REGEX_1,TIME,time_reference,0,3,1963-01-01,1963-12-31,ML
the 1960s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,3,1960-01-01,1969-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,6,3,1957-01-01,1957-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,7,3,1990-01-01,1990-12-31,ML
"December 5 , 1972","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,8,3,1972-12-05,1972-12-05,ML
"June 25 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,9,3,2019-06-25,2019-06-25,ML
the 2008,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,9,3,2008-01-01,2008-12-31,ML
1953,CD,YEAR_REGEX_1,TIME,time_reference,0,6,1953-01-01,1953-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,7,1955-01-01,1955-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,8,1956-01-01,1956-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,9,1956-01-01,1956-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,10,1957-01-01,1957-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,11,1957-01-01,1957-12-31,ML
