time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"January 26 , 1955","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Takayuki Haga (芳賀 隆之, Haga Takayuki, born January 26, 1955), better known by the stage name George Tokoro (所ジョージ, Tokoro Jōji), is a Japanese comedian, TV personality, singer-songwriter, and essayist.",0,0,,16962531,1955-01-26,1955-01-26,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,Madadayo (1993) - Amaki,0,3,== Works == | === Film ===,16962531,1993-01-01,1993-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Ponyo (2008) - Fujimoto (voice),0,4,== Works == | === Film ===,16962531,2008-01-01,2008-12-31,ML
mo,NN,TIME_UNIT_REGEX,TIME,time_reference,Tokoro-san no Mamoru mo Semeru mo (xxxx) (Family Computer),0,7,== Works == | === Video games ===,16962531,,,ML
