time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"July 19 , 1972","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Naohito Fujiki (藤木 直人, Fujiki Naohito, born July 19, 1972) is a Japanese actor and singer.",0,0,,4841179,1972-07-19,1972-07-19,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,MUSIC P.V.expo (2000),0,5,== Filmography == | === TV series ===,4841179,2000-01-01,2000-12-31,ML
1999.07.07,CD,YEAR_REGEX_1,TIME,time_reference,[1999.07.07] 世界の果て ～the end of the world～,0,12,== Discography == | === Singles ===,4841179,,,ML
1999.11.17,CD,YEAR_REGEX_1,TIME,time_reference,[1999.11.17] 虹 ～waiting for the rainbow～,0,13,== Discography == | === Singles ===,4841179,,,ML
2000.07.19,CD,YEAR_REGEX_1,TIME,time_reference,[2000.07.19] パーフェクトワールド (Perfect World),0,14,== Discography == | === Singles ===,4841179,,,ML
2000.11.01,CD,YEAR_REGEX_1,TIME,time_reference,[2000.11.01] コズミックライダー (Cosmic Rider),0,15,== Discography == | === Singles ===,4841179,,,ML
2001.04.18,CD,YEAR_REGEX_1,TIME,time_reference,[2001.04.18] 2 HEARTS,0,16,== Discography == | === Singles ===,4841179,,,ML
2001.08.01,CD,YEAR_REGEX_1,TIME,time_reference,[2001.08.01] anon,0,17,== Discography == | === Singles ===,4841179,,,ML
2001.11.21,CD,YEAR_REGEX_1,TIME,time_reference,[2001.11.21] パズル (Puzzle),0,18,== Discography == | === Singles ===,4841179,,,ML
2002.02.20,CD,YEAR_REGEX_1,TIME,time_reference,[2002.02.20] Wonderful Days,0,19,== Discography == | === Singles ===,4841179,,,ML
Days,NNS,TIME_UNIT_REGEX,TIME,time_reference,[2002.02.20] Wonderful Days,0,19,== Discography == | === Singles ===,4841179,,,ML
2002.09.04,CD,YEAR_REGEX_1,TIME,time_reference,[2002.09.04] So Long... / 涙のいろ,0,20,== Discography == | === Singles ===,4841179,,,ML
2003.02.19,CD,YEAR_REGEX_1,TIME,time_reference,[2003.02.19] 天使ノ虹,0,21,== Discography == | === Singles ===,4841179,,,ML
2003.11.19,CD,YEAR_REGEX_1,TIME,time_reference,[2003.11.19] Flower,0,22,== Discography == | === Singles ===,4841179,,,ML
2004.12.01,CD,YEAR_REGEX_1,TIME,time_reference,[2004.12.01] シュクメイ (Shukumei),0,23,== Discography == | === Singles ===,4841179,,,ML
2006.05.17,CD,YEAR_REGEX_1,TIME,time_reference,[2006.05.17] HEY!,0,24,== Discography == | === Singles ===,4841179,,,ML
2007.10.10,CD,YEAR_REGEX_1,TIME,time_reference,[2007.10.10] Tuning Note,0,25,== Discography == | === Singles ===,4841179,,,ML
2009.05.13,CD,YEAR_REGEX_1,TIME,time_reference,[2009.05.13] CRIME OF LOVE / いいんだぜ～君がいてくれれば～,0,26,== Discography == | === Singles ===,4841179,,,ML
2000.12.06,CD,YEAR_REGEX_1,TIME,time_reference,[2000.12.06] BUMP!,0,28,== Discography == | === Albums ===,4841179,,,ML
2002.03.20,CD,YEAR_REGEX_1,TIME,time_reference,[2002.03.20] WARP,0,29,== Discography == | === Albums ===,4841179,,,ML
2003.03.05,CD,YEAR_REGEX_1,TIME,time_reference,[2003.03.05] 03,0,30,== Discography == | === Albums ===,4841179,,,ML
2004.12.08,CD,YEAR_REGEX_1,TIME,time_reference,[2004.12.08] COLORMAN,0,31,== Discography == | === Albums ===,4841179,,,ML
2006.07.19,CD,YEAR_REGEX_1,TIME,time_reference,[2006.07.19] LIFE GOES ON!,0,32,== Discography == | === Albums ===,4841179,,,ML
2007.10.24,CD,YEAR_REGEX_1,TIME,time_reference,[2007.10.24] Reverse,0,33,== Discography == | === Albums ===,4841179,,,ML
2009.06.10,CD,YEAR_REGEX_1,TIME,time_reference,[2009.06.10] ∞ Octave,0,34,== Discography == | === Albums ===,4841179,,,ML
2009.07.15,CD,YEAR_REGEX_1,TIME,time_reference,[2009.07.15] HISTORY of NAOHITO FUJIKI 10TH ANNIVERSARY BOX,0,35,== Discography == | === Albums ===,4841179,,,ML
2004.07.28,CD,YEAR_REGEX_1,TIME,time_reference,[2004.07.28] 夏歌ウ者ハ冬泣ク,0,37,== Discography == | === Mini Album ===,4841179,,,ML
2001.01.10,CD,YEAR_REGEX_1,TIME,time_reference,[2001.01.10] nao-hit TV ver1.0,0,39,== Discography == | === DVD ===,4841179,,,ML
2001.11.21,CD,YEAR_REGEX_1,TIME,time_reference,[2001.11.21] 別冊 nao-hit TV ～2001 limited～,0,40,== Discography == | === DVD ===,4841179,,,ML
2002.09.04,CD,YEAR_REGEX_1,TIME,time_reference,[2002.09.04] NAO-HIT TV LIVE TOUR ver4.0 ～吉他小子的動作喜劇電影和演唱曾～,0,41,== Discography == | === DVD ===,4841179,,,ML
2002.12.18,CD,YEAR_REGEX_1,TIME,time_reference,[2002.12.18] NAO-HIT TV Live Tour ver.4.0 Complete Box,0,42,== Discography == | === DVD ===,4841179,,,ML
