time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
1956,CD,YEAR_REGEX_1,TIME,time_reference,1,0,1956-01-01,1956-12-31,ML
"February 11 , 1935","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,3,1935-02-11,1935-02-11,ML
1952,CD,YEAR_REGEX_1,TIME,time_reference,0,5,1952-01-01,1952-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,6,1955-01-01,1955-12-31,ML
"July 4 , 1955","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,1,6,1955-07-04,1955-07-04,ML
late 1956,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,8,1956-01-01,1956-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,10,1956-01-01,1956-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,8,10,1956-01-01,1956-12-31,ML
late 1956,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,9,10,1956-01-01,1956-12-31,ML
early 1957,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,9,10,1957-01-01,1957-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,12,10,1957-01-01,1957-12-31,ML
"October 28 , 1957","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,16,10,1957-10-28,1957-10-28,ML
"November 17 , 1957","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,17,10,1957-11-17,1957-11-17,ML
"January 23 , 1958","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,18,10,1958-01-23,1958-01-23,ML
"October 25 , 1958","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,22,10,1958-10-25,1958-10-25,ML
"December 15 , 1959","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,1,12,1959-12-15,1959-12-15,ML
"April 16 , 1960","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,5,12,1960-04-16,1960-04-16,ML
1961,CD,YEAR_REGEX_1,TIME,time_reference,10,12,1961-01-01,1961-12-31,ML
1962,CD,YEAR_REGEX_1,TIME,time_reference,11,12,1962-01-01,1962-12-31,ML
1963,CD,YEAR_REGEX_1,TIME,time_reference,12,12,1963-01-01,1963-12-31,ML
1963,CD,YEAR_REGEX_1,TIME,time_reference,13,12,1963-01-01,1963-12-31,ML
1963,CD,YEAR_REGEX_1,TIME,time_reference,16,12,1963-01-01,1963-12-31,ML
1966 and 1967,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,0,15,1966-01-01,1967-12-31,ML
1967,CD,YEAR_REGEX_1,TIME,time_reference,1,15,1967-01-01,1967-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,3,15,1968-01-01,1968-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,5,15,1969-01-01,1969-12-31,ML
March 2008,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,8,15,2008-03-01,2008-03-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,9,15,1969-01-01,1969-12-31,ML
19 September 1971,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,13,15,1971-09-19,1971-09-19,ML
"September , 1974","NNP , CD",MONTH_REGEX COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_reference,19,15,1974-09-16,1974-09-16,ML
"October 12 , 1971","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,17,1971-10-12,1971-10-12,ML
the 1976,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,18,1976-01-01,1976-12-31,ML
the 1979,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,20,1979-01-01,1979-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,0,23,1997-01-01,1997-12-31,ML
1749,CD,YEAR_REGEX_1,TIME,time_reference,2,23,1749-01-01,1749-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,3,23,2012-01-01,2012-12-31,ML
"Tuesday , September 23 , 2003","NNP , NNP CD , CD",WEEK_REGEX COMMA_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,4,23,2003-09-23,2003-09-23,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,7,23,1974-01-01,1974-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,7,23,1981-01-01,1981-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,29,1957-01-01,1957-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,0,38,2019-01-01,2019-12-31,ML
2027,CD,YEAR_REGEX_1,TIME,time_reference,0,39,2027-01-01,2027-12-31,ML
1023,CD,YEAR_REGEX_1,TIME,time_reference,0,45,1023-01-01,1023-12-31,ML
1020,CD,YEAR_REGEX_1,TIME,time_reference,0,49,1020-01-01,1020-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,0,51,2021-01-01,2021-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,0,59,2013-01-01,2013-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,65,1956-01-01,1956-12-31,ML
1958,CD,YEAR_REGEX_1,TIME,time_reference,0,66,1958-01-01,1958-12-31,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,0,67,1960-01-01,1960-12-31,ML
1962,CD,YEAR_REGEX_1,TIME,time_reference,0,68,1962-01-01,1962-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,0,69,1970-01-01,1970-12-31,ML
the 2009,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,69,2009-01-01,2009-12-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,1,71,1984-01-01,1984-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,1,72,2000-01-01,2000-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,1,73,2002-01-01,2002-12-31,ML
1000,CD,YEAR_REGEX_1,TIME,time_reference,1,73,1000-01-01,1000-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2,74,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,0,75,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,0,76,2005-01-01,2005-12-31,ML
the early 1960s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,1,14,1960-01-01,1963-12-31,LLM
"February 11 , 1935 – October 12 , 1971","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0,1935-02-11,1971-10-12,LLM
now,RB,TIMELINE_REGEX,TIME,time_reference,3,3,,,ML
Years,NNS,TIME_UNIT_REGEX,TIME,time_reference,5,6,,,ML
20 weeks,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,6,10,,,ML
19 weeks,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,12,10,,,ML
year,NN,TIME_UNIT_REGEX,TIME,time_reference,14,10,,,ML
nine weeks,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,18,10,,,ML
"July 25 and November 7 , 1959","NNP CD CC NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,22,10,,,ML
the next day,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,8,12,,,ML
today,NN,TIMELINE_REGEX,TIME,time_reference,0,14,,,ML
the next day,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,4,15,,,ML
a few weeks,DT JJ NNS,INARTICLE_REGEX PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,11,15,,,ML
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,17,15,,,ML
a few days,DT JJ NNS,INARTICLE_REGEX PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,18,15,,,ML
now,RB,TIMELINE_REGEX,TIME,time_reference,21,15,,,ML
The following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,1,23,,,ML
few moments,JJ NNS,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,6,23,,,ML
the decades,DT NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,27,,,ML
20453,CD,YEAR_REGEX_1,TIME,time_reference,0,34,,,ML
33-OSX 1646,JJ CD,DIGIT_REGEX_1 YEAR_REGEX_1,NUMERAL TIME,time_reference,0,35,,,ML
Today,NNP,TIMELINE_REGEX,TIME,time_reference,0,38,,,ML
The Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,39,,,ML
14617,CD,YEAR_REGEX_1,TIME,time_reference,0,41,,,ML
'62,NNP,YEAR_REGEX_2,TIME,time_reference,0,54,,,ML
20240,CD,YEAR_REGEX_1,TIME,time_reference,1,56,,,ML
178305,CD,YEAR_REGEX_1,TIME,time_reference,0,60,,,ML
of 1969Vincent,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,69,,,ML
The Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,71,,,ML
