time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
22 September 1959 – 16 November 2008,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,Tony Reedus (22 September 1959 – 16 November 2008) was an American jazz drummer.,0,0,,22318124,,,ML
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,Reedus first gained attention performing in Woody Shaw's band during the 1980s.,0,1,,22318124,1980-01-01,1989-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"The Far Side (Jazz City, 1988)",0,5,== Discography == | === As leader ===,22318124,1988-01-01,1988-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Incognito (Enja, 1989)",0,6,== Discography == | === As leader ===,22318124,1989-01-01,1989-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Minor Thang (Criss Cross, 1996)",0,7,== Discography == | === As leader ===,22318124,1996-01-01,1996-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"People Get Ready (Sweet Basil, 1998)",0,8,== Discography == | === As leader ===,22318124,1998-01-01,1998-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Power Talk (Turnipseed, 1994)With Robin Eubanks & Steve Turre",0,11,== Discography == | === As sideman ===,22318124,1994-01-01,1994-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Dedication (JMT, 1989)With Kenny Garrett",0,12,== Discography == | === As sideman ===,22318124,1989-01-01,1989-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,Introducing Kenny Garrett (Criss Cross 1985),0,13,== Discography == | === As sideman ===,22318124,1985-01-01,1985-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,Garrett 5 (Bellaphon 1989),0,14,== Discography == | === As sideman ===,22318124,1989-01-01,1989-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,African Exchange Student (Atlantic Jazz 1990)With Benny Golson,0,15,== Discography == | === As sideman ===,22318124,1990-01-01,1990-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Benny Golson Quartet Live (Dreyfus, 1989 [1991])",0,16,== Discography == | === As sideman ===,22318124,1989-01-01,1989-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Benny Golson Quartet Live (Dreyfus, 1989 [1991])",0,16,== Discography == | === As sideman ===,22318124,1991-01-01,1991-12-31,ML
