time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"June 22 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"He has released his debut solo studio album Remarkable Timing on June 22, 2010 via Holy Toledo Productions/Sound Records & Entertainment.",1,0,,24501416,2010-06-22,2010-06-22,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010 –,0,3,== Discography ==,24501416,2010-01-01,2010-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002 – Saviorz Day,0,6,== Discography == | === with Sunz of Man ===,24501416,2002-01-01,2002-12-31,ML
Day,NNP,TIME_UNIT_REGEX,TIME,time_reference,2002 – Saviorz Day,0,6,== Discography == | === with Sunz of Man ===,24501416,,,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,2019 -,0,7,== Discography == | === with Sunz of Man ===,24501416,2019-01-01,2019-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003 – Inmates to the Fire... (hosted by DJ Swarm)Compilations2004 – Nothing New Under the Sun,0,8,== Discography == | === with Sunz of Man ===,24501416,2003-01-01,2003-12-31,ML
the Sun,DT NNP,PREFIX_REGEX_1 WEEK_ABBR_REGEX,MODIFIER TIME,time_reference,2003 – Inmates to the Fire... (hosted by DJ Swarm)Compilations2004 – Nothing New Under the Sun,0,8,== Discography == | === with Sunz of Man ===,24501416,,,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006 – The Old Testament,0,9,== Discography == | === with Sunz of Man ===,24501416,2006-01-01,2006-12-31,ML
