time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
5 August 1982,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Tobias Regner (born 5 August 1982) is a German singer and guitarist who has enjoyed success in the rock music genre.,0,0,,3902244,1982-08-05,1982-08-05,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Domestic after he won the highly publicized third season of the television series Deutschland sucht den Superstar, the German version of Pop Idol, in 2006.",2,0,,3902244,2006-01-01,2006-12-31,ML
2005–2006,CD,YEAR_REGEX_1,TIME,time_reference,2005–2006:,1,2,== Musical career == | === 2005–2006: Deutschland sucht den Superstar ===,3902244,2005-01-01,2006-12-31,ML
18 March 2006,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"After several ""re-calls"" and week-by-week performances, Regner earned a position in the Top 10 finalists, eventually making it to the final two contestants on Deutschland sucht den Superstar, and on 18 March 2006, he won the competition and earned 54.6% of the audience vote over Mike Leon Grosch, making him the first rock artist to win the show, before Thomas Godoj won the competition in 2008.",2,3,== Musical career == | === 2005–2006: Deutschland sucht den Superstar ===,3902244,2006-03-18,2006-03-18,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"After several ""re-calls"" and week-by-week performances, Regner earned a position in the Top 10 finalists, eventually making it to the final two contestants on Deutschland sucht den Superstar, and on 18 March 2006, he won the competition and earned 54.6% of the audience vote over Mike Leon Grosch, making him the first rock artist to win the show, before Thomas Godoj won the competition in 2008.",2,3,== Musical career == | === 2005–2006: Deutschland sucht den Superstar ===,3902244,2008-01-01,2008-12-31,ML
14 March 2006,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"When released as a single via Sony BMG Domestic on 14 March 2006, it instantly entered the charts at No. 1 in Austria, Germany, and Switzerland, simultaneously emerging as the biggest-selling single since 2004 within its first week of release.",4,3,== Musical career == | === 2005–2006: Deutschland sucht den Superstar ===,3902244,2006-03-14,2006-03-14,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"When released as a single via Sony BMG Domestic on 14 March 2006, it instantly entered the charts at No. 1 in Austria, Germany, and Switzerland, simultaneously emerging as the biggest-selling single since 2004 within its first week of release.",4,3,== Musical career == | === 2005–2006: Deutschland sucht den Superstar ===,3902244,2004-01-01,2004-12-31,ML
first week,JJ NN,ORDINAL_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"When released as a single via Sony BMG Domestic on 14 March 2006, it instantly entered the charts at No. 1 in Austria, Germany, and Switzerland, simultaneously emerging as the biggest-selling single since 2004 within its first week of release.",4,3,== Musical career == | === 2005–2006: Deutschland sucht den Superstar ===,3902244,,,ML
28 April 2006,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Following the successful release of ""I Still Burn"", Regner's full-length debut album Straight was released on 28 April 2006.",0,4,== Musical career == | === 2005–2006: Deutschland sucht den Superstar ===,3902244,2006-04-28,2006-04-28,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,Straight (2006) GER: #1 AT: #5 CH: #14,0,7,== Discography == | === Albums ===,3902244,2006-01-01,2006-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,Kurz unsterblich (2010),0,8,== Discography == | === Albums ===,3902244,2010-01-01,2010-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,Akustisch (2011),0,9,== Discography == | === Albums ===,3902244,2011-01-01,2011-12-31,ML
