time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"July 21 , 2015","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"His debut studio album Elephant Eyes, was released on July 21, 2015.",2,0,,43576965,2015-07-21,2015-07-21,ML
2010–2013,CD,YEAR_REGEX_1,TIME,time_reference,2010–2013,1,2,== Musical career == | === 2010–2013 ===,43576965,2010-01-01,2013-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"In 2010, Omen released his first mixtape, Delayed.",0,3,== Musical career == | === 2010–2013 ===,43576965,2010-01-01,2010-12-31,ML
2014–present,CD,YEAR_REGEX_1,TIME,time_reference,2014–present ===,1,4,== Musical career == | === 2014–present ===,43576965,2014-01-01,,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"In 2014, Omen then appeared on the Dreamville compilation mixtape Revenge of the Dreamers.",0,5,== Musical career == | === 2014–present ===,43576965,2014-01-01,2014-12-31,ML
"July 21 , 2015","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On July 21, 2015, Omen's debut album, Elephant Eyes, was released after a few setbacks and date changes.",2,5,== Musical career == | === 2014–present ===,43576965,2015-07-21,2015-07-21,ML
of 2015,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"During the Spring and Summer of 2015 Omen, was a part of the J. Cole's ""2014 Forest Hills Drive"" Tour with other acts Bas, Cozz, Pusha T, Jhene Aiko, Jeremih, YG, Big Sean, which brought him across North America as well as Europe.",3,5,== Musical career == | === 2014–present ===,43576965,2015-01-01,2015-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"During the Spring and Summer of 2015 Omen, was a part of the J. Cole's ""2014 Forest Hills Drive"" Tour with other acts Bas, Cozz, Pusha T, Jhene Aiko, Jeremih, YG, Big Sean, which brought him across North America as well as Europe.",3,5,== Musical career == | === 2014–present ===,43576965,2014-01-01,2014-12-31,ML
of 2015,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the Fall of 2015 he went on his own Elephant Eyes Tour hitting Los Angeles, as well as, Boston, New York and his Hometown Chicago.",4,5,== Musical career == | === 2014–present ===,43576965,2015-01-01,2015-12-31,ML
The following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The following year, he released critically acclaimed mixtape, Afraid of Heights.",1,3,== Musical career == | === 2010–2013 ===,43576965,,,ML
the Spring and Summer,DT NN CC NNP,PREFIX_REGEX_1 SEASON_REGEX LINKAGE_REGEX SEASON_REGEX,MODIFIER TIME MODIFIER TIME,time_reference,"During the Spring and Summer of 2015 Omen, was a part of the J. Cole's ""2014 Forest Hills Drive"" Tour with other acts Bas, Cozz, Pusha T, Jhene Aiko, Jeremih, YG, Big Sean, which brought him across North America as well as Europe.",3,5,== Musical career == | === 2014–present ===,43576965,,,ML
the Fall,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"In the Fall of 2015 he went on his own Elephant Eyes Tour hitting Los Angeles, as well as, Boston, New York and his Hometown Chicago.",4,5,== Musical career == | === 2014–present ===,43576965,,,ML
