time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
1896,CD,YEAR_REGEX_1,TIME,time_reference,0,3,1896-01-01,1896-12-31,ML
1898,CD,YEAR_REGEX_1,TIME,time_reference,0,4,1898-01-01,1898-12-31,ML
of 1905,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,4,1905-01-01,1905-12-31,ML
1908,CD,YEAR_REGEX_1,TIME,time_reference,1,4,1908-01-01,1908-12-31,ML
1927 to 1929,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,1,5,1927-01-01,1929-12-31,ML
1930,CD,YEAR_REGEX_1,TIME,time_reference,2,5,1930-01-01,1930-12-31,ML
1923,CD,YEAR_REGEX_1,TIME,time_reference,3,6,1923-01-01,1923-12-31,ML
1939,CD,YEAR_REGEX_1,TIME,time_reference,0,7,1939-01-01,1939-12-31,ML
1947,CD,YEAR_REGEX_1,TIME,time_reference,2,7,1947-01-01,1947-12-31,ML
around 1880,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,5,7,1880-01-01,1880-12-31,ML
1924,CD,YEAR_REGEX_1,TIME,time_reference,6,7,1924-01-01,1924-12-31,ML
of 1938,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,8,1938-01-01,1938-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,1,8,1943-01-01,1943-12-31,ML
1921,CD,YEAR_REGEX_1,TIME,time_reference,0,10,1921-01-01,1921-12-31,ML
1892,CD,YEAR_REGEX_1,TIME,time_reference,0,10,1892-01-01,1892-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,0,10,1977-01-01,1977-12-31,ML
1905–6,CD,YEAR_REGEX_1,TIME,time_reference,1,13,1905-01-01,2023-12-31,ML
1909,CD,YEAR_REGEX_1,TIME,time_reference,0,14,1909-01-01,1909-12-31,ML
1908–9,CD,YEAR_REGEX_1,TIME,time_reference,1,15,1908-01-01,2023-12-31,ML
1909–10,CD,YEAR_REGEX_1,TIME,time_reference,1,16,1909-01-01,2023-12-31,ML
1912–3,CD,YEAR_REGEX_1,TIME,time_reference,1,17,1912-01-01,2023-12-31,ML
1918,CD,YEAR_REGEX_1,TIME,time_reference,1,18,1918-01-01,1918-12-31,ML
1920,CD,YEAR_REGEX_1,TIME,time_reference,1,19,1920-01-01,1920-12-31,ML
1916,CD,YEAR_REGEX_1,TIME,time_reference,1,20,1916-01-01,1916-12-31,ML
1923–4,CD,YEAR_REGEX_1,TIME,time_reference,1,21,1923-01-01,2023-12-31,ML
1924,CD,YEAR_REGEX_1,TIME,time_reference,1,22,1924-01-01,1924-12-31,ML
1930,CD,YEAR_REGEX_1,TIME,time_reference,1,23,1930-01-01,1930-12-31,ML
1929,CD,YEAR_REGEX_1,TIME,time_reference,1,24,1929-01-01,1929-12-31,ML
1928–31,CD,YEAR_REGEX_1,TIME,time_reference,1,25,1928-01-01,,ML
1928–31,CD,YEAR_REGEX_1,TIME,time_reference,0,26,1928-01-01,,ML
1933,CD,YEAR_REGEX_1,TIME,time_reference,1,27,1933-01-01,1933-12-31,ML
1931–5,CD,YEAR_REGEX_1,TIME,time_reference,1,28,1931-01-01,2023-12-31,ML
1937,CD,YEAR_REGEX_1,TIME,time_reference,1,29,1937-01-01,1937-12-31,ML
1939–40,CD,YEAR_REGEX_1,TIME,time_reference,1,30,1939-01-01,2040-12-31,ML
1940,CD,YEAR_REGEX_1,TIME,time_reference,1,31,1940-01-01,1940-12-31,ML
1942,CD,YEAR_REGEX_1,TIME,time_reference,1,32,1942-01-01,1942-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,1,33,1943-01-01,1943-12-31,ML
1921,CD,YEAR_REGEX_1,TIME,time_reference,1,35,1921-01-01,1921-12-31,ML
1924–5,CD,YEAR_REGEX_1,TIME,time_reference,1,36,1924-01-01,2023-12-31,ML
1926,CD,YEAR_REGEX_1,TIME,time_reference,1,37,1926-01-01,1926-12-31,ML
1926,CD,YEAR_REGEX_1,TIME,time_reference,0,38,1926-01-01,1926-12-31,ML
1928,CD,YEAR_REGEX_1,TIME,time_reference,1,39,1928-01-01,1928-12-31,ML
1934,CD,YEAR_REGEX_1,TIME,time_reference,1,40,1934-01-01,1934-12-31,ML
1933,CD,YEAR_REGEX_1,TIME,time_reference,1,41,1933-01-01,1933-12-31,ML
1934–5,CD,YEAR_REGEX_1,TIME,time_reference,1,42,1934-01-01,2023-12-31,ML
1903,CD,YEAR_REGEX_1,TIME,time_reference,1,44,1903-01-01,1903-12-31,ML
1906,CD,YEAR_REGEX_1,TIME,time_reference,0,45,1906-01-01,1906-12-31,ML
1914,CD,YEAR_REGEX_1,TIME,time_reference,1,46,1914-01-01,1914-12-31,ML
1915,CD,YEAR_REGEX_1,TIME,time_reference,1,47,1915-01-01,1915-12-31,ML
1915,CD,YEAR_REGEX_1,TIME,time_reference,1,48,1915-01-01,1915-12-31,ML
1920,CD,YEAR_REGEX_1,TIME,time_reference,1,49,1920-01-01,1920-12-31,ML
1923–4,CD,YEAR_REGEX_1,TIME,time_reference,1,50,1923-01-01,2023-12-31,ML
1926,CD,YEAR_REGEX_1,TIME,time_reference,1,51,1926-01-01,1926-12-31,ML
1926,CD,YEAR_REGEX_1,TIME,time_reference,0,52,1926-01-01,1926-12-31,ML
1927,CD,YEAR_REGEX_1,TIME,time_reference,1,53,1927-01-01,1927-12-31,ML
1927,CD,YEAR_REGEX_1,TIME,time_reference,0,54,1927-01-01,1927-12-31,ML
1928,CD,YEAR_REGEX_1,TIME,time_reference,0,55,1928-01-01,1928-12-31,ML
1932,CD,YEAR_REGEX_1,TIME,time_reference,1,56,1932-01-01,1932-12-31,ML
1934,CD,YEAR_REGEX_1,TIME,time_reference,0,57,1934-01-01,1934-12-31,ML
1934,CD,YEAR_REGEX_1,TIME,time_reference,0,58,1934-01-01,1934-12-31,ML
1938,CD,YEAR_REGEX_1,TIME,time_reference,1,59,1938-01-01,1938-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,1,60,1943-01-01,1943-12-31,ML
1902,CD,YEAR_REGEX_1,TIME,time_reference,1,62,1902-01-01,1902-12-31,ML
1903,CD,YEAR_REGEX_1,TIME,time_reference,1,63,1903-01-01,1903-12-31,ML
1904,CD,YEAR_REGEX_1,TIME,time_reference,1,64,1904-01-01,1904-12-31,ML
1908,CD,YEAR_REGEX_1,TIME,time_reference,1,65,1908-01-01,1908-12-31,ML
1909,CD,YEAR_REGEX_1,TIME,time_reference,0,66,1909-01-01,1909-12-31,ML
1909,CD,YEAR_REGEX_1,TIME,time_reference,1,67,1909-01-01,1909-12-31,ML
1910,CD,YEAR_REGEX_1,TIME,time_reference,1,68,1910-01-01,1910-12-31,ML
1911,CD,YEAR_REGEX_1,TIME,time_reference,1,69,1911-01-01,1911-12-31,ML
1914,CD,YEAR_REGEX_1,TIME,time_reference,0,70,1914-01-01,1914-12-31,ML
1914,CD,YEAR_REGEX_1,TIME,time_reference,1,71,1914-01-01,1914-12-31,ML
1916,CD,YEAR_REGEX_1,TIME,time_reference,1,72,1916-01-01,1916-12-31,ML
1917,CD,YEAR_REGEX_1,TIME,time_reference,1,73,1917-01-01,1917-12-31,ML
1916–8,CD,YEAR_REGEX_1,TIME,time_reference,1,74,1916-01-01,2023-12-31,ML
1918,CD,YEAR_REGEX_1,TIME,time_reference,1,75,1918-01-01,1918-12-31,ML
1918,CD,YEAR_REGEX_1,TIME,time_reference,0,76,1918-01-01,1918-12-31,ML
1920,CD,YEAR_REGEX_1,TIME,time_reference,1,77,1920-01-01,1920-12-31,ML
1928,CD,YEAR_REGEX_1,TIME,time_reference,1,78,1928-01-01,1928-12-31,ML
1932,CD,YEAR_REGEX_1,TIME,time_reference,1,79,1932-01-01,1932-12-31,ML
1936,CD,YEAR_REGEX_1,TIME,time_reference,1,80,1936-01-01,1936-12-31,ML
1942,CD,YEAR_REGEX_1,TIME,time_reference,0,81,1942-01-01,1942-12-31,ML
1942,CD,YEAR_REGEX_1,TIME,time_reference,0,82,1942-01-01,1942-12-31,ML
1942–44,CD,YEAR_REGEX_1,TIME,time_reference,1,83,1942-01-01,2044-12-31,ML
1921,CD,YEAR_REGEX_1,TIME,time_reference,0,84,1921-01-01,1921-12-31,ML
1903,CD,YEAR_REGEX_1,TIME,time_reference,0,86,1903-01-01,1903-12-31,ML
1902,CD,YEAR_REGEX_1,TIME,time_reference,1,87,1902-01-01,1902-12-31,ML
1904,CD,YEAR_REGEX_1,TIME,time_reference,1,88,1904-01-01,1904-12-31,ML
1905,CD,YEAR_REGEX_1,TIME,time_reference,1,89,1905-01-01,1905-12-31,ML
1910,CD,YEAR_REGEX_1,TIME,time_reference,1,90,1910-01-01,1910-12-31,ML
1912–4,CD,YEAR_REGEX_1,TIME,time_reference,1,91,1912-01-01,2023-12-31,ML
1913,CD,YEAR_REGEX_1,TIME,time_reference,1,92,1913-01-01,1913-12-31,ML
1913,CD,YEAR_REGEX_1,TIME,time_reference,1,93,1913-01-01,1913-12-31,ML
1912,CD,YEAR_REGEX_1,TIME,time_reference,1,94,1912-01-01,1912-12-31,ML
1915,CD,YEAR_REGEX_1,TIME,time_reference,1,95,1915-01-01,1915-12-31,ML
1923,CD,YEAR_REGEX_1,TIME,time_reference,1,97,1923-01-01,1923-12-31,ML
1923,CD,YEAR_REGEX_1,TIME,time_reference,1,98,1923-01-01,1923-12-31,ML
1923,CD,YEAR_REGEX_1,TIME,time_reference,1,99,1923-01-01,1923-12-31,ML
1923,CD,YEAR_REGEX_1,TIME,time_reference,1,100,1923-01-01,1923-12-31,ML
1929,CD,YEAR_REGEX_1,TIME,time_reference,0,101,1929-01-01,1929-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,1,102,1943-01-01,1943-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,1,103,1943-01-01,1943-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,1,104,1944-01-01,1944-12-31,ML
1912–3,CD,YEAR_REGEX_1,TIME,time_reference,1,106,1912-01-01,2023-12-31,ML
1924,CD,YEAR_REGEX_1,TIME,time_reference,1,107,1924-01-01,1924-12-31,ML
1928–31,CD,YEAR_REGEX_1,TIME,time_reference,1,108,1928-01-01,,ML
1932,CD,YEAR_REGEX_1,TIME,time_reference,1,109,1932-01-01,1932-12-31,ML
1937,CD,YEAR_REGEX_1,TIME,time_reference,1,110,1937-01-01,1937-12-31,ML
1940,CD,YEAR_REGEX_1,TIME,time_reference,1,111,1940-01-01,1940-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,0,112,1943-01-01,1943-12-31,ML
1924,CD,YEAR_REGEX_1,TIME,time_reference,0,114,1924-01-01,1924-12-31,ML
1926,CD,YEAR_REGEX_1,TIME,time_reference,0,115,1926-01-01,1926-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,1,115,2016-01-01,2016-12-31,ML
1931,CD,YEAR_REGEX_1,TIME,time_reference,0,116,1931-01-01,1931-12-31,ML
1937,CD,YEAR_REGEX_1,TIME,time_reference,0,117,1937-01-01,1937-12-31,ML
1950,CD,YEAR_REGEX_1,TIME,time_reference,0,118,1950-01-01,1950-12-31,ML
1941,CD,YEAR_REGEX_1,TIME,time_reference,0,119,1941-01-01,1941-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,120,1955-01-01,1955-12-31,ML
August 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,126,2017-08-01,2017-08-31,ML
1915/26,CD,YEAR_REGEX_1,TIME,time_reference,1,96,1915-01-01,1926-12-31,LLM
25 July 1883 – 5 March 1947,CD NNP CD NNP CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME MODIFIER NUMERAL TIME TIME,time_range,0,0,1883-07-25,1947-03-05,LLM
Falla,NNP,SEASON_REGEX,TIME,time_reference,1,3,,,ML
today,NN,TIMELINE_REGEX,TIME,time_reference,2,6,,,ML
the 20th century,DT JJ NN,PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,0,7,,,ML
of '80,IN NNP,PREFIX_REGEX_1 YEAR_REGEX_2,MODIFIER TIME,time_reference,5,7,,,ML
many years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,8,,,ML
One evening,CD NN,BASIC_NUMBER_REGEX_1 DAY_TIME_REGEX,NUMERAL TIME,,2,8,,,ML
