time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2019–2021,CD,YEAR_REGEX_1,TIME,time_reference,2019–2021: Career beginnings and Area Baby,1,2,== Career == | === 2019–2021: Career beginnings and Area Baby ===,68134966,2019-01-01,2021-12-31,ML
September 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2019, Bronx rapper A Boogie wit da Hoodie toured Australia before releasing an official remix of his track ""Mood Swings"", featuring Youngn Lipz alongside two additional Australian rappers.",0,3,== Career == | === 2019–2021: Career beginnings and Area Baby ===,68134966,2019-09-01,2019-09-30,ML
October 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In October 2019, Youngn Lipz released his debut single ""Misunderstood"".",1,3,== Career == | === 2019–2021: Career beginnings and Area Baby ===,68134966,2019-10-01,2019-10-31,ML
of 2021,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"At the APRA Music Awards of 2021, ""Misunderstood"" won Most Performed Hip Hop / Rap Work.",2,3,== Career == | === 2019–2021: Career beginnings and Area Baby ===,68134966,2021-01-01,2021-12-31,ML
July 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In July 2021, Youngn Lipz announced the release of his debut album Area Baby.",3,3,== Career == | === 2019–2021: Career beginnings and Area Baby ===,68134966,2021-07-01,2021-07-31,ML
6 August 2021,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,The album was released on 6 August 2021.,4,3,== Career == | === 2019–2021: Career beginnings and Area Baby ===,68134966,2021-08-06,2021-08-06,ML
2022,CD,YEAR_REGEX_1,TIME,time_reference,"2022: ""Go!""",1,4,"== Career == | === 2022: ""Go!"" ===",68134966,2022-01-01,2022-12-31,ML
11 February 2022,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 11 February 2022, Youngn Lipz released ""Go!"", a song inspired by Calvin Harris and Avicii.",0,5,"== Career == | === 2022: ""Go!"" ===",68134966,2022-02-11,2022-02-11,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,They commenced in 1987.,1,16,== Awards and nominations == | === ARIA Music Awards ===,68134966,1987-01-01,1987-12-31,ML
