time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: Beginnings and To Proto Vima,1,4,== Biography == | === 2003: Beginnings and To Proto Vima ===,15780584,2003-01-01,2003-12-31,ML
June 2003,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Soon after, she got a record contract with Minos EMI and released her debut album To Proto Vima (The First Step) in June 2003.",1,5,== Biography == | === 2003: Beginnings and To Proto Vima ===,15780584,2003-06-01,2003-06-30,ML
of 2004,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the summer of 2004, she started appearances at popular club ""Thalassa"" with Elena Paparizou, Thanos Petrelis, and Nino where she further showcased her vocal abilities.",4,5,== Biography == | === 2003: Beginnings and To Proto Vima ===,15780584,2004-01-01,2004-12-31,ML
2004–2005,CD,YEAR_REGEX_1,TIME,time_reference,"=== 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro""",0,6,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,2004-01-01,2005-12-31,ML
of 2004,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"After the summer of 2004, she left Minos EMI and signed with the newly created imprint Virus Music of the Greek independent record company Legend Recordings.",0,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,2004-01-01,2004-12-31,ML
of 2004,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the fall of 2004, she started appearances at the club ""Gazi"" with Nikos Kourkoulis and Andreas Stamos.",1,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,2004-01-01,2004-12-31,ML
January 2005,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2005, she released her second album under Virus titled Apo Do Kai Pera (From here on out).",2,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,2005-01-01,2005-01-31,ML
of 2005,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the summer of 2005, she once again appeared at club ""Thalassa"", but this time with Thanos Petrelis and Kostas Karafotis.",5,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,2005-01-01,2005-12-31,ML
of 2005,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"During the Christmas season of 2005, Apostolia released a Christmas themed CD Single along with boyband 4Play under Virus Music titled ""To Kalytero Doro"" (The best gift).",7,7,"== Biography == | === 2004–2005: Apo Do Kai Pera and ""To Kalytero Doro"" ===",15780584,2005-01-01,2005-12-31,ML
2006–present,CD,YEAR_REGEX_1,TIME,time_reference,=== 2006–present: Th' Afisei Epohi and Me To Heri Stin Kardia =,0,8,== Biography == | === 2006–present: Th' Afisei Epohi and Me To Heri Stin Kardia ===,15780584,2006-01-01,,ML
"May 5 , 2006","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On May 5, 2006, Apostolia Zoi released her third studio album titled ""Th' Afisei Epohi"" (It will leave a history) featuring fifteen new songs.",0,9,== Biography == | === 2006–present: Th' Afisei Epohi and Me To Heri Stin Kardia ===,15780584,2006-05-05,2006-05-05,ML
June 2007,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In June 2007, Zoi sang a duet remix with the famous Kostas Tournas of ""Geia Sou"" at the ""Mad Music Video Awards"".",3,9,== Biography == | === 2006–present: Th' Afisei Epohi and Me To Heri Stin Kardia ===,15780584,2007-06-01,2007-06-30,ML
Fall 2007,NN CD,SEASON_REGEX YEAR_REGEX_1,TIME TIME,time_reference,In Fall 2007 she re-signed with her original record company  Minos EMI.,5,9,== Biography == | === 2006–present: Th' Afisei Epohi and Me To Heri Stin Kardia ===,15780584,2007-01-01,2007-12-31,ML
"June 9 , 2008","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On June 9, 2008, Zoi released the first single ""Ti stis 8, Ti stis 7"" exclusively on Rythmos FM which was followed by the release of her fourth studio album Me To Heri Stin Kardia on June 23.",7,9,== Biography == | === 2006–present: Th' Afisei Epohi and Me To Heri Stin Kardia ===,15780584,2008-06-09,2008-06-09,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"The second single ""Ki Esi Ekei"", was released in mid-September 2008 with lyrics by Ilias Fillipou and music by Giorgos Kafetzopoulou.",8,9,== Biography == | === 2006–present: Th' Afisei Epohi and Me To Heri Stin Kardia ===,15780584,2008-01-01,2008-12-31,ML
