time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
"October 3 , 1916","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0,1916-10-03,1916-10-03,ML
"August 7 , 1995","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0,1995-08-07,1995-08-07,ML
1933,CD,YEAR_REGEX_1,TIME,time_reference,1,0,1933-01-01,1933-12-31,ML
1936,CD,YEAR_REGEX_1,TIME,time_reference,1,0,1936-01-01,1936-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,6,0,1944-01-01,1944-12-31,ML
1945,CD,YEAR_REGEX_1,TIME,time_reference,7,0,1945-01-01,1945-12-31,ML
1933,CD,YEAR_REGEX_1,TIME,time_reference,0,5,1933-01-01,1933-12-31,ML
1934,CD,YEAR_REGEX_1,TIME,time_reference,2,5,1934-01-01,1934-12-31,ML
around 1934,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,7,1934-01-01,1934-12-31,ML
"December 30 , 1934","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,7,1934-12-30,1934-12-30,ML
1936,CD,YEAR_REGEX_1,TIME,time_reference,0,7,1936-01-01,1936-12-31,ML
1898–1973,CD,YEAR_REGEX_1,TIME,time_reference,2,7,1898-01-01,1973-12-31,ML
1904–1951,CD,YEAR_REGEX_1,TIME,time_reference,2,7,1904-01-01,1951-12-31,ML
1935,CD,YEAR_REGEX_1,TIME,time_reference,3,7,1935-01-01,1935-12-31,ML
"December 30 , 1934","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,4,7,1934-12-30,1934-12-30,ML
1894–1957,CD,YEAR_REGEX_1,TIME,time_reference,0,9,1894-01-01,1957-12-31,ML
1900–1964,CD,YEAR_REGEX_1,TIME,time_reference,0,9,1900-01-01,1964-12-31,ML
1937,CD,YEAR_REGEX_1,TIME,time_reference,1,9,1937-01-01,1937-12-31,ML
1940,CD,YEAR_REGEX_1,TIME,time_reference,2,10,1940-01-01,1940-12-31,ML
"January 8 , 1940","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,1,11,1940-01-08,1940-01-08,ML
April 1940,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,2,11,1940-04-01,1940-04-30,ML
1908–1984,CD,YEAR_REGEX_1,TIME,time_reference,2,11,1908-01-01,1984-12-31,ML
1910–1948,CD,YEAR_REGEX_1,TIME,time_reference,2,11,1910-01-01,1948-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,1,12,1943-01-01,1943-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,1,13,1943-01-01,1943-12-31,ML
"July 31 , 1943","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,13,1943-07-31,1943-07-31,ML
"September 14 , 1943","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,3,13,1943-09-14,1943-09-14,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,1,14,1944-01-01,1944-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,1,15,1944-01-01,1944-12-31,ML
September 1944,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,2,15,1944-09-01,1944-09-30,ML
"April 14 , 1945","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,4,15,1945-04-14,1945-04-14,ML
December 1945,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,18,1945-12-01,1945-12-31,ML
1942,CD,YEAR_REGEX_1,TIME,time_reference,0,21,1942-01-01,1942-12-31,ML
"April 12 , 1942","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,22,1942-04-12,1942-04-12,ML
January 1945,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,24,1945-01-01,1945-01-31,ML
"Sunday , November 12 , 1944","NNP , NNP CD , CD",WEEK_REGEX COMMA_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,1,24,1944-11-12,1944-11-12,ML
"April 14 , 1943","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,32,1943-04-14,1943-04-14,ML
1874–1940,CD,YEAR_REGEX_1,TIME,time_reference,0,35,1874-01-01,1940-12-31,ML
