time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2020,CD,YEAR_REGEX_1,TIME,time_reference,"In 2020 he released Piano y Mujer (Sony Music), an album and HBOMax special that features Arthur performing with five Latin stars: Natalia Jimenez, Evaluna Montaner, Kany Garcia, Nella and Goyo of Colombian group Chocquibtown.",0,1,,14611166,2020-01-01,2020-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Prior to Piano y Mujer, in 2017 Arthur released ""No Tuve La Culpa"" (with Chocquibtown) whose video features Arthur playing piano on the back of a moving semi truck along with Chocquibtown through the mountains of Colombia.",0,2,,14611166,2017-01-01,2017-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"2018 saw the release of ""Aura"" (Ozuna Ft.",1,2,,14611166,2018-01-01,2018-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"In 2019 Arthur released ""Si Tu Te Vas"" (with Fonseca), Balada Para Adelina and ""Como Suena El Piano"" with the Cuban hiphop group Orishas.",3,2,,14611166,2019-01-01,2019-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Licensed by Max Music and distributed by Universal, Encuentros brought Hanlon to the attention of Fonovisa Records, the leading indie Latin label in the country at the time, with whom he signed in 2000.",1,7,== History ==,14611166,2000-01-01,2000-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"He consolidated himself as an instrumentalist with 2005's La Gorda Linda, an album of mostly original material that featured a handful of guest artists, including jazz trumpeter Arturo Sandoval, salsa star Tito Nieves and Mexican singer Ana Bárbara.",0,10,== History ==,14611166,2005-01-01,2005-12-31,ML
the 2006,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"The album was produced by Grammy winners Sergio George and Kike Santander and was a multiple finalist for the 2006 Billboard Latin Music Awards, in which Hanlon performed.",1,10,== History ==,14611166,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"In 2006, Hanlon was signed by EMI, and released Mecanomanía, an album of covers of Spanish pop trio Mecano, set to chill-out arrangements.",0,11,== History ==,14611166,2006-01-01,2006-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, Hanlon signed to Universal Latin.",1,12,== History ==,14611166,2009-01-01,2009-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"""Esta Navidad,"" which Hanlon wrote in 2008 and which features Puerto Rican singer Janina on vocals, was used by the Univision Network for their Christmas on-air campaign in several markets, including Miami, New York and Chicago.",1,13,== History ==,14611166,2008-01-01,2008-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"In 2010, Hanlon wrote and recorded a second Christmas single, ""Navidad, Navidad,"" which he recorded with Venezuelan duo Chino y Nacho and Mexican singer Dulce Maria on vocals.",3,13,== History ==,14611166,2010-01-01,2010-12-31,ML
the 2019,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Hanlon also participated in the 2019 remake of the hit ""Un Ano Mas,"" redone with Carlos Rivera and Natalia Jimenez, among others.",0,14,== History ==,14611166,2019-01-01,2019-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, Hanlon traveled to Puerto Rico to film ""Encanto del Caribe"" at Castillo San Cristóbal a historic fortress in San Juan, Puerto Rico.",0,15,== History ==,14611166,2011-01-01,2011-12-31,ML
"August , 2012","NNP , CD",MONTH_REGEX COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_reference,"The CD/DVD ""Encanto del Caribe"" was released in August, 2012 by Universal Music Latino.",5,15,== History ==,14611166,2012-08-16,2012-08-16,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"In 2016, Hanlon signed with Sony Music Latin and embarked on an ambitious video/audio project where he filmed and recorded iconic Latin songs from seven countries: Spain, Portugal, Mexico, Argentina, Brazil, Colombia and the United States.",0,16,== History ==,14611166,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"""Viajero,"" Hanlon's latest album, was released throughout Latin America and Spain in 2016.",0,17,== History ==,14611166,2016-01-01,2016-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"With his 2005 hit, ""La Gorda Linda,"" Hanlon became the first pianist, and the first non-Latin, to reach No. 1 on the tropical airplay chart of Billboard Magazine, according to an article published by Billboard on April 26, 2006, coinciding with the Billboard Latin Music Awards.",0,19,== Musical Highlights ==,14611166,2005-01-01,2005-12-31,ML
"April 26 , 2006","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"With his 2005 hit, ""La Gorda Linda,"" Hanlon became the first pianist, and the first non-Latin, to reach No. 1 on the tropical airplay chart of Billboard Magazine, according to an article published by Billboard on April 26, 2006, coinciding with the Billboard Latin Music Awards.",0,19,== Musical Highlights ==,14611166,2006-04-26,2006-04-26,ML
the 2006,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"As a result of ""La Gorda Linda,"" Hanlon was a double finalist for the 2006 Latin Billboard Music Awards in the Tropical Song of the year and Dance Track of the year categories.",3,19,== Musical Highlights ==,14611166,2006-01-01,2006-12-31,ML
the 2006,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In a memorable moment, Hanlon played ""No Me Llames Extranjero,"" a song about immigrants, with Fonsi and Montaner during the 2006 Latin Billboard Music Awards which aired on Telemundo.",4,19,== Musical Highlights ==,14611166,2006-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Arthur was also nominated for a New York Emmy Award for his jingle ""Esta Navidad"" (This Christmas), based on his single of the same name, which was picked up by Univision as its Christmas jingle and spot for 2008.",0,20,== Musical Highlights ==,14611166,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Also established in the mainstream instrumental realm, Arthur was a featured guest on pianist Jim Brickman's ""Beautiful World"" CD and PBS special and toured the U.S. with Italian star Laura Pausini in 2009.",0,21,== Musical Highlights ==,14611166,2009-01-01,2009-12-31,ML
of 2009,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Hanlon returned to the Billboard charts in the Summer of 2009 with ""Ya Te Olvide,"" a single from ""Piano Sin Fronteras"" featuring Ricardo Montaner.",0,22,== Musical Highlights ==,14611166,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"In 2010, Hanlon was asked to write a song in Spanish to be used by cancer center City of Hope to raise awareness on the importance of bone marrow donation.",0,25,== La Gota de la Vida (The Drop of Life) ==,14611166,2010-01-01,2010-12-31,ML
"August 21 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The special aired on public television stations across the United States and a CD/DVD was released by Universal August 21, 2012.",2,28,== Encanto del Caribe ==,14611166,2012-08-21,2012-08-21,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"In 2013, Hanlon released ""I'll Be There (Alli Estare),"" a bilingual cover of the Jackson Five classic with up and coming bachata star Karlos Rose on vocals.",0,30,== Encanto del Caribe ==,14611166,2013-01-01,2013-12-31,ML
more than a decade,JJR IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER MODIFIER MODIFIER TIME,time_reference,"Born to Irish-American parents, he hails from Detroit, Michigan, but found his calling in Latin music and has received widespread recognition in that realm, becoming the first pianist to reach the Billboard Latin airplay charts in more than a decade and the first to have a No. 1 on Billboard's Tropical Airplay chart.",1,0,,14611166,,,ML
five weeks,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"The album, out on Universal Music Latin, spent five weeks on the top 10 of Billboard's Latin Pop Albums charts.",2,3,,14611166,,,ML
several Christmas,JJ NNP,PREFIX_REGEX_1 HOLIDAY_REGEX,MODIFIER TIME,time_reference,Hanlon has also recorded several Christmas singles that have been used for different campaigns.,0,13,== History ==,14611166,,,ML
their Christmas,PRP$ NNP,PREFIX_REGEX_1 HOLIDAY_REGEX,MODIFIER TIME,,"""Esta Navidad,"" which Hanlon wrote in 2008 and which features Puerto Rican singer Janina on vocals, was used by the Univision Network for their Christmas on-air campaign in several markets, including Miami, New York and Chicago.",1,13,== History ==,14611166,,,ML
a second Christmas,DT JJ NNP,INARTICLE_REGEX ORDINAL_REGEX_1 HOLIDAY_REGEX,MODIFIER NUMERAL TIME,time_reference,"In 2010, Hanlon wrote and recorded a second Christmas single, ""Navidad, Navidad,"" which he recorded with Venezuelan duo Chino y Nacho and Mexican singer Dulce Maria on vocals.",3,13,== History ==,14611166,,,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,It was also used by Univision for its Christmas campaign on several major Latin markets.,5,13,== History ==,14611166,,,ML
more than a decade,JJR IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER MODIFIER MODIFIER TIME,time_reference,"Hanlon was the first pianist to enter the Billboard Latin charts in more than a decade, according to the magazine.",1,19,== Musical Highlights ==,14611166,,,ML
weeks,NNS,TIME_UNIT_REGEX,TIME,time_reference,"""La Gorda Linda,"" which he penned, was also on the top ten of the ""Billboard Top Latin Songs"" chart and a subsequent remix by DJ Norty Cotto spent weeks on the Billboard dance charts.",2,19,== Musical Highlights ==,14611166,,,ML
of the year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"As a result of ""La Gorda Linda,"" Hanlon was a double finalist for the 2006 Latin Billboard Music Awards in the Tropical Song of the year and Dance Track of the year categories.",3,19,== Musical Highlights ==,14611166,,,ML
