time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1987,CD,YEAR_REGEX_1,TIME,time_reference,"He has been nominated for an Academy Award in the Best Sound category three times:  in 1987, for Star Trek IV: The Voyage Home; in 1992, for Beauty and the Beast; and in 1993, for Aladdin.",1,0,,33430131,1987-01-01,1987-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"He has been nominated for an Academy Award in the Best Sound category three times:  in 1987, for Star Trek IV: The Voyage Home; in 1992, for Beauty and the Beast; and in 1993, for Aladdin.",1,0,,33430131,1992-01-01,1992-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"He has been nominated for an Academy Award in the Best Sound category three times:  in 1987, for Star Trek IV: The Voyage Home; in 1992, for Beauty and the Beast; and in 1993, for Aladdin.",1,0,,33430131,1993-01-01,1993-12-31,ML
