time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"June 8 , 1968","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Satoshi Mikami (三上 哲, Mikami Satoshi, born June 8, 1968) is a Japanese actor and voice actor from Tokyo.",0,0,,40474944,1968-06-08,1968-06-08,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,Bakuryū Sentai Abaranger (2003),0,3,== Filmography == | === Television dramas ===,40474944,2003-01-01,2003-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,Aibō (2006),0,4,== Filmography == | === Television dramas ===,40474944,2006-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Engine Sentai Go-onger (2008),0,5,== Filmography == | === Television dramas ===,40474944,2008-01-01,2008-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,Doubutsu Sentai Zyuohger (2016),0,6,== Filmography == | === Television dramas ===,40474944,2016-01-01,2016-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Jewelpet (2009) – Takeo Nanase,0,8,== Filmography == | === Television animation ===,40474944,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,Giant Killing (2010) – Sumita,0,9,== Filmography == | === Television animation ===,40474944,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,Lupin III: the Last Job (2010) – Detective Leone,0,10,== Filmography == | === Television animation ===,40474944,2010-01-01,2010-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,Rozen Maiden (2013) – Laplace's Demon,0,11,== Filmography == | === Television animation ===,40474944,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,Samurai Flamenco (2013) – Akira Konno,0,12,== Filmography == | === Television animation ===,40474944,2013-01-01,2013-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,Durarara!!x2 (2015) – Sloan,0,13,== Filmography == | === Television animation ===,40474944,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,(2015) – Theo,1,14,== Filmography == | === Television animation ===,40474944,2015-01-01,2015-12-31,ML
91 Days,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,91 Days (2016) – Testa Lagusa,0,15,== Filmography == | === Television animation ===,40474944,,,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,91 Days (2016) – Testa Lagusa,0,15,== Filmography == | === Television animation ===,40474944,2016-01-01,2016-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,Black Clover (2018) - Fanzell Kruger,0,16,== Filmography == | === Television animation ===,40474944,2018-01-01,2018-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,Zoids Wild Zero (2019) – Dias,0,17,== Filmography == | === Television animation ===,40474944,2019-01-01,2019-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,86 (2021) – Jerome Carlstahl,0,18,== Filmography == | === Television animation ===,40474944,2021-01-01,2021-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,Battle Athletes Victory ReSTART! (2021) – Jefferson Natdhipytadd,0,19,== Filmography == | === Television animation ===,40474944,2021-01-01,2021-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,Peach Boy Riverside (2021) –,0,20,== Filmography == | === Television animation ===,40474944,2021-01-01,2021-12-31,ML
The Night,DT NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,The Night Beyond the Tricornered Window (2021) – Hiroki Hanzawa,0,21,== Filmography == | === Television animation ===,40474944,,,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,The Night Beyond the Tricornered Window (2021) – Hiroki Hanzawa,0,21,== Filmography == | === Television animation ===,40474944,2021-01-01,2021-12-31,ML
2022,CD,YEAR_REGEX_1,TIME,time_reference,Akebi's Sailor Uniform (2022) – Sato Akebi,0,22,== Filmography == | === Television animation ===,40474944,2022-01-01,2022-12-31,ML
2022,CD,YEAR_REGEX_1,TIME,time_reference,Requiem of the Rose King (2022) – Earl of Warwick,0,23,== Filmography == | === Television animation ===,40474944,2022-01-01,2022-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,Genocidal Organ (2017) – Williams,0,25,== Filmography == | === Theatrical animation ===,40474944,2017-01-01,2017-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,The Phantom Pain (2015) – Ocelot,1,27,== Filmography == | === Video games ===,40474944,2015-01-01,2015-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Watch Dogs (2014, Japanese dub) – Damien",0,28,== Filmography == | === Video games ===,40474944,2014-01-01,2014-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,Dissidia Final Fantasy NT (2018) – Kam'lanaut,0,29,== Filmography == | === Video games ===,40474944,2018-01-01,2018-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,Death Stranding (2019) – Higgs,0,30,== Filmography == | === Video games ===,40474944,2019-01-01,2019-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,Nioh 2 (2020) – Akechi Mitsuhide,0,31,== Filmography == | === Video games ===,40474944,2020-01-01,2020-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,Saint Seiya Awakening (2020) –,0,32,== Filmography == | === Video games ===,40474944,2020-01-01,2020-12-31,ML
August,NNP,MONTH_REGEX,TIME,time_reference,"August: Osage County – ""Little"" Charles Aiken",0,41,== Filmography == | ==== Live-action ====,40474944,,,ML
1917,CD,YEAR_REGEX_1,TIME,time_reference,1917 – Colonel Mackenzie,0,53,== Filmography == | ==== Live-action ====,40474944,1917-01-01,1917-12-31,ML
Hours,NNP,TIME_UNIT_REGEX,TIME,time_reference,The Finest Hours – Daniel Cluff (Eric Bana),0,72,== Filmography == | ==== Live-action ====,40474944,,,ML
The Twilight,DT NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,The Twilight Zone – Dylan (Luke Kirby),0,94,== Filmography == | ==== Live-action ====,40474944,,,ML
