time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
"June 1 , 1925","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,2,1925-06-01,1925-06-01,ML
the 1960s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,3,2,1960-01-01,1969-12-31,ML
1965,CD,YEAR_REGEX_1,TIME,time_reference,0,3,1965-01-01,1965-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,3,1973-01-01,1973-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,2,3,1976-01-01,1976-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,6,3,1978-01-01,1978-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,0,5,2011-01-01,2011-12-31,ML
"June 1 , 1935","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,1,5,1935-06-01,1935-06-01,ML
"of June 1 , 1925","IN NNP CD , CD",PREFIX_REGEX_1 MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,1,5,1925-06-01,1925-06-01,ML
"June 5 , 2011","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,5,2011-06-05,2011-06-05,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,0,8,1976-01-01,1976-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,0,9,1980-01-01,1980-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,0,11,1980-01-01,1980-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,0,12,1983-01-01,1983-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,0,13,1987-01-01,1987-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,0,14,1987-01-01,1987-12-31,ML
1965,CD,YEAR_REGEX_1,TIME,time_reference,0,16,1965-01-01,1965-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,0,17,1970-01-01,1970-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,18,1973-01-01,1973-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,19,1973-01-01,1973-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,0,20,1976-01-01,1976-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,21,1996-01-01,1996-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,0,22,2018-01-01,2018-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,0,24,1998-01-01,1998-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,26,1973-01-01,1973-12-31,ML
October 1972,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,1,26,1972-10-01,1972-10-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,0,27,1984-01-01,1984-12-31,ML
the 1982,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,27,1982-01-01,1982-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,0,28,1987-01-01,1987-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,1,29,1990-01-01,1990-12-31,ML
1956–1969,CD,YEAR_REGEX_1,TIME,time_reference,0,30,1956-01-01,1969-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,1,30,1993-01-01,1993-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,0,31,1997-01-01,1997-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,31,1973-01-01,1973-12-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,0,31,1984-01-01,1984-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,0,32,2001-01-01,2001-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,0,35,1976-01-01,1976-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,0,36,1987-01-01,1987-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,0,37,2000-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,0,38,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,0,39,2002-01-01,2002-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,0,41,1976-01-01,1976-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,0,42,1982-01-01,1982-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,0,43,1987-01-01,1987-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,0,44,2000-01-01,2000-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,0,45,2006-01-01,2006-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,0,46,2021-01-01,2021-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,0,50,1994-01-01,1994-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,1,50,2001-01-01,2001-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,0,55,2008-01-01,2008-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,0,56,2015-01-01,2015-12-31,ML
"February 15 , 2015","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,56,2015-02-15,2015-02-15,ML
"March 9 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,3,56,2019-03-09,2019-03-09,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,0,57,2013-01-01,2013-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,0,58,2018-01-01,2018-12-31,ML
"November 25 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,58,2018-11-25,2018-11-25,ML
"March 9 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,3,58,2019-03-09,2019-03-09,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,0,59,2018-01-01,2018-12-31,ML
October 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,2,59,2018-10-01,2018-10-31,ML
"March 9 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,3,59,2019-03-09,2019-03-09,ML
the early 1950s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,2,2,1950-01-01,1954-12-31,LLM
"June 1 , 1925 – April 22 , 2011","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0,1925-06-01,2011-04-22,LLM
1965-1969,JJ,YEAR_REGEX_1,TIME,time_reference,0,22,,,ML
