time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"April 26 , 2000","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Unique Torralba Salonga, known mononymously as Unique, stylized as UNIQUE, (born April 26, 2000) is a Filipino musician and singer-songwriter.",0,0,,57769007,2000-04-26,2000-04-26,ML
2014–2018,CD,YEAR_REGEX_1,TIME,time_reference,2014–2018:,1,3,== Career == | ==== 2014–2018: IV of Spades ====,57769007,2014-01-01,2018-12-31,ML
June 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In June 2014, Allan Silonga decided to form a band for his son Blaster, who would become the band's lead guitarist.",0,4,== Career == | ==== 2014–2018: IV of Spades ====,57769007,2014-06-01,2014-06-30,ML
"July 9 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The group's second single, ""Hey Barbara"" was released on July 9, 2017, and followed up by their third single ""Where Have You Been My Disco?"", released on December 9, 2017, via YouTube.",4,4,== Career == | ==== 2014–2018: IV of Spades ====,57769007,2017-07-09,2017-07-09,ML
"December 9 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The group's second single, ""Hey Barbara"" was released on July 9, 2017, and followed up by their third single ""Where Have You Been My Disco?"", released on December 9, 2017, via YouTube.",4,4,== Career == | ==== 2014–2018: IV of Spades ====,57769007,2017-12-09,2017-12-09,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"In 2018, the band released their fourth single called ""Mundo"".",5,4,== Career == | ==== 2014–2018: IV of Spades ====,57769007,2018-01-01,2018-12-31,ML
of the Year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,IV of Spades won the New Artist of the Year and the MYX Bandarito Performance of the Year and Nominated as Group of the Year at the annual Myx Music Awards.,8,4,== Career == | ==== 2014–2018: IV of Spades ====,57769007,,,ML
"May 4 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On May 4, 2018, Unique Salonga left IV of Spades in order to pursue a solo career.",12,4,== Career == | ==== 2014–2018: IV of Spades ====,57769007,2018-05-04,2018-05-04,ML
2018–,CD,YEAR_REGEX_1,TIME,time_reference,2018–,1,6,== Career == | ==== 2018–present ====,57769007,2018-01-01,,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"In 2018, Salonga released his debut single, Midnight Sky, under the label of O/C Records of VIVA.",0,7,== Career == | ==== 2018–present ====,57769007,2018-01-01,2018-12-31,ML
Midnight,NNP,DAY_TIME_REGEX,TIME,time_reference,"In 2018, Salonga released his debut single, Midnight Sky, under the label of O/C Records of VIVA.",0,7,== Career == | ==== 2018–present ====,57769007,,,ML
year,NN,TIME_UNIT_REGEX,TIME,time_reference,"In the same year, Salonga released his debut album, Grandma, and his first solo concert was held on September 29, 2018.",1,7,== Career == | ==== 2018–present ====,57769007,,,ML
"September 29 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"In the same year, Salonga released his debut album, Grandma, and his first solo concert was held on September 29, 2018.",1,7,== Career == | ==== 2018–present ====,57769007,2018-09-29,2018-09-29,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"He released his second album, PANGALAN: in 2020.",2,7,== Career == | ==== 2018–present ====,57769007,2020-01-01,2020-12-31,ML
