time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1994,CD,YEAR_REGEX_1,TIME,time_reference,"He is best known as the lead singer and original member of the rock band Orgy, which he founded in 1994.",1,0,,1965784,1994-01-01,1994-12-31,ML
1994–2000,CD,YEAR_REGEX_1,TIME,time_reference,1994–2000,1,2,== Career == | === 1994–2000 ===,1965784,1994-01-01,2000-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Orgy's first release, 1998's Candyass, would prove to be a huge success and earned a platinum certification in sales, which was primarily fueled by the popularity of their cover of New Order's ""Blue Monday"", as well as that of their first single, ""Stitches"".",0,3,== Career == | === 1994–2000 ===,1965784,1998-01-01,1998-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"In 2000, Orgy released their second full-length album, Vapor Transmission, which, despite gaining a quite respectable sales performance, did not repeat the wild success of its predecessor.",0,4,== Career == | === 1994–2000 ===,1965784,2000-01-01,2000-12-31,ML
2000–present,CD,YEAR_REGEX_1,TIME,time_reference,=== 2000–present ===,0,5,== Career == | === 2000–present ===,1965784,2000-01-01,,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"It would be four years between the release of Vapor Transmission and Orgy's third album, 2004's Punk Statik Paranoia.",3,6,== Career == | === 2000–present ===,1965784,2004-01-01,2004-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"In 2002, Gordon performed the song ""Slept So Long"" for the Queen of the Damned soundtrack, due to contractual limitations which restricted composer Jonathan Davis from performing the vocals to his composed songs as they appeared upon the actual soundtrack (although Davis did, in fact, perform all musical tracks within the movie itself).",0,7,== Career == | === 2000–present ===,1965784,2002-01-01,2002-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"In 2004, he voiced several characters for the video game Vampire: The Masquerade – Bloodlines.",0,9,== Career == | === 2000–present ===,1965784,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"In 2005, he provided an additional voice or voices in the video game True Crime: New York City, and also voiced J. Jonah Jameson in Spider-Man and Spider-Man 2.",1,9,== Career == | === 2000–present ===,1965784,2005-01-01,2005-12-31,ML
October 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In October 2010, members of Orgy collectively brought accusations against Gordon of having ""fired the band"".",0,10,== Career == | === 2000–present ===,1965784,2010-10-01,2010-10-31,ML
"March 18 , 2014","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Orgy released a new single titled ""Wide Awake and Dead"" on March 18, 2014 and shot a video for ""Wide Awake and Dead"" on April 22.",2,10,== Career == | === 2000–present ===,1965784,2014-03-18,2014-03-18,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Orgy released the first of two EPs in 2015, titled Talk Sick, and an unnamed EP that was released in 2016.",3,10,== Career == | === 2000–present ===,1965784,2015-01-01,2015-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Orgy released the first of two EPs in 2015, titled Talk Sick, and an unnamed EP that was released in 2016.",3,10,== Career == | === 2000–present ===,1965784,2016-01-01,2016-12-31,ML
Monday,NNP,WEEK_REGEX,TIME,time_reference,"Orgy's first release, 1998's Candyass, would prove to be a huge success and earned a platinum certification in sales, which was primarily fueled by the popularity of their cover of New Order's ""Blue Monday"", as well as that of their first single, ""Stitches"".",0,3,== Career == | === 1994–2000 ===,1965784,,,ML
four years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"It would be four years between the release of Vapor Transmission and Orgy's third album, 2004's Punk Statik Paranoia.",3,6,== Career == | === 2000–present ===,1965784,,,ML
the previously,DT RB,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,"Gordon has also appeared with his band Orgy on other soundtracks such as Zoolander, which featured the previously unreleased song ""Faces"".",1,7,== Career == | === 2000–present ===,1965784,,,ML
April 22,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"Orgy released a new single titled ""Wide Awake and Dead"" on March 18, 2014 and shot a video for ""Wide Awake and Dead"" on April 22.",2,10,== Career == | === 2000–present ===,1965784,,,ML
