time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1919–1999,CD,YEAR_REGEX_1,TIME,time_reference,"Chen Zi (陈紫, Huiyang, 1919–1999) was a Chinese composer.",0,0,,37697039,1919-01-01,1999-12-31,ML
of 1945,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,He was one of the composers at the original revolutionary Lu Xun Academy in Yan'an and one of the collaborators assisting Ma Ke in composition of 1945's The White-Haired Girl.,1,0,,37697039,1945-01-01,1945-12-31,ML
the 1954,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Among his works are the 1954 opera Liu Hulan (opera), and the 1956 opera Spring Blossoms (迎春花开了; Yingchunhua Kaile) co-composed with Liang Kexiang to a libretto by Lu Cang (陆苍) and Wang Lie (王烈).",2,0,,37697039,1954-01-01,1954-12-31,ML
the 1956,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Among his works are the 1954 opera Liu Hulan (opera), and the 1956 opera Spring Blossoms (迎春花开了; Yingchunhua Kaile) co-composed with Liang Kexiang to a libretto by Lu Cang (陆苍) and Wang Lie (王烈).",2,0,,37697039,1956-01-01,1956-12-31,ML
Spring,NN,SEASON_REGEX,TIME,time_reference,"Among his works are the 1954 opera Liu Hulan (opera), and the 1956 opera Spring Blossoms (迎春花开了; Yingchunhua Kaile) co-composed with Liang Kexiang to a libretto by Lu Cang (陆苍) and Wang Lie (王烈).",2,0,,37697039,,,ML
