time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 22 , 1988","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"(Korean: 고우리; born February 22, 1988), better known by the mononym Woori or as Go Na-eun is a South Korean singer, rapper and actress.",1,0,,41692522,1988-02-22,1988-02-22,ML
"February 22 , 1988","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Go Woo-ri was born in Jeonju, South Korea on February 22, 1988.",0,2,== Early life ==,41692522,1988-02-22,1988-02-22,ML
2009–2016,CD,YEAR_REGEX_1,TIME,time_reference,2009–2016:,1,4,== Career == | === 2009–2016: Rainbow and Rainbow Blaxx ===,41692522,2009-01-01,2016-12-31,ML
"November 12 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On November 12, 2009, Woori debuted as the main rapper of the girl group Rainbow with the release of extended play Gossip Girl.",0,5,== Career == | === 2009–2016: Rainbow and Rainbow Blaxx ===,41692522,2009-11-12,2009-11-12,ML
January 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2014, DSP announced Woori, alongside member Jaekyung, Seungah, and Hyunyoung, would form Rainbow's second sub-unit.",0,6,== Career == | === 2009–2016: Rainbow and Rainbow Blaxx ===,41692522,2014-01-01,2014-01-31,ML
"January 20 , 2014","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On January 20, 2014, the sub-unit named Rainbow Blaxx debut with the release of extended play RB Blaxx.",1,6,== Career == | === 2009–2016: Rainbow and Rainbow Blaxx ===,41692522,2014-01-20,2014-01-20,ML
"October 27 , 2016","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On October 27, 2016, DSP announced Rainbow would disband on November 12 as the members contract were to expired.",2,6,== Career == | === 2009–2016: Rainbow and Rainbow Blaxx ===,41692522,2016-10-27,2016-10-27,ML
2010–present,CD,YEAR_REGEX_1,TIME,time_reference,=== 2010–present: Solo activities ===,0,7,== Career == | === 2010–present: Solo activities ===,41692522,2010-01-01,,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"In 2010, Woori made her debut as an actress in the film Heartbeat.",0,8,== Career == | === 2010–present: Solo activities ===,41692522,2010-01-01,2010-12-31,ML
"November 10 , 2011","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On November 10, 2011, she was cast in the film You're My Pet.",1,8,== Career == | === 2010–present: Solo activities ===,41692522,2011-11-10,2011-11-10,ML
October 2011,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In October 2011, Woori was cast in the second season of Invincible Youth.",2,8,== Career == | === 2010–present: Solo activities ===,41692522,2011-10-01,2011-10-31,ML
"February 27 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On February 27, 2012, she made her drama debut in KBS2's I Need a Fairy.",3,8,== Career == | === 2010–present: Solo activities ===,41692522,2012-02-27,2012-02-27,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"In 2013, she was cast in The Clinic for Married Couples: Love and War.",4,8,== Career == | === 2010–present: Solo activities ===,41692522,2013-01-01,2013-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,She also cameo in Reply 1994.,5,8,== Career == | === 2010–present: Solo activities ===,41692522,1994-01-01,1994-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,She was then cast as a supporting role in the drama Glorious Day (2014) and Flower of Queen (2015).,6,8,== Career == | === 2010–present: Solo activities ===,41692522,2014-01-01,2014-12-31,ML
