time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
now,RB,TIMELINE_REGEX,TIME,time_reference,This is now typically viewed online.,1,8,== Duties == | === Advancing ===,3323507,,,ML
the next days,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,Liaising with transport department regarding the next days' travel,0,21,== Duties == | === On the road ===,3323507,,,ML
the next day,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,Preparing band and crew schedule sheets for the next day,0,25,== Duties == | === On the road ===,3323507,,,ML
overnight,JJ,DAY_TIME_REGEX,TIME,time_reference,Overseeing band and crew on to appropriate overnight transport or to next hotel,0,26,== Duties == | === On the road ===,3323507,,,ML
