time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1996–2000,CD,YEAR_REGEX_1,TIME,time_reference,=== 1996–2000:,0,4,== Life and career == | === 1996–2000: Career launch ===,1855711,1996-01-01,2000-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"In 1996, Peterman made her film debut as ""Hooker #2"" in the Oscar-winning Coen brothers' movie Fargo.",0,6,== Life and career == | === 1996–2000: Career launch ===,1855711,1996-01-01,1996-12-31,ML
2001–06,CD,YEAR_REGEX_1,TIME,time_reference,2001–06:,1,7,== Life and career == | === 2001–06: Reba and other appearances ===,1855711,2001-01-01,2023-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"In 2001, Peterman was cast as Barbra Jean Booker-Hart in Reba opposite country music star Reba McEntire and television veteran Christopher Rich.",0,8,== Life and career == | === 2001–06: Reba and other appearances ===,1855711,2001-01-01,2001-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"In 2007, the show ended its run after six seasons.",2,8,== Life and career == | === 2001–06: Reba and other appearances ===,1855711,2007-01-01,2007-12-31,ML
2007–10,CD,YEAR_REGEX_1,TIME,time_reference,"2007–10: Tours, pilots, and The Singing Bee =",1,10,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2007-01-01,2023-12-31,ML
"October 30 , 2007","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The show was taped before an audience on October 30, 2007.",1,11,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2007-10-30,2007-10-30,ML
"May 13 , 2008","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"During the annual upfront presentation on May 13, 2008, ABC confirmed they did not order the pilot to series.",3,11,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2008-05-13,2008-05-13,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"In 2007, Peterman appeared as the opening act on country singer and former Reba co-star Reba McEntire's tour.",0,12,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,She was also the opening act for the second leg of the tour in 2008.,2,12,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2008-01-01,2008-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"In 2007, Peterman hosted Comedy Stage for CMT.",0,13,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Also in 2008, she was in two episodes of Wanna Bet?",3,13,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, she landed the hosting gig for The Singing Bee.",0,15,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Also in 2009, Peterman appeared in Rita Rocks on Lifetime, and in Surviving Suburbia on ABC.",2,15,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2009-01-01,2009-12-31,ML
February 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2010, Big Machine Records announced that they signed Peterman to a recording contract, and she was to release her debut comedy album that year.",4,15,"== Life and career == | === 2007–10: Tours, pilots, and The Singing Bee ===",1855711,2010-02-01,2010-02-28,ML
