time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1999,CD,YEAR_REGEX_1,TIME,time_reference,"He is the innovator of breakstep music which is bass-heavy, breakbeat-infused 2-step, first characterised in his 1999 hit ""I Don't Smoke"", which reached No. 11 on the UK charts.",1,0,,36892727,1999-01-01,1999-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, he opened up his online clothing store, Bass Boutique.",4,0,,36892727,2011-01-01,2011-12-31,ML
1998–2000,CD,YEAR_REGEX_1,TIME,time_reference,=== 1998–2000:,0,3,"== Biography == | === 1998–2000: Flex FM and ""I Don't Smoke"" ===",36892727,1998-01-01,2000-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"In 1999, he set up Rat Records to release his track ""I Don't Smoke"".",1,4,"== Biography == | === 1998–2000: Flex FM and ""I Don't Smoke"" ===",36892727,1999-01-01,1999-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"He talked about it on the Graham Norton Show in 2010, where he explained that he was impersonating Jim Davidson's character Chalkie White for a sketch show, and that it was sampled into the track.",6,4,"== Biography == | === 1998–2000: Flex FM and ""I Don't Smoke"" ===",36892727,2010-01-01,2010-12-31,ML
the 1997,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"The song also samples the guitar riff from the 1997 Skeewiff track ""The Thin Line"".",8,4,"== Biography == | === 1998–2000: Flex FM and ""I Don't Smoke"" ===",36892727,1997-01-01,1997-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Deekline retired from Flex FM in 2002 to focus on his own music after ""I Don't Smoke"" was signed by East West Records.",10,4,"== Biography == | === 1998–2000: Flex FM and ""I Don't Smoke"" ===",36892727,2002-01-01,2002-12-31,ML
2002–present,CD,YEAR_REGEX_1,TIME,time_reference,2002–present ===,1,5,== Biography == | === 2002–present ===,36892727,2002-01-01,,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, Deekline founded the label Jungle Cakes with Ed Solo, a sublabel of Hot Cakes and one of the biggest-selling jungle labels to date; it cleared and signed Dawn Penn's ""No No No"" which was championed by Kissy Sell Out on Radio One, as well as Giant Pussy Records with Tim Healey.",0,7,== Biography == | === 2002–present ===,36892727,2009-01-01,2009-12-31,ML
Dawn,NNP,DAY_TIME_REGEX,TIME,time_reference,"In 2009, Deekline founded the label Jungle Cakes with Ed Solo, a sublabel of Hot Cakes and one of the biggest-selling jungle labels to date; it cleared and signed Dawn Penn's ""No No No"" which was championed by Kissy Sell Out on Radio One, as well as Giant Pussy Records with Tim Healey.",0,7,== Biography == | === 2002–present ===,36892727,,,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Deekline reworked ""I Don't Smoke"" in 2014 alongside trap producers Specimen A and added a new rap by Majestic, titled as ""Don't Smoke 2014"".",1,7,== Biography == | === 2002–present ===,36892727,2014-01-01,2014-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"2000: ""I Don't Smoke"" – UK No. 11",0,10,"== Discography == | === Singles, EPs and remixes ===",36892727,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"2000: ""Sexy Cinderella"" (EastWest)",0,11,"== Discography == | === Singles, EPs and remixes ===",36892727,2000-01-01,2000-12-31,ML
