time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
22 August 1958,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Tatsuya Maeda (前田 達也, Maeda Tatsuya, was born 22 August 1958 in Naha, Okinawa, USCAR) is a Japanese musician and singer from Japan.",0,0,,16834617,1958-08-22,1958-08-22,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,Ultraman: The Ultimate Hero 1993 =,1,2,== Musical work == | === Ultraman: The Ultimate Hero 1993 ===,16834617,1993-01-01,1993-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,Blue SWAT 1994,1,5,== Musical work == | === Blue SWAT 1994 ===,16834617,1994-01-01,1994-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,Gekisou Sentai Carranger 1996,1,12,== Musical work == | === Gekisou Sentai Carranger 1996 ===,16834617,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,Ultraman: Super Fighter Legend (OVA) 1996,1,14,== Musical work == | === Ultraman: Super Fighter Legend (OVA) 1996 ===,16834617,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,Ultraman Dyna 1997,1,16,== Musical work == | === Ultraman Dyna 1997 ===,16834617,1997-01-01,1997-12-31,ML
Now,RB,TIMELINE_REGEX,TIME,time_reference,"""Now Flash"" (いまこそフラッシュ, Ima koso Furasshu)",0,18,== Musical work == | === Ultraman Dyna 1997 ===,16834617,,,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,Ultraman Tiga & Ultraman Dyna 1998,1,19,== Musical work == | === Ultraman Tiga & Ultraman Dyna 1998 ===,16834617,1998-01-01,1998-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,Ultraman Neos 2000,1,22,== Musical work == | === Ultraman Neos 2000 ===,16834617,2000-01-01,2000-12-31,ML
