time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, he released his debut mixtape, ""The Plaza"".",4,0,,43136612,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"The Plaza (2011, Cheers Club Music)",0,4,== Discography == | === Mixtapes ===,43136612,2011-01-01,2011-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Double Cup City (2012, Cheers Club Music)",0,5,== Discography == | === Mixtapes ===,43136612,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Survival Of The Swag (2012, Cheers Club Music)",0,6,== Discography == | === Mixtapes ===,43136612,2012-01-01,2012-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"King's Landing (2013, Cheers Club Music)",0,7,== Discography == | === Mixtapes ===,43136612,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Golden Army (2013, Cheers Club Music)",0,8,== Discography == | === Mixtapes ===,43136612,2013-01-01,2013-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Express 2 Harlem (2016, Cheers Club Music)",0,9,== Discography == | === Mixtapes ===,43136612,2016-01-01,2016-12-31,ML
