time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1968,CD,YEAR_REGEX_1,TIME,time_reference,"Ron was born in 1968, in London.",0,3,== Biography == | === Early life ===,60132300,1968-01-01,1968-12-31,ML
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"As a second-generation Caribbean immigrant growing up in East London in the 1980s, both Ron's Guyanese heritage and his London surroundings influenced his musical taste.",2,3,== Biography == | === Early life ===,60132300,1980-01-01,1989-12-31,ML
1982–1992,CD,YEAR_REGEX_1,TIME,time_reference,1982–1992: Early projects and success,1,5,== Career == | === 1982–1992: Early projects and success ===,60132300,1982-01-01,1992-12-31,ML
1982 and 1986,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"After playing on his elder brother’s sound system Romancers Delight, Ron was spotted by the East London sound system, TNT Road-Show Sound System, which he played on between 1982 and 1986.",0,6,== Career == | === 1982–1992: Early projects and success ===,60132300,1982-01-01,1986-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"With his time with TNT and additionally playing at two key events, one being a sound clash at Acton Town Hall, ‘Soul All Dayer of the Century’ (1987) and the other being an event at Loyola Hall, Ron's public appearance grew.",1,6,== Career == | === 1982–1992: Early projects and success ===,60132300,1987-01-01,1987-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"First, playing together on the Beatfreak Sound System and in the studio to record tracks, including recording ""Micron – Eastenders Rap"" (1988).",3,6,== Career == | === 1982–1992: Early projects and success ===,60132300,1988-01-01,1988-12-31,ML
1993–1996,CD,YEAR_REGEX_1,TIME,time_reference,1993–1996:,1,7,== Career == | === 1993–1996: The Jungle Don ===,60132300,1993-01-01,1996-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"In 1992 Ron hosted a radio show on Kool FM as part of the A-Team Supreme Team with DJ SL, MC Moose and MC 5ive-0, and guests including DJ Brockie, Grooverider, Kenny Ken, Fabio and Ray Keith.",1,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1992-01-01,1992-12-31,ML
1991–1995,CD,YEAR_REGEX_1,TIME,time_reference,"He then became a resident DJ at various rave organisations such as; Telepathy (1991–1995), Pirate Club (1992–1994), Desert Storm (1993–1995), Sunday Roast (1991–1996), VIP Champagne Bash (1994–1996), and Jungle Fever 1993–1996).",4,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1991-01-01,1995-12-31,ML
1992–1994,CD,YEAR_REGEX_1,TIME,time_reference,"He then became a resident DJ at various rave organisations such as; Telepathy (1991–1995), Pirate Club (1992–1994), Desert Storm (1993–1995), Sunday Roast (1991–1996), VIP Champagne Bash (1994–1996), and Jungle Fever 1993–1996).",4,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1992-01-01,1994-12-31,ML
1993–1995,CD,YEAR_REGEX_1,TIME,time_reference,"He then became a resident DJ at various rave organisations such as; Telepathy (1991–1995), Pirate Club (1992–1994), Desert Storm (1993–1995), Sunday Roast (1991–1996), VIP Champagne Bash (1994–1996), and Jungle Fever 1993–1996).",4,8,== Career == | === 1993–1996: The Jungle Don ===,60132300,1993-01-01,1995-12-31,ML
