time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1990s,CD,YEAR_REGEX_1,TIME,time_reference,"Double X Posse, also known as Double XX Posse, was an American 1990s hip hop group from Jersey City, New Jersey.",0,0,,20264825,,,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"Their debut album Put Ya Boots On (1992), spawned two successful singles.",1,0,,20264825,1992-01-01,1992-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"The first and most successful, titled ""Not Gonna be Able to Do It,"" reached No. 1 on the Billboard Hot Rap Singles in 1992 and also reached No. 68 on the Hot R&B/Hip-Hop Singles & Tracks chart in 1993.",2,0,,20264825,1992-01-01,1992-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"The first and most successful, titled ""Not Gonna be Able to Do It,"" reached No. 1 on the Billboard Hot Rap Singles in 1992 and also reached No. 68 on the Hot R&B/Hip-Hop Singles & Tracks chart in 1993.",2,0,,20264825,1993-01-01,1993-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"The group released a second album, Ruff, Rugged & Raw, in 1995.",4,0,,20264825,1995-01-01,1995-12-31,ML
the 1995,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"For the 1995 album, Ruff, Rugged & Raw, they released a single and video called ""Money Talks"" which was produced by Lord Finesse.",0,1,,20264825,1995-01-01,1995-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,Put Ya Boots On - 1992,0,3,== Discography ==,20264825,1992-01-01,1992-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Ruff, Rugged & Raw - 1995",0,4,== Discography ==,20264825,1995-01-01,1995-12-31,ML
