time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2012–2016,CD,YEAR_REGEX_1,TIME,time_reference,2012–2016,1,4,== Career == | === 2012–2016 ===,53593503,2012-01-01,2016-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2012, his debut song ""Axiom"" was released through the record label Kindergarten.",0,5,== Career == | === 2012–2016 ===,53593503,2012-01-01,2012-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"His 2015 collaboration titled ""Bittersweet"" with Dyro and vocalist Envy Monroe, which was released through Hardwell's Revealed Recordings, became one of his most successful songs.",2,5,== Career == | === 2012–2016 ===,53593503,2015-01-01,2015-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"In 2016, he released on Canadian record label Monstercat the singles ""On My Way Up"", ""I Wanna Know "" and ""City Lights"", the latter of which features vocalist Royal.",3,5,== Career == | === 2012–2016 ===,53593503,2016-01-01,2016-12-31,ML
2017–present,CD,YEAR_REGEX_1,TIME,time_reference,2017–present =,1,6,== Career == | === 2017–present ===,53593503,2017-01-01,,ML
March 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In March 2017, Conro released the single ""Chardonnay"" which features vocalist Karra.",0,7,== Career == | === 2017–present ===,53593503,2017-03-01,2017-03-31,ML
"May 17 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On May 17, 2017, he released a single titled ""Lay Low"" on Monstercat.",2,7,== Career == | === 2017–present ===,53593503,2017-05-17,2017-05-17,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"The song features vocalist David Benjamin, who met Conro at the Amsterdam Dance Event in 2016.",3,7,== Career == | === 2017–present ===,53593503,2016-01-01,2016-12-31,ML
July 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Conro released a single titled ""Close"", which would be included as the second single in his debut EP, in July 2017.",4,7,== Career == | === 2017–present ===,53593503,2017-07-01,2017-07-31,ML
"August 9 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On August 9, 2017, Conro released his debut EP titled Connecting the Dots, featuring 5 songs.",5,7,== Career == | === 2017–present ===,53593503,2017-08-09,2017-08-09,ML
"August 25 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On August 25, 2017, Conro collaborated with fellow future bass producers Anevo and Grant to release a single titled ""Without You"" on the Canadian record label Monstercat.",6,7,== Career == | === 2017–present ===,53593503,2017-08-25,2017-08-25,ML
"June 30 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On June 30, 2017, he released on Martin Garrix's label STMPD RCRDS, the song titled ""Like You Love Me"" as a collaboration with producer Disero and vocalist Alice France.",9,7,== Career == | === 2017–present ===,53593503,2017-06-30,2017-06-30,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014,0,16,== Discography == | === Remixes ===,53593503,2014-01-01,2014-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Popeska featuring Denny White – ""Heart Of Glass"" (Conro Remix)2016",0,17,== Discography == | === Remixes ===,53593503,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Paris Blohm featuring Blondfire – ""Something About You"" (Conro Ultra Miami 2016 Remix)",0,18,== Discography == | === Remixes ===,53593503,2016-01-01,2016-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Justin Bieber – ""As Long as You Love Me"" (Conro Remix)2017",0,21,== Discography == | === Remixes ===,53593503,2017-01-01,2017-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,2018,0,27,== Discography == | === Covers ===,53593503,2018-01-01,2018-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,2020,1,29,== Discography == | ==== 2020 ====,53593503,2020-01-01,2020-12-31,ML
of July 2017,IN NNP CD,PREFIX_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,Spotify streams as of July 2017.,5,5,== Career == | === 2012–2016 ===,53593503,,,ML
future,NN,TIMELINE_REGEX,TIME,time_reference,"On August 25, 2017, Conro collaborated with fellow future bass producers Anevo and Grant to release a single titled ""Without You"" on the Canadian record label Monstercat.",6,7,== Career == | === 2017–present ===,53593503,,,ML
the December 9 week,DT NNP CD NN,PREFIX_REGEX_1 MONTH_REGEX DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME NUMERAL TIME,time_reference,"In the December 9 week for the Billboard Dance/Mix Show Airplay chart, Conro's song ""Close"" peaked at 31st.",10,7,== Career == | === 2017–present ===,53593503,,,ML
September,NNP,MONTH_REGEX,TIME,time_reference,"Earth, Wind & Fire – ""September""",0,28,== Discography == | === Covers ===,53593503,,,ML
