time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"May 1 , 1978","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Raquel Miller (born May 1, 1978), better known by her stage name Mercedes, is an American singer, rapper and R&B",0,0,,7785097,1978-05-01,1978-05-01,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,1,2,"== Music career == | === 1997: Music beginnings, Rear End ===",7785097,1997-01-01,1997-12-31,ML
"May 29 , 1999","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On May 29, 1999, during an interview Mercedes discussed how she got signed to No Limit, clarifying she was born and raised in Detroit, Michigan, and was in her second year at Xavier University in New Orleans when No Limit group Kane & Abel saw her perform Shirley Murdock's ""As We Lay"" in a talent show.",0,3,"== Music career == | === 1997: Music beginnings, Rear End ===",7785097,1999-05-29,1999-05-29,ML
second year,JJ NN,ORDINAL_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"On May 29, 1999, during an interview Mercedes discussed how she got signed to No Limit, clarifying she was born and raised in Detroit, Michigan, and was in her second year at Xavier University in New Orleans when No Limit group Kane & Abel saw her perform Shirley Murdock's ""As We Lay"" in a talent show.",0,3,"== Music career == | === 1997: Music beginnings, Rear End ===",7785097,,,ML
"June 29 , 1999","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On June 29, 1999, Mercedes would release her debut album entitled Rear End it would be released on Master P's No Limit Records; as was typical for No Limit's releases at the time, the album featured other No Limit performing artists such as Mystikal, Mac, Mia X, Silkk the Shocker and",3,3,"== Music career == | === 1997: Music beginnings, Rear End ===",7785097,1999-06-29,1999-06-29,ML
less than a year,JJR IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER MODIFIER MODIFIER TIME,time_reference,"After releasing the album, Mercedes reportedly retired from the music business less than a year later to attend law school.",5,3,"== Music career == | === 1997: Music beginnings, Rear End ===",7785097,,,ML
