time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
10 October 1951,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Jose ""Boboy"" Teves Garrovillo Jr. (born 10 October 1951) is a Filipino singer and actor known for being a member of the musical trio APO Hiking Society.",0,0,,27195822,1951-10-10,1951-10-10,ML
"October 10 , 1951","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Garrovillo was born October 10, 1951 to Jose Garrovillo Sr.",0,2,== Family life ==,27195822,1951-10-10,1951-10-10,ML
1989–95,CD,YEAR_REGEX_1,TIME,time_reference,"Sa Linggo nAPO Sila (ABS-CBN, 1989–95)",0,5,== Filmography == | === Television ===,27195822,1989-01-01,1995-12-31,ML
1995–98,CD,YEAR_REGEX_1,TIME,time_reference,"Sang Linggo nAPO Sila (ABS-CBN, 1995–98)",0,6,== Filmography == | === Television ===,27195822,1995-01-01,1998-12-31,ML
1992–95,CD,YEAR_REGEX_1,TIME,time_reference,"Mr. Kupido (ABS-CBN, 1992–95)",0,7,== Filmography == | === Television ===,27195822,1992-01-01,1995-12-31,ML
1998–99,CD,YEAR_REGEX_1,TIME,time_reference,"Sabado Live (ABS-CBN, 1998–99)",0,8,== Filmography == | === Television ===,27195822,1998-01-01,1999-12-31,ML
2005–present,CD,YEAR_REGEX_1,TIME,time_reference,"Ang Pinaka (Q, 2005–present)",0,9,== Filmography == | === Television ===,27195822,2005-01-01,,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Marimar (GMA Network, 2007)",0,10,== Filmography == | === Television ===,27195822,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Celebrity Duets: Philippine Edition Season 1 (GMA Network, 2007)",0,11,== Filmography == | === Television ===,27195822,2007-01-01,2007-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Nagsimula sa Puso (ABS-CBN, 2009)",0,12,== Filmography == | === Television ===,27195822,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Talentadong Pinoy (TV5, 2010)",0,13,== Filmography == | === Television ===,27195822,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Diva (GMA Network,  2010)",0,14,== Filmography == | === Television ===,27195822,2010-01-01,2010-12-31,ML
Presents,NNS,TIMELINE_REGEX,TIME,time_reference,"Precious Hearts Romances Presents: Mana Po (ABS-CBN, 2011)",0,15,== Filmography == | === Television ===,27195822,,,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Precious Hearts Romances Presents: Mana Po (ABS-CBN, 2011)",0,15,== Filmography == | === Television ===,27195822,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"The Jose and Wally Show Starring Vic Sotto (TV5, 2011)",0,16,== Filmography == | === Television ===,27195822,2011-01-01,2011-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Alice Bungisngis and her Wonder Walis (GMA Network, 2012)",0,17,== Filmography == | === Television ===,27195822,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Aso ni San Roque (GMA Network, 2012) as Noah",0,18,== Filmography == | === Television ===,27195822,2012-01-01,2012-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Annaliza (ABS-CBN, 2013)",0,19,== Filmography == | === Television ===,27195822,2013-01-01,2013-12-31,ML
Mo,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Ipaglaban Mo: Ang Pangako Mo Sa Akin (ABS-CBN, 2014)",0,20,== Filmography == | === Television ===,27195822,,,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Ipaglaban Mo: Ang Pangako Mo Sa Akin (ABS-CBN, 2014)",0,20,== Filmography == | === Television ===,27195822,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Hawak Kamay (ABS-CBN, 2014)",0,21,== Filmography == | === Television ===,27195822,2014-01-01,2014-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Pepito Manaloto (GMA Network, 2015)",0,22,== Filmography == | === Television ===,27195822,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Pangako Sa 'Yo (ABS-CBN, 2015)",0,23,== Filmography == | === Television ===,27195822,2015-01-01,2015-12-31,ML
Mo,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Ipaglaban Mo: Nakaw Na Sandali (ABS-CBN, 2015)",0,24,== Filmography == | === Television ===,27195822,,,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Ipaglaban Mo: Nakaw Na Sandali (ABS-CBN, 2015)",0,24,== Filmography == | === Television ===,27195822,2015-01-01,2015-12-31,ML
