time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"August 30 , 1956","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Rodney Jones (born August 30, 1956) is an American jazz guitarist who worked with Jaki Byard, Chico Hamilton, Dizzy Gillespie, and Lena Horne and as a bandleader.",0,0,,30518067,1956-08-30,1956-08-30,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,"The Liberation of Contemporary Jazz Guitar (Strata-East, 1977)",0,4,== Discography == | === As leader ===,30518067,1977-01-01,1977-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,"Articulation (Timeless, 1978)",0,5,== Discography == | === As leader ===,30518067,1978-01-01,1978-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,"When You Feel the Love (Timeless, 1981)",0,6,== Discography == | === As leader ===,30518067,1981-01-01,1981-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,Friends (1981),0,7,== Discography == | === As leader ===,30518067,1981-01-01,1981-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,"My Funny Valentine (Timeless, 1983)",0,8,== Discography == | === As leader ===,30518067,1983-01-01,1983-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"The Unspoken Heart (Minor Music, 1992)",0,9,== Discography == | === As leader ===,30518067,1992-01-01,1992-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"The ""X"" Field (MusicMasters, 1996)",0,10,== Discography == | === As leader ===,30518067,1996-01-01,1996-12-31,ML
Right Now,RB RB,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,"Right Now (Minor Music, 1996)",0,11,== Discography == | === As leader ===,30518067,,,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Right Now (Minor Music, 1996)",0,11,== Discography == | === As leader ===,30518067,1996-01-01,1996-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"The Undiscovered Few (Blue Note, 1999)",0,12,== Discography == | === As leader ===,30518067,1999-01-01,1999-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Soul Manifesto (Blue Note, 2001)",0,13,== Discography == | === As leader ===,30518067,2001-01-01,2001-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"(Savant, 2003)",1,14,== Discography == | === As leader ===,30518067,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Dreams and Stories (Savant, 2005)",0,15,== Discography == | === As leader ===,30518067,2005-01-01,2005-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"A Thousand Small Things (18th & Vine, 2009)",0,16,== Discography == | === As leader ===,30518067,2009-01-01,2009-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Blues On Broadway (Fantasy, 1989)",0,19,== Discography == | === As sideman ===,30518067,1989-01-01,1989-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"Fine and Mellow (Fantasy, 1992)",0,20,== Discography == | === As sideman ===,30518067,1992-01-01,1992-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"The Songs of My Life (Victor, 1993)",0,21,== Discography == | === As sideman ===,30518067,1993-01-01,1993-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"R+B=Ruth Brown (Bullseye Blues, 1997)With Lena Horne",0,22,== Discography == | === As sideman ===,30518067,1997-01-01,1997-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"We'll Be Together Again (Blue Note, 1994)",0,23,== Discography == | === As sideman ===,30518067,1994-01-01,1994-12-31,ML
An Evening,DT NN,INARTICLE_REGEX DAY_TIME_REGEX,MODIFIER TIME,time_reference,"An Evening with (Blue Note, 1995)",0,24,== Discography == | === As sideman ===,30518067,,,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"An Evening with (Blue Note, 1995)",0,24,== Discography == | === As sideman ===,30518067,1995-01-01,1995-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Being Myself (Blue Note, 1998)With Jimmy McGriff",0,25,== Discography == | === As sideman ===,30518067,1998-01-01,1998-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"You Ought to Think About Me (Headfirst, 1990)",0,26,== Discography == | === As sideman ===,30518067,1990-01-01,1990-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Right Turn On Blue (Telarc, 1994)",0,27,== Discography == | === As sideman ===,30518067,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"McGriff's Blues (K-Tel, 1994)",0,28,== Discography == | === As sideman ===,30518067,1994-01-01,1994-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Straight Up (Milestone, 1998)",0,29,== Discography == | === As sideman ===,30518067,1998-01-01,1998-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"McGriff's House Party (Milestone, 2000)",0,30,== Discography == | === As sideman ===,30518067,2000-01-01,2000-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"McGriff Avenue (Milestone, 2002)With",0,31,== Discography == | === As sideman ===,30518067,2002-01-01,2002-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"Roots Revisited (Minor Music, 1990)",0,32,== Discography == | === As sideman ===,30518067,1990-01-01,1990-12-31,ML
Mo,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Mo' Roots (Verve, 1991)",0,33,== Discography == | === As sideman ===,30518067,,,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Mo' Roots (Verve, 1991)",0,33,== Discography == | === As sideman ===,30518067,1991-01-01,1991-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"Life on Planet Groove (Minor Music, 1992)",0,34,== Discography == | === As sideman ===,30518067,1992-01-01,1992-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Southern Exposure (Minor Music, 1993)With",0,35,== Discography == | === As sideman ===,30518067,1993-01-01,1993-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"(Universal/EmArcy, 2009)",1,36,== Discography == | === As sideman ===,30518067,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Organ Soul Sessions: Mercy (Universal/EmArcy, 2009)",0,37,== Discography == | === As sideman ===,30518067,2009-01-01,2009-12-31,ML
