time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"August 16 , 1970","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Walter Reed (born August 16, 1970), better known by his stage name Killah Priest, is an American rapper, member of Sunz of Man and Wu-Tang Clan affiliate who was raised in Bedford-Stuyvesant and Brownsville, Brooklyn.",0,0,,705165,1970-08-16,1970-08-16,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Killah Priest first made himself known to the hip hop world rapping on two songs on the Gravediggaz album 6 Feet Deep (which are ""Diary of a Madman"" and ""Graveyard Chamber"") in 1994, and followed this with two appearances on each of two Wu-Tang Clan solo albums, Ol' Dirty Bastard's Return to the 36 Chambers: The Dirty Version and GZA's Liquid Swords, both from 1995 (see 1995 in music).",0,3,== Biography == | === 1990s ===,705165,1994-01-01,1994-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Killah Priest first made himself known to the hip hop world rapping on two songs on the Gravediggaz album 6 Feet Deep (which are ""Diary of a Madman"" and ""Graveyard Chamber"") in 1994, and followed this with two appearances on each of two Wu-Tang Clan solo albums, Ol' Dirty Bastard's Return to the 36 Chambers: The Dirty Version and GZA's Liquid Swords, both from 1995 (see 1995 in music).",0,3,== Biography == | === 1990s ===,705165,1995-01-01,1995-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Also in 1995, Priest's group Sunz Of Man with rappers Hell Razah, 60 Second Assassin, Prodigal Sunn, Shabazz the Disciple were signed to Wu-Tang Records and released three 12"" singles through the label.",2,3,== Biography == | === 1990s ===,705165,1995-01-01,1995-12-31,ML
"February 24 , 1998","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Killah Priest's first solo album was Heavy Mental, released on Geffen Records on February 24, 1998.",0,4,== Biography == | === 1990s ===,705165,1998-02-24,1998-02-24,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Sunz Of Man released their debut album The Last Shall Be First later in 1998, but by that time Priest's ties to the Wu were beginning to weaken, as he and long-time friend Shabazz clashed with RZA (their business ties with the Wu also began to weaken after the GZA Entertainment management agency, which they were both signed to, dissolved in 1996).",3,4,== Biography == | === 1990s ===,705165,1998-01-01,1998-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Sunz Of Man released their debut album The Last Shall Be First later in 1998, but by that time Priest's ties to the Wu were beginning to weaken, as he and long-time friend Shabazz clashed with RZA (their business ties with the Wu also began to weaken after the GZA Entertainment management agency, which they were both signed to, dissolved in 1996).",3,4,== Biography == | === 1990s ===,705165,1996-01-01,1996-12-31,ML
October 2003,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In October 2003, Killah Priest and Dreddy Kruger released a nine track album entitled The Horsemen Project.",1,6,== Biography == | === 2000s ===,705165,2003-10-01,2003-10-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"His first independent release Priesthood (2001), released on Proverbs Music, his own record label, was critically acclaimed though it suffered from very limited distribution.",1,7,== Biography == | === 2000s ===,705165,2001-01-01,2001-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Black August followed in 2003 on Recon Records, and was also well received.",2,7,== Biography == | === 2000s ===,705165,2003-01-01,2003-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, Killah Priest launched the controversial music video ""Redemption"" directed by One_Over.",6,7,== Biography == | === 2000s ===,705165,2009-01-01,2009-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"In 2004, Priest performed numerous times with other Wu-Tang Killa Beez and also appeared on Masta Killa's album No Said Date.",0,8,== Biography == | === 2000s ===,705165,2004-01-01,2004-12-31,ML
November 2005,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"November 2005 saw the re-release of Priesthood on Mic Club Music, a label owned by Louis Lombard III (aka Luminati), who produced Priesthood as well as recent albums by Canibus.",1,8,== Biography == | === 2000s ===,705165,2005-11-01,2005-11-30,ML
March 2007,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"March 2007 saw the release of Killah Priest's mixtape album ""End of the World"".",2,8,== Biography == | === 2000s ===,705165,2007-03-01,2007-03-31,ML
