time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"September 12 , 1989","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Tiara Nicole Thomas (born September 12, 1989) is an American singer-songwriter.",0,0,,34639024,1989-09-12,1989-09-12,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"In 2013, Thomas was featured on the Wale single ""Bad"", which has been certified 3x Platinum by Recording Industry Association of America.",1,0,,34639024,2013-01-01,2013-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,"In 2021, she won the Grammy Award for Song of the Year for co-writing ""I Can't Breathe"".",3,0,,34639024,2021-01-01,2021-12-31,ML
June 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In June 2012, Thomas graduated from Ball State University.",5,2,== Early life ==,34639024,2012-06-01,2012-06-30,ML
2009–2012,CD,YEAR_REGEX_1,TIME,time_reference,2009–2012:,1,5,== Career == | === 2009–2012: Early career ===,34639024,2009-01-01,2012-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Thomas met founders of The Board Administration Wale and Le'Greg O. Harrison in a club in Atlanta during a Wale concert in 2009.,0,6,== Career == | === 2009–2012: Early career ===,34639024,2009-01-01,2009-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,Thomas signed to The Board Administration in 2011.,3,6,== Career == | === 2009–2012: Early career ===,34639024,2011-01-01,2011-12-31,ML
"August 3 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On August 3, 2010, the world was introduced to Tiara Thomas on ""The Cloud"" with Wale through his mixtape More About Nothing.",5,6,== Career == | === 2009–2012: Early career ===,34639024,2010-08-03,2010-08-03,ML
"May 30 , 2011","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Her name trended worldwide on May 30, 2011, on Twitter the day ""The Cloud"" video released.",6,6,== Career == | === 2009–2012: Early career ===,34639024,2011-05-30,2011-05-30,ML
2013–present,CD,YEAR_REGEX_1,TIME,time_reference,"2013–present: Bad, Dear Sallie Mae EP and debut album =",1,7,"== Career == | === 2013–present: Bad, Dear Sallie Mae EP and debut album ===",34639024,2013-01-01,,ML
