time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
27 October 1975,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Makidai (stylized as MAKIDAI; born 27 October 1975, in Sakae-ku, Yokohama, Kanagawa Prefecture) is a Japanese dancer, DJ, actor and television presenter.",0,0,,52992826,1975-10-27,1975-10-27,ML
presenter,NN,TIMELINE_REGEX,TIME,time_reference,"Makidai (stylized as MAKIDAI; born 27 October 1975, in Sakae-ku, Yokohama, Kanagawa Prefecture) is a Japanese dancer, DJ, actor and television presenter.",0,0,,52992826,,,ML
