time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
3 February 1967,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Børge Petersen-Øverleir (born 3 February 1967 in Hemnesberget, Norway) is a Norwegian guitarist, raised in Bergen and Bodø, early active in heavy rock, autodidact in jazz centered around in Bodø.",0,0,,51191611,1967-02-03,1967-02-03,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,7,== Discography == | === Solo album ===,51191611,2007-01-01,2007-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,10,== Discography == | === Collaborations ===,51191611,1994-01-01,1994-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,1989:,0,11,== Discography == | === Collaborations ===,51191611,1989-01-01,1989-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,1991:,0,12,== Discography == | === Collaborations ===,51191611,1991-01-01,1991-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994: Kjærlighetslandet (),0,13,== Discography == | === Collaborations ===,51191611,1994-01-01,1994-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,14,== Discography == | === Collaborations ===,51191611,1996-01-01,1996-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,15,== Discography == | === Collaborations ===,51191611,2001-01-01,2001-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,16,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,1992: Kanskje (Darius),0,17,== Discography == | === Collaborations ===,51191611,1992-01-01,1992-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,18,== Discography == | === Collaborations ===,51191611,1996-01-01,1996-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"2010: Møte (), with Bodø SinfoniettaWith Henning Gravrok1990:",0,19,== Discography == | === Collaborations ===,51191611,2010-01-01,2010-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,20,== Discography == | === Collaborations ===,51191611,1996-01-01,1996-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,21,== Discography == | === Collaborations ===,51191611,1998-01-01,1998-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006:,0,22,== Discography == | === Collaborations ===,51191611,2006-01-01,2006-12-31,ML
