time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2010,CD,YEAR_REGEX_1,TIME,time_reference,"She moved to New York City, eventually settling in Jersey City, in 2010, where she was signed on the Motéma Music label.",0,4,== Biography ==,32716522,2010-01-01,2010-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"On the Ebony Road (CD Baby, 2006)",0,11,== Discography == | === as leader ===,32716522,2006-01-01,2006-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Berber Taxi (Motéma Music, 2011)",0,12,== Discography == | === as leader ===,32716522,2011-01-01,2011-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Mycale: Book of Angels Volume 13 (Tzadik, 2009)",0,14,== Discography == | === with Mycale ===,32716522,2009-01-01,2009-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"John Zorn - Nova Express (Tadzik, 2011)",0,16,== Discography == | === as guest artist ===,32716522,2011-01-01,2011-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Marcin Wasilewski Trio - Faithful (ECM, 2011)",0,17,== Discography == | === as guest artist ===,32716522,2011-01-01,2011-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Amy Lee - Aftermath (110 Records, Inc, 2014)",0,18,== Discography == | === as guest artist ===,32716522,2014-01-01,2014-12-31,ML
