time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
23 June 1981,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Antony Daniel Costa (born 23 June 1981) is an English singer-songwriter and actor.,0,0,,2822871,1981-06-23,1981-06-23,ML
3 September 2011,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,He has a sister Natalie and a brother Louis who appeared on The X Factor on 3 September 2011 and who was also in a group called The Chase  with former S Club 8 member Jay Asforis.,3,2,== Early life ==,2822871,2011-09-03,2011-09-03,ML
2000–2005,CD,YEAR_REGEX_1,TIME,time_reference,2000–2005:,1,5,== Career == | === 2000–2005: Career with Blue ===,2822871,2000-01-01,2005-12-31,ML
early 2000,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In early 2000, Costa and Duncan James convinced Lee Ryan and Simon Webbe to form the group Blue.",0,6,== Career == | === 2000–2005: Career with Blue ===,2822871,2000-01-01,2000-12-31,ML
May 2001,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The band released their debut single ""All Rise"" in May 2001 and it reached number 4 on the UK Singles Chart.",2,6,== Career == | === 2000–2005: Career with Blue ===,2822871,2001-05-01,2001-05-31,ML
August 2001,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Their follow-up single ""Too Close"" was released in August 2001 peaking at No. 1 on the UK Singles Chart.",3,6,== Career == | === 2000–2005: Career with Blue ===,2822871,2001-08-01,2001-08-31,ML
November,NNP,MONTH_REGEX,TIME,time_reference,"They went on to achieve a second number one in November with the ballad ""If You Come Back"".",4,6,== Career == | === 2000–2005: Career with Blue ===,2822871,,,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,"The album All Rise was released in time for Christmas and reached number one, eventually selling in excess of 1.8 million albums in the UK.",5,6,== Career == | === 2000–2005: Career with Blue ===,2822871,,,ML
March 2002,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The final single from the album, ""Fly By II"", reached number six in March 2002.",6,6,== Career == | === 2000–2005: Career with Blue ===,2822871,2002-03-01,2002-03-31,ML
October 2002,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Their second studio album, One Love was released in October 2002, entering at No. 1 on the UK Albums Chart and selling more than 150,000 copies.",7,6,== Career == | === 2000–2005: Career with Blue ===,2822871,2002-10-01,2002-10-31,ML
autumn 2003,NN CD,SEASON_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Their third studio album, Guilty, was released in autumn 2003, entering at No. 1 on the UK Albums Chart and selling 100,000 copies on the week of release.",9,6,== Career == | === 2000–2005: Career with Blue ===,2822871,2003-01-01,2003-12-31,ML
the week,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Their third studio album, Guilty, was released in autumn 2003, entering at No. 1 on the UK Albums Chart and selling 100,000 copies on the week of release.",9,6,== Career == | === 2000–2005: Career with Blue ===,2822871,,,ML
previously,RB,TIMELINE_REGEX,TIME,time_reference,"Following the release of Best of Blue, includes three tracks only previously in Japan: ""The Gift"", ""It's Alright"" and ""Elements"".",0,7,== Career == | === 2000–2005: Career with Blue ===,2822871,,,ML
This Christmas,DT NNP,PREFIX_REGEX_1 HOLIDAY_REGEX,MODIFIER TIME,time_reference,"By the indication of the album booklet, a live version of ""Lonely This Christmas"" from CD:UK was intended to be track seven on the album, however, was removed from the track listing for unknown reasons.",1,7,== Career == | === 2000–2005: Career with Blue ===,2822871,,,ML
July 2005,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The album was released in July 2005, becoming available in several European countries, as well as Japan, Thailand and China, however, was a commercial failure and failed to chart anywhere.",2,7,== Career == | === 2000–2005: Career with Blue ===,2822871,2005-07-01,2005-07-31,ML
2006–2010,CD,YEAR_REGEX_1,TIME,time_reference,"2006–2010: Heart Full of Soul, stage and television =",1,8,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2006-01-01,2010-12-31,ML
the 2005,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,Costa was a contestant on the 2005 series of I'm a Celebrity... Get Me Out of Here!,0,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2005-01-01,2005-12-31,ML
3 December 2005,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,and was evicted from the programme on 3 December 2005 after fourteen days.,1,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2005-12-03,2005-12-03,ML
fourteen days,JJ NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,and was evicted from the programme on 3 December 2005 after fourteen days.,1,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,,,ML
February 2006,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"He released his debut solo single called ""Do You Ever Think of Me"" in February 2006.",2,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2006-02-01,2006-02-28,ML
the 2006,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"He went on to compete in the 2006 Eurovision: Making Your Mind Up programme to find a competitor to represent the UK in the Eurovision Song Contest 2006, but did not win the honour, with ""It's a Beautiful Thing"".",5,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"He went on to compete in the 2006 Eurovision: Making Your Mind Up programme to find a competitor to represent the UK in the Eurovision Song Contest 2006, but did not win the honour, with ""It's a Beautiful Thing"".",5,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2006-01-01,2006-12-31,ML
June 2006,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In June 2006 Costa posed naked for Cosmopolitan magazine's 10 Years of Naked Male Centrefolds, alongside other stars including singer Ronan Keating, actor Danny Dyer, Labour MP Jim Devine, and TV presenter Craig Doyle.",6,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2006-06-01,2006-06-30,ML
10 Years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"In June 2006 Costa posed naked for Cosmopolitan magazine's 10 Years of Naked Male Centrefolds, alongside other stars including singer Ronan Keating, actor Danny Dyer, Labour MP Jim Devine, and TV presenter Craig Doyle.",6,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,,,ML
presenter,NN,TIMELINE_REGEX,TIME,time_reference,"In June 2006 Costa posed naked for Cosmopolitan magazine's 10 Years of Naked Male Centrefolds, alongside other stars including singer Ronan Keating, actor Danny Dyer, Labour MP Jim Devine, and TV presenter Craig Doyle.",6,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,,,ML
3 July 2006,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Costa's debut album, Heart Full of Soul was released on 3 July 2006 only in Japan by his record label, Globe Records.",7,9,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2006-07-03,2006-07-03,ML
10 April 2006,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"From 10 April 2006, Costa played the lead role of Mickey Johnstone in the London production of the long-running musical Blood Brothers, directed and produced by Bill Kenwright; his contract ran to February 2007.",0,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2006-04-10,2006-04-10,ML
February 2007,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"From 10 April 2006, Costa played the lead role of Mickey Johnstone in the London production of the long-running musical Blood Brothers, directed and produced by Bill Kenwright; his contract ran to February 2007.",0,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2007-02-01,2007-02-28,ML
March,NNP,MONTH_REGEX,TIME,time_reference,"From March, Costa toured the UK in the tenth anniversary tour of Boogie Nights.",1,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,,,ML
Nights,NNP,DAY_TIME_REGEX,TIME,time_reference,"From March, Costa toured the UK in the tenth anniversary tour of Boogie Nights.",1,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,,,ML
February and March 2008,NNP CC NNP CD,MONTH_REGEX LINKAGE_REGEX MONTH_REGEX YEAR_REGEX_1,TIME MODIFIER TIME TIME,time_reference,"Costa had his first solo UK tour in February and March 2008, performing songs from his debut album.",2,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2008-02-01,2008-03-31,ML
16 February 2008,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"His UK tour had eighteen dates, which started on 16 February 2008 at The Brindley, in Runcorn and finished on 26 March 2008 in Barrow in Furness.",3,10,"== Career == | === 2006–2010: Heart Full of Soul, stage and television ===",2822871,2008-02-16,2008-02-16,ML
