time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2008,CD,YEAR_REGEX_1,TIME,time_reference,"In 2008, Darken won an Academy of Country Music award for Musician Of The Year in the ""Specialty Instrument"" category.",0,5,== Biography == | === Awards ===,55670431,2008-01-01,2008-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,Darken won the Gospel Music Association Dove Award for Instrumental Album Of The Year in 1996.,1,5,== Biography == | === Awards ===,55670431,1996-01-01,1996-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Darken's first solo album, A Drummer Boy's Christmas, was a jazz Christmas album released in 1993.",0,7,== Biography == | === Critical reception ===,55670431,1993-01-01,1993-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,10,== Discography == | === Solo albums ===,55670431,1993-01-01,1993-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,11,== Discography == | === Solo albums ===,55670431,1995-01-01,1995-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,12,== Discography == | === Solo albums ===,55670431,1995-01-01,1995-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,13,== Discography == | === Solo albums ===,55670431,1999-01-01,1999-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,15,== Discography == | === With The Players ===,55670431,1996-01-01,1996-12-31,ML
1991–1999,CD,YEAR_REGEX_1,TIME,time_reference,==== 1991–1999,0,17,== Discography == | ==== 1991–1999 ====,55670431,1991-01-01,1999-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,1991:,0,18,== Discography == | ==== 1991–1999 ====,55670431,1991-01-01,1991-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,1992: 4Him - The Basics of Life (Benson Records),0,19,== Discography == | ==== 1991–1999 ====,55670431,1992-01-01,1992-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,20,== Discography == | ==== 1991–1999 ====,55670431,1993-01-01,1993-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,21,== Discography == | ==== 1991–1999 ====,55670431,1993-01-01,1993-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,22,== Discography == | ==== 1991–1999 ====,55670431,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994: 4Him - The Ride (Benson),0,23,== Discography == | ==== 1991–1999 ====,55670431,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,24,== Discography == | ==== 1991–1999 ====,55670431,1994-01-01,1994-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995:,0,25,== Discography == | ==== 1991–1999 ====,55670431,1995-01-01,1995-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,26,== Discography == | ==== 1991–1999 ====,55670431,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,27,== Discography == | ==== 1991–1999 ====,55670431,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,28,== Discography == | ==== 1991–1999 ====,55670431,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,29,== Discography == | ==== 1991–1999 ====,55670431,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996: 4Him - The Message (Benson),0,30,== Discography == | ==== 1991–1999 ====,55670431,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997: Switchfoot - The Legend of Chin (re:think),0,31,== Discography == | ==== 1991–1999 ====,55670431,1997-01-01,1997-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,32,== Discography == | ==== 1991–1999 ====,55670431,1998-01-01,1998-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,33,== Discography == | ==== 1991–1999 ====,55670431,1998-01-01,1998-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,34,== Discography == | ==== 1991–1999 ====,55670431,1998-01-01,1998-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,35,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,36,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,37,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,38,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,39,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,40,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999: Martin Taylor - Kiss and Tell (Columbia),0,41,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,42,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,43,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,44,== Discography == | ==== 1991–1999 ====,55670431,1999-01-01,1999-12-31,ML
2000–2002,CD,YEAR_REGEX_1,TIME,time_reference,2000–2002,1,45,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2002-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,46,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000: Billy Ray Cyrus - Southern Rain (Monument),0,47,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,48,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,49,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,50,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,51,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,52,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000:,0,53,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000: Lee Ann Womack - I Hope You Dance (MCA Nashville),0,54,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,2000: 4Him - Hymns: A Place of Worship (Benson),0,55,== Discography == | ==== 2000–2002 ====,55670431,2000-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001: Brooks & Dunn - Steers & Stripes (Arista Nashville),0,56,== Discography == | ==== 2000–2002 ====,55670431,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,57,== Discography == | ==== 2000–2002 ====,55670431,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,58,== Discography == | ==== 2000–2002 ====,55670431,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,59,== Discography == | ==== 2000–2002 ====,55670431,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,60,== Discography == | ==== 2000–2002 ====,55670431,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001: SHeDAISY - The Whole SHeBANG (Lyric Street),0,61,== Discography == | ==== 2000–2002 ====,55670431,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,62,== Discography == | ==== 2000–2002 ====,55670431,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002: ...,0,63,== Discography == | ==== 2000–2002 ====,55670431,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,64,== Discography == | ==== 2000–2002 ====,55670431,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,65,== Discography == | ==== 2000–2002 ====,55670431,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,66,== Discography == | ==== 2000–2002 ====,55670431,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,67,== Discography == | ==== 2000–2002 ====,55670431,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,68,== Discography == | ==== 2000–2002 ====,55670431,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,69,== Discography == | ==== 2000–2002 ====,55670431,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,70,== Discography == | ==== 2000–2002 ====,55670431,2002-01-01,2002-12-31,ML
2003–2004,CD,YEAR_REGEX_1,TIME,time_reference,2003–2004,1,71,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2004-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: Gary Allan - See If I Care (MCA Nashville),0,72,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: Larry Carlton - Sapphire Blue (Bluebird),0,73,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,74,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,75,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003: Lynyrd Skynyrd - Vicious Cycle (Sanctuary),0,76,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,77,== Discography == | ==== 2003–2004 ====,55670431,2003-01-01,2003-12-31,ML
