time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
24 June 1983,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Mikael Mats Robert Persson (born 24 June 1983), better known by his stage name Mike Perry, is a Swedish DJ and music producer from Skövde.",0,0,,51372124,1983-06-24,1983-06-24,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"He is best known for his 2016 single ""The Ocean"" featuring vocals from Shy Martin, which peaked at number 1 on the Swedish Singles Chart.",1,0,,51372124,2016-01-01,2016-12-31,ML
2012–2015,CD,YEAR_REGEX_1,TIME,time_reference,2012–2015:,1,2,== Career == | === 2012–2015: Beginnings ===,51372124,2012-01-01,2015-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"In 2007, Perry released ""Psycadelic"" with Stephan M. In 2012, Perry released ""Put Me Up"", an electronic dance music production on the Mark Brown label, and released on CR2 Records.",0,3,== Career == | === 2012–2015: Beginnings ===,51372124,2007-01-01,2007-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2007, Perry released ""Psycadelic"" with Stephan M. In 2012, Perry released ""Put Me Up"", an electronic dance music production on the Mark Brown label, and released on CR2 Records.",0,3,== Career == | === 2012–2015: Beginnings ===,51372124,2012-01-01,2012-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"In 2013, Perry began releasing music in a ""big room"" style.",2,3,== Career == | === 2012–2015: Beginnings ===,51372124,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Also in 2013, Miriam Bryant's ""Push & Play"" was remixed by Filip Jenven and Mike Perry.",3,3,== Career == | === 2012–2015: Beginnings ===,51372124,2013-01-01,2013-12-31,ML
2013 to 2016,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,Perry released several pieces of music from 2013 to 2016.,4,3,== Career == | === 2012–2015: Beginnings ===,51372124,2013-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016:,1,4,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,2016-01-01,2016-12-31,ML
15 April 2016,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 15 April 2016 the track was released, featuring vocals from Shy Martin.",1,5,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,2016-04-15,2016-04-15,ML
21 October 2016,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"The follow-up single ""Inside the Lines"" was released on 21 October 2016.",3,5,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,2016-10-21,2016-10-21,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"His third tropical house release in 2016 was the track ""Touching You Again"".",5,5,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,2016-01-01,2016-12-31,ML
15 May 2017,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 15 May 2017, Perry announced his upcoming single ""Hands"" featuring American singer Sabrina Carpenter and British boy band The Vamps, which was released later in the month.",7,5,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,2017-05-15,2017-05-15,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Perry released more singles going into 2018 including ""California"" featuring Hot Shade and Karlyn and ""Don't Hide"" with Willemijn May, which number 35 and 31 on the Swedish charts respectively.",8,5,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,2018-01-01,2018-12-31,ML
18 January 2019,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 18 January 2019, Perry released ""Runaway"", peaking #1 position in  United States, Chile and Hungary.",0,6,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,2019-01-18,2019-01-18,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,"In 2019, Perry released the single ""Changes"" with fellow DJs Ten Times and Dmitri Vangelis and Wyman with vocals from The Companions which reached number 65 in Sweden.",1,6,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,2019-01-01,2019-12-31,ML
the Night,DT NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,"This was followed by a collaboration with Cecilia Axeland called ""We Don't Sleep in the Night"" as well as ""Whompin"" with Filip Jenven.",1,3,== Career == | === 2012–2015: Beginnings ===,51372124,,,ML
the month,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"On 15 May 2017, Perry announced his upcoming single ""Hands"" featuring American singer Sabrina Carpenter and British boy band The Vamps, which was released later in the month.",7,5,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,,,ML
May,NNP,MONTH_REGEX,TIME,time_reference,"Perry released more singles going into 2018 including ""California"" featuring Hot Shade and Karlyn and ""Don't Hide"" with Willemijn May, which number 35 and 31 on the Swedish charts respectively.",8,5,"== Career == | === 2016: Breakthrough with ""The Ocean"" ===",51372124,,,ML
