time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
1927,CD,YEAR_REGEX_1,TIME,time_reference,3,0,1927-01-01,1927-12-31,ML
1930,CD,YEAR_REGEX_1,TIME,time_reference,3,0,1930-01-01,1930-12-31,ML
1913,CD,YEAR_REGEX_1,TIME,time_reference,3,2,1913-01-01,1913-12-31,ML
1915,CD,YEAR_REGEX_1,TIME,time_reference,4,2,1915-01-01,1915-12-31,ML
1924,CD,YEAR_REGEX_1,TIME,time_reference,7,2,1924-01-01,1924-12-31,ML
the 1920s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,8,2,1920-01-01,1929-12-31,ML
1930,CD,YEAR_REGEX_1,TIME,time_reference,10,2,1930-01-01,1930-12-31,ML
1930,CD,YEAR_REGEX_1,TIME,time_reference,11,2,1930-01-01,1930-12-31,ML
1928,CD,YEAR_REGEX_1,TIME,time_reference,12,2,1928-01-01,1928-12-31,ML
1949,CD,YEAR_REGEX_1,TIME,time_reference,13,2,1949-01-01,1949-12-31,ML
1927,CD,YEAR_REGEX_1,TIME,time_reference,1,4,1927-01-01,1927-12-31,ML
1937,CD,YEAR_REGEX_1,TIME,time_reference,4,4,1937-01-01,1937-12-31,ML
1927,CD,YEAR_REGEX_1,TIME,time_reference,1,5,1927-01-01,1927-12-31,ML
"June , 1928","NNP , CD",MONTH_REGEX COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_reference,3,5,1928-06-16,1928-06-16,ML
May 1935,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,5,5,1935-05-01,1935-05-31,ML
September 1935,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,6,5,1935-09-01,1935-09-30,ML
"December , 1935","NNP , CD",MONTH_REGEX COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_reference,7,5,1935-12-16,1935-12-16,ML
1936,CD,YEAR_REGEX_1,TIME,time_reference,10,5,1936-01-01,1936-12-31,ML
1937,CD,YEAR_REGEX_1,TIME,time_reference,0,6,1937-01-01,1937-12-31,ML
1939,CD,YEAR_REGEX_1,TIME,time_reference,1,6,1939-01-01,1939-12-31,ML
1939–1943,CD,YEAR_REGEX_1,TIME,time_reference,6,6,1939-01-01,1943-12-31,ML
1941,CD,YEAR_REGEX_1,TIME,time_reference,6,6,1941-01-01,1941-12-31,ML
1942,CD,YEAR_REGEX_1,TIME,time_reference,8,6,1942-01-01,1942-12-31,ML
about 1944,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,9,6,1944-01-01,1944-12-31,ML
the 1950s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,10,6,1950-01-01,1959-12-31,ML
1939,CD,YEAR_REGEX_1,TIME,time_reference,11,6,1939-01-01,1939-12-31,ML
"March 15 , 1945","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,7,1945-03-15,1945-03-15,ML
June 1945,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,1,7,1945-06-01,1945-06-30,ML
1947,CD,YEAR_REGEX_1,TIME,time_reference,3,7,1947-01-01,1947-12-31,ML
1950,CD,YEAR_REGEX_1,TIME,time_reference,7,7,1950-01-01,1950-12-31,ML
1953,CD,YEAR_REGEX_1,TIME,time_reference,8,7,1953-01-01,1953-12-31,ML
"December 26 , 1953","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,10,7,1953-12-26,1953-12-26,ML
1954 to 1956,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,11,7,1954-01-01,1956-12-31,ML
January 1956,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,13,7,1956-01-01,1956-01-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,8,1956-01-01,1956-12-31,ML
"June 12 , 1957","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,8,1957-06-12,1957-06-12,ML
"December 31 , 1956","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,3,8,1956-12-31,1956-12-31,ML
"March 12 , 1957","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,7,8,1957-03-12,1957-03-12,ML
the 2008,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,10,2008-01-01,2008-12-31,ML
1947,CD,YEAR_REGEX_1,TIME,time_reference,0,12,1947-01-01,1947-12-31,ML
1938,CD,YEAR_REGEX_1,TIME,time_reference,0,13,1938-01-01,1938-12-31,ML
1938,CD,YEAR_REGEX_1,TIME,time_reference,0,15,1938-01-01,1938-12-31,ML
1942,CD,YEAR_REGEX_1,TIME,time_reference,0,16,1942-01-01,1942-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,0,17,1943-01-01,1943-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,0,18,1944-01-01,1944-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,0,19,1944-01-01,1944-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,0,20,1944-01-01,1944-12-31,ML
1947,CD,YEAR_REGEX_1,TIME,time_reference,0,21,1947-01-01,1947-12-31,ML
1939,CD,YEAR_REGEX_1,TIME,time_reference,0,26,1939-01-01,1939-12-31,ML
1938,CD,YEAR_REGEX_1,TIME,time_reference,0,29,1938-01-01,1938-12-31,ML
1941,CD,YEAR_REGEX_1,TIME,time_reference,2,58,1941-01-01,1941-12-31,ML
the 1920s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,3,58,1920-01-01,1929-12-31,ML
1942,CD,YEAR_REGEX_1,TIME,time_reference,4,58,1942-01-01,1942-12-31,ML
1946,CD,YEAR_REGEX_1,TIME,time_reference,5,58,1946-01-01,1946-12-31,ML
the 1930s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,60,1930-01-01,1939-12-31,ML
the 1940s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,60,1940-01-01,1949-12-31,ML
1935,CD,YEAR_REGEX_1,TIME,time_reference,1,72,1935-01-01,1935-12-31,ML
1941,CD,YEAR_REGEX_1,TIME,time_reference,2,72,1941-01-01,1941-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,74,1996-01-01,1996-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,1,74,2009-01-01,2009-12-31,ML
the 1942,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,74,1942-01-01,1942-12-31,ML
"June 25 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,76,2019-06-25,2019-06-25,ML
the 2008,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,76,2008-01-01,2008-12-31,ML
1940,CD,YEAR_REGEX_1,TIME,time_reference,0,78,1940-01-01,1940-12-31,ML
1940,CD,YEAR_REGEX_1,TIME,time_reference,0,79,1940-01-01,1940-12-31,ML
1940,CD,YEAR_REGEX_1,TIME,time_reference,0,80,1940-01-01,1940-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,0,81,1944-01-01,1944-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,0,82,1944-01-01,1944-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,1,83,1944-01-01,1944-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,0,84,1944-01-01,1944-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,0,85,1944-01-01,1944-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,1,86,1944-01-01,1944-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,89,1973-01-01,1973-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,2,92,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,2,93,1999-01-01,1999-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,3,94,1980-01-01,1980-12-31,ML
1947–1949,CD,YEAR_REGEX_1,TIME,time_reference,1,95,1947-01-01,1949-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,2,95,1996-01-01,1996-12-31,ML
March 1942,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,96,1942-03-01,1942-03-31,ML
"October 21 , 1946","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,97,1946-10-21,1946-10-21,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,0,103,1999-01-01,1999-12-31,ML
the early 1950s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,6,7,1950-01-01,1953-12-31,LLM
December 1935 to July 1937,NNP CD TO NNP CD,MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX YEAR_REGEX_1,TIME TIME MODIFIER TIME TIME,time_reference,9,5,1935-12-01,1937-07-31,LLM
"February 29 , 1904 – June 12 , 1957","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0,1904-02-29,1957-06-12,LLM
year,NN,TIME_UNIT_REGEX,TIME,time_reference,11,2,,,ML
early days,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,4,,,ML
Quarter Hour,NNP NNP,TIME_UNIT_REGEX TIME_UNIT_REGEX,TIME TIME,time_reference,5,4,,,ML
Tomorrow,NNP,TIMELINE_REGEX,TIME,time_reference,2,5,,,ML
Fall,NNP,SEASON_REGEX,TIME,time_reference,4,5,,,ML
the next two years,DT JJ CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,8,5,,,ML
Nightmare,NNP,DAY_TIME_REGEX,TIME,time_reference,12,5,,,ML
thirties,NNS,DECADE_REGEX,TIME,time_reference,0,6,,,ML
the first minute,DT JJ NN,PREFIX_REGEX_1 ORDINAL_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,5,6,,,ML
less than a year,JJR IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER MODIFIER MODIFIER TIME,time_reference,9,6,,,ML
the next three years,DT JJ CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,11,6,,,ML
year,NN,TIME_UNIT_REGEX,TIME,time_reference,3,7,,,ML
December 25,NNP CD,MONTH_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,3,8,,,ML
the month,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,4,8,,,ML
their winter 1957,PRP$ NN CD,PREFIX_REGEX_1 SEASON_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,,5,8,,,ML
the first decade,DT JJ NN,PREFIX_REGEX_1 ORDINAL_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,8,8,,,ML
one week,CD NN,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,,0,26,,,ML
2 weeks,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,0,29,,,ML
Dusk,NNP,DAY_TIME_REGEX,TIME,time_reference,0,31,,,ML
of Twilight,IN NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,0,52,,,ML
Tonight,NNP,DAY_TIME_REGEX,TIME,time_reference,0,56,,,ML
18799A,CD,YEAR_REGEX_1,TIME,time_reference,5,58,,,ML
26 weeks,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,0,72,,,ML
ten weeks,JJ NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,72,,,ML
Sunset,NNP,DAY_TIME_REGEX,TIME,time_reference,0,82,,,ML
25 years old,CD NNS JJ,DIGIT_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,0,89,,,ML
Years,NNP,TIME_UNIT_REGEX,TIME,time_reference,1,94,,,ML
