time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1991,CD,YEAR_REGEX_1,TIME,time_reference,He has worked on more than 140 films since 1991.,2,0,,33843117,1991-01-01,1991-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Revolutionary Road (2008),0,2,== Selected filmography ==,33843117,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Inglourious Basterds (2009),0,3,== Selected filmography ==,33843117,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,Eat Pray Love (2010),0,4,== Selected filmography ==,33843117,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,RED (2010),0,5,== Selected filmography ==,33843117,2010-01-01,2010-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Django Unchained (2012),0,6,== Selected filmography ==,33843117,2012-01-01,2012-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,Spider-Man: Homecoming (2017),0,7,== Selected filmography ==,33843117,2017-01-01,2017-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,Green Book (2018),0,8,== Selected filmography ==,33843117,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,Spider-Man: Into the Spider-Verse (2018),0,9,== Selected filmography ==,33843117,2018-01-01,2018-12-31,ML
2019,CD,YEAR_REGEX_1,TIME,time_reference,Far from Home (2019),1,10,== Selected filmography ==,33843117,2019-01-01,2019-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,Spider-Man: No Way Home (2021),0,11,== Selected filmography ==,33843117,2021-01-01,2021-12-31,ML
