time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"March 12 , 1974","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Hekiru Shiina (椎名 へきる, Shiina Hekiru, born March 12, 1974 as Makiko Shiina (椎名 牧子, Shiina Makiko)) is a Japanese voice actress and singer from Tokyo, Japan.",0,0,,799208,1974-03-12,1974-03-12,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,Her first voice role was Tenshiko in K.O. Beast in 1992.,2,0,,799208,1992-01-01,1992-12-31,ML
Pastel,NNP,TIMELINE_REGEX,TIME,time_reference,"In video games, she provided the voice of Mega Man in Mega Man: The Power Battle and Mega Man 2: The Power Fighters and Pastel in the TwinBee games.",6,0,,799208,,,ML
previously,RB,TIMELINE_REGEX,TIME,time_reference,"Shiina was previously associated with Arts Vision, a major agency for talent in Tokyo, and was working under Sony Music Records, her record label until 2009, when she changed over to Lantis and later Warner Music Japan.",7,0,,799208,,,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Shiina was previously associated with Arts Vision, a major agency for talent in Tokyo, and was working under Sony Music Records, her record label until 2009, when she changed over to Lantis and later Warner Music Japan.",7,0,,799208,2009-01-01,2009-12-31,ML
February 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,She moved from Arts Vision to Voice Kit in February 2021.,8,0,,799208,2021-02-01,2021-02-28,ML
