time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1975,CD,YEAR_REGEX_1,TIME,time_reference,"The Go Find is a Belgian group led by vocalist and multi-instrumentalist Dieter Sermeus (b. 1975), previously of Orange Black.",0,0,,3577088,1975-01-01,1975-12-31,ML
previously,RB,TIMELINE_REGEX,TIME,time_reference,"The Go Find is a Belgian group led by vocalist and multi-instrumentalist Dieter Sermeus (b. 1975), previously of Orange Black.",0,0,,3577088,,,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Miami, 2004",0,3,== Discography == | === Albums ===,3577088,2004-01-01,2004-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Stars on the Wall, 2007",0,4,== Discography == | === Albums ===,3577088,2007-01-01,2007-12-31,ML
"Tonight , 2010","NNP , CD",DAY_TIME_REGEX COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_reference,"Everybody Knows It’s Gonna Happen Only Not Tonight, 2010",0,5,== Discography == | === Albums ===,3577088,,,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Brand New Love, 2014",0,6,== Discography == | === Albums ===,3577088,2014-01-01,2014-12-31,ML
