time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1778 to 1796,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"His shop was founded c.1784, but payment records show that he was the principal music copyist for the Viennese court theatres from 1778 to 1796.",1,0,,49437348,1778-01-01,1796-12-31,ML
"July 31 , 1746 – July 9 , 1810","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Wenzel Sukowaty (July 31, 1746 – July 9, 1810) was an Austrian music copyist.",0,0,,49437348,1746-07-31,1810-07-09,LLM
