time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
1925 and 1926,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,1,0,1925-01-01,1926-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,5,1,1992-01-01,1992-12-31,ML
1926,CD,YEAR_REGEX_1,TIME,time_reference,8,1,1926-01-01,1926-12-31,ML
"September 9 , 1906 – June 2 , 1926","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0,1906-09-09,1926-06-02,LLM
Hours,NNP,TIME_UNIT_REGEX,TIME,time_reference,9,1,,,ML
Every Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,12,1,,,ML
