time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1845,CD,YEAR_REGEX_1,TIME,time_reference,"In 1845, he established his ""Piano and Music Establishment"".",1,0,,48350427,1845-01-01,1845-12-31,ML
the 1850s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,In the 1850s he began to manufacture his own organs and melodeons.,3,0,,48350427,1850-01-01,1859-12-31,ML
around 1864,RB CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"His sons, T. Leed Waters and Horace Waters Jr became active in the company around 1864.",5,0,,48350427,1864-01-01,1864-12-31,ML
