time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
26 September 1981,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Finn McNicholas aka Ultre (born 26 September 1981)  is an electronic music musician from England.,0,0,,21826566,1981-09-26,1981-09-26,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010 Tape/Recorder,0,3,== Discography == | === Albums ===,21826566,2010-01-01,2010-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009 Watch Your Thoughts EP Northern Resource records,0,5,== Discography == | === EP's ===,21826566,2009-01-01,2009-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"2009 Watch Your Thoughts EP (promo, 12"") Mesk Records",0,7,== Discography == | === Singles and promos ===,21826566,2009-01-01,2009-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007 Ultre – Ionisation (Short film directed by Flat-e),0,9,== Discography == | === Videos ===,21826566,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007 Ultre – Shadowplay (Short film directed by Flat-e),0,10,== Discography == | === Videos ===,21826566,2007-01-01,2007-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006 Another Generic Label Sampler Vol.,0,12,== Discography == | === Tracks appear on ===,21826566,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006 Overkill,0,13,== Discography == | === Tracks appear on ===,21826566,2006-01-01,2006-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006 Exhibition #3 Audiobulb Records,0,14,== Discography == | === Tracks appear on ===,21826566,2006-01-01,2006-12-31,ML
