time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
26 December 1942,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Rob de Nijs (born 26 December 1942) is a Dutch singer and actor, active since the 1960s.",0,0,,27606174,1942-12-26,1942-12-26,ML
the 1960s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Rob de Nijs (born 26 December 1942) is a Dutch singer and actor, active since the 1960s.",0,0,,27606174,1960-01-01,1969-12-31,ML
1962–1968,CD,YEAR_REGEX_1,TIME,time_reference,1962–1968,1,2,== Biography == | === 1962–1968 ===,27606174,1962-01-01,1968-12-31,ML
1962,CD,YEAR_REGEX_1,TIME,time_reference,"De Nijs, backed by The Lords, won a talent-contest in 1962 and released his first single in 1962, Ritme van de Regen.",0,3,== Biography == | === 1962–1968 ===,27606174,1962-01-01,1962-12-31,ML
1965,CD,YEAR_REGEX_1,TIME,time_reference,In 1965 De Nijs split from The Lords because they signed their own record-deal at another label; he embarked on a joint circus-tour with Johnny Lion.,1,3,== Biography == | === 1962–1968 ===,27606174,1965-01-01,1965-12-31,ML
1967,CD,YEAR_REGEX_1,TIME,time_reference,"By 1967, De Nijs was a free agent; he performed at small venues and worked as a bartender for a living.",0,4,== Biography == | === 1962–1968 ===,27606174,1967-01-01,1967-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,"His attempts to keep up with the zeitgeist, including Bye Bye Mrs. Turple, failed; he only made the headlines by marrying his girlfriend Elly in 1968.",1,4,== Biography == | === 1962–1968 ===,27606174,1968-01-01,1968-12-31,ML
1969–1972,CD,YEAR_REGEX_1,TIME,time_reference,1969–1972,1,5,== Biography == | === 1969–1972 ===,27606174,1969-01-01,1972-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,In 1969 De Nijs took part in the Dutch heat of the Eurovision Song Contest and through musicals like Sajjuns Fiksjen he landed himself a role in children's TV-series Oebele.,0,6,== Biography == | === 1969–1972 ===,27606174,1969-01-01,1969-12-31,ML
1972,CD,YEAR_REGEX_1,TIME,time_reference,This was followed in 1972 by Hamelen in which he played Bertram Bierenbroodspot.,1,6,== Biography == | === 1969–1972 ===,27606174,1972-01-01,1972-12-31,ML
1973–1979,CD,YEAR_REGEX_1,TIME,time_reference,1973–1979,1,7,== Biography == | === 1973–1979 ===,27606174,1973-01-01,1979-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,Singer Boudewijn de Groot and songwriter Lennaert Nijgh helped De Nijs relaunch his singing career; in 1973 he was back in the charts with Jan Klaassen de Trompetter.,0,8,== Biography == | === 1973–1979 ===,27606174,1973-01-01,1973-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,"In 1977 De Nijs released Tussen Zomer en Winter, a concept-album chronicling the change from a hot summer's day to a cold winter's night, which starts with the hit song Het Werd Zomer, a translation from the Peter Maffay song Und Es War Sommer, and ending with In De Winter, a translation of the Janis Ian song In The Winter.",1,9,== Biography == | === 1973–1979 ===,27606174,1977-01-01,1977-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,The album also features translations of Lou Reed's Perfect Day and The Beach Boys' Disney Girls (1957).,2,9,== Biography == | === 1973–1979 ===,27606174,1957-01-01,1957-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,In 1980 De Nijs released Met Je Ogen Dicht (With Your Eyes Closed) which included the top 10-hit Zondag and became the Netherlands' best-selling album of the year.,0,11,== Biography == | === 1980s ===,27606174,1980-01-01,1980-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,He met Belinda Meuldijk who gave up her own singing-career (after releasing only one single in 1979) to become his chief-songwriter and his second wife (they married in 1984).,1,11,== Biography == | === 1980s ===,27606174,1979-01-01,1979-12-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,He met Belinda Meuldijk who gave up her own singing-career (after releasing only one single in 1979) to become his chief-songwriter and his second wife (they married in 1984).,1,11,== Biography == | === 1980s ===,27606174,1984-01-01,1984-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,The first efforts of their collaboration were collected in 1981 on the album De Regen Voorbij (Past The Rain; a reference to his artistic growth).,2,11,== Biography == | === 1980s ===,27606174,1981-01-01,1981-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,"In 1985 De Nijs had a Christmas #2-hit with the peace-anthem Alles Wat Ademt from the album Pur Sang; the English version, Let Love Be The Answer, would also be recorded by US-exile singer Joe Bourne for his Bourne in Holland-album of translated covers.",0,12,== Biography == | === 1980s ===,27606174,1985-01-01,1985-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,In 1986 De Nijs released an album of covers from the 1950s/1960s-era; it included his version of Living Doll shortly after the Comic Relief-remake topped the charts.,1,12,== Biography == | === 1980s ===,27606174,1986-01-01,1986-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,In 1987 he celebrated his silver jubilee; he re-recorded Ritme van de Regen for a Best Of-album and made a guest-appearance in television-series De Band as himself.,0,13,== Biography == | === 1980s ===,27606174,1987-01-01,1987-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,In 1989 De Nijs released De Reiziger (Travelling Man) featuring the bilingual duet Ik Hou Alleen Van Jou.,0,14,== Biography == | === 1980s ===,27606174,1989-01-01,1989-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"In 1990 Stranger In Your Land was released, his first album of English originals plus translations of Zonder Jou (On My Own; 1981 duet with Demis Roussos), Bo (1983) and Toerist In Het Paradijs (1989) which became the title-track.",0,16,== Biography == | === 1990s ===,27606174,1990-01-01,1990-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,"In 1990 Stranger In Your Land was released, his first album of English originals plus translations of Zonder Jou (On My Own; 1981 duet with Demis Roussos), Bo (1983) and Toerist In Het Paradijs (1989) which became the title-track.",0,16,== Biography == | === 1990s ===,27606174,1981-01-01,1981-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,"In 1990 Stranger In Your Land was released, his first album of English originals plus translations of Zonder Jou (On My Own; 1981 duet with Demis Roussos), Bo (1983) and Toerist In Het Paradijs (1989) which became the title-track.",0,16,== Biography == | === 1990s ===,27606174,1983-01-01,1983-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"In 1990 Stranger In Your Land was released, his first album of English originals plus translations of Zonder Jou (On My Own; 1981 duet with Demis Roussos), Bo (1983) and Toerist In Het Paradijs (1989) which became the title-track.",0,16,== Biography == | === 1990s ===,27606174,1989-01-01,1989-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"In 1992, De Nijs appeared as a judge during the finale of the nl:Kinderen voor Kinderen festival, where he also performed the VIP-version of Allemaal kabaal (originally from the 11th edition of Kinderen voor Kinderen) with 2 children's choirs (De Waagzangertjes from Alkmaar, the Netherlands), and De Blokskes from St. Genesius-Rode, Flanders (Belgium).",2,16,== Biography == | === 1990s ===,27606174,1992-01-01,1992-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,In 1996 De Nijs scored his first #1-hit with a remix of Banger Hart.,3,16,== Biography == | === 1990s ===,27606174,1996-01-01,1996-12-31,ML
2000–present,CD,YEAR_REGEX_1,TIME,time_reference,=== 2000–present ===,0,17,== Biography == | === 2000–present ===,27606174,2000-01-01,,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,In 2010 De Nijs released the back-to-basics-album Eindelijk Vrij,0,19,== Biography == | === 2000–present ===,27606174,2010-01-01,2010-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,In 2012 he embarked on his 50th anniversary tour.,2,19,== Biography == | === 2000–present ===,27606174,2012-01-01,2012-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"In 2014 De Nijs released an album called Nieuw Ruimte with contributions from well-known songwriters like Jan Rot, Boudewijn de Groot and Daniel Lohues; the latter two reprising their earlier collaborations with De Nijs.",0,20,== Biography == | === 2000–present ===,27606174,2014-01-01,2014-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,In 2016 De Nijs was honoured with the Radio 5 Oeuvre Award and a tribute-concert.,0,21,== Biography == | === 2000–present ===,27606174,2016-01-01,2016-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,In 2017 De Nijs released Niet voor het laatst; on this album he collaborated with Meuldijk again and sang a duet with his son Robbert,0,22,== Biography == | === 2000–present ===,27606174,2017-01-01,2017-12-31,ML
September 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2019, De Nijs announced his retirement from performing after being diagnosed with Parkinson's disease.",0,23,== Biography == | === 2000–present ===,27606174,2019-09-01,2019-09-30,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,A farewell-tour and a new album were scheduled for 2020.,1,23,== Biography == | === 2000–present ===,27606174,2020-01-01,2020-12-31,ML
"March 31 , 2020","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On March 31, 2020 he appeared on the demissionary talkshow De Wereld Draait Door to perform two new songs.",2,23,== Biography == | === 2000–present ===,27606174,2020-03-31,2020-03-31,ML
1963,CD,YEAR_REGEX_1,TIME,time_reference,1963  ritme van de regen,0,24,== Biography == | === 2000–present ===,27606174,1963-01-01,1963-12-31,ML
1964,CD,YEAR_REGEX_1,TIME,time_reference,1964:,0,25,== Biography == | === 2000–present ===,27606174,1964-01-01,1964-12-31,ML
1965,CD,YEAR_REGEX_1,TIME,time_reference,1965:,0,26,== Biography == | === 2000–present ===,27606174,1965-01-01,1965-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,1973:,0,27,== Biography == | === 2000–present ===,27606174,1973-01-01,1973-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,1975:,0,28,== Biography == | === 2000–present ===,27606174,1975-01-01,1975-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,1977:,0,29,== Biography == | === 2000–present ===,27606174,1977-01-01,1977-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,1978:,0,30,== Biography == | === 2000–present ===,27606174,1978-01-01,1978-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,1980:,0,31,== Biography == | === 2000–present ===,27606174,1980-01-01,1980-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,1981:,0,32,== Biography == | === 2000–present ===,27606174,1981-01-01,1981-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,1983:,0,33,== Biography == | === 2000–present ===,27606174,1983-01-01,1983-12-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,1984:,0,34,== Biography == | === 2000–present ===,27606174,1984-01-01,1984-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,1986:,0,35,== Biography == | === 2000–present ===,27606174,1986-01-01,1986-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,1986:,0,36,== Biography == | === 2000–present ===,27606174,1986-01-01,1986-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,1987:,0,37,== Biography == | === 2000–present ===,27606174,1987-01-01,1987-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,1989:,0,38,== Biography == | === 2000–present ===,27606174,1989-01-01,1989-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,1990:,0,39,== Biography == | === 2000–present ===,27606174,1990-01-01,1990-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,1991:,0,40,== Biography == | === 2000–present ===,27606174,1991-01-01,1991-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,1993:,0,41,== Biography == | === 2000–present ===,27606174,1993-01-01,1993-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,1994:,0,42,== Biography == | === 2000–present ===,27606174,1994-01-01,1994-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996:,0,43,== Biography == | === 2000–present ===,27606174,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997: Overleven,0,44,== Biography == | === 2000–present ===,27606174,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,1997:,0,45,== Biography == | === 2000–present ===,27606174,1997-01-01,1997-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,1999:,0,46,== Biography == | === 2000–present ===,27606174,1999-01-01,1999-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,47,== Biography == | === 2000–present ===,27606174,2001-01-01,2001-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,48,== Biography == | === 2000–present ===,27606174,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,49,== Biography == | === 2000–present ===,27606174,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,2006: Thuis met Kerstmis,0,50,== Biography == | === 2000–present ===,27606174,2006-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,2008:,0,51,== Biography == | === 2000–present ===,27606174,2008-01-01,2008-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010: Eindelijk Vrij,0,52,== Biography == | === 2000–present ===,27606174,2010-01-01,2010-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,2011:,0,53,== Biography == | === 2000–present ===,27606174,2011-01-01,2011-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014:,0,54,== Biography == | === 2000–present ===,27606174,2014-01-01,2014-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,0,55,== Biography == | === 2000–present ===,27606174,2017-01-01,2017-12-31,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,2020: 'T is Mooi Geweest,0,56,== Biography == | === 2000–present ===,27606174,2020-01-01,2020-12-31,ML
twenty years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Meanwhile, he separated from Meuldijk after twenty years; he married for the third time and became a father again.",1,18,== Biography == | === 2000–present ===,27606174,2001-01-01,2021-12-31,LLM
the first decade,DT JJ NN,PREFIX_REGEX_1 ORDINAL_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,De Nijs entered the first decade of the 21st century with a knighthood and released albums with translations of meaningful Christmas-songs and French chansons (including This Melody for which Julien Clerc was flown in to sing the French parts).,0,18,== Biography == | === 2000–present ===,27606174,2000-01-01,2009-12-31,LLM
1975-1976,JJ,YEAR_REGEX_1,TIME,time_reference,"The hits continued through 1975-1976, notably Malle Babbe and Zet een Kaars voor Je Raam (a Dutch translation by Lennaert Nijgh of David McWilliams's Can I Get There by Candlelight?).",0,9,== Biography == | === 1973–1979 ===,27606174,1975-01-01,1976-12-31,LLM
Jan,NNP,MONTH_ABBR_REGEX,TIME,time_reference,Singer Boudewijn de Groot and songwriter Lennaert Nijgh helped De Nijs relaunch his singing career; in 1973 he was back in the charts with Jan Klaassen de Trompetter.,0,8,== Biography == | === 1973–1979 ===,27606174,,,ML
Winter,NNP,SEASON_REGEX,TIME,time_reference,"In 1977 De Nijs released Tussen Zomer en Winter, a concept-album chronicling the change from a hot summer's day to a cold winter's night, which starts with the hit song Het Werd Zomer, a translation from the Peter Maffay song Und Es War Sommer, and ending with In De Winter, a translation of the Janis Ian song In The Winter.",1,9,== Biography == | === 1973–1979 ===,27606174,,,ML
Day,NNP,TIME_UNIT_REGEX,TIME,time_reference,The album also features translations of Lou Reed's Perfect Day and The Beach Boys' Disney Girls (1957).,2,9,== Biography == | === 1973–1979 ===,27606174,,,ML
1980s,CD,YEAR_REGEX_1,TIME,time_reference,=== 1980s,0,10,== Biography == | === 1980s ===,27606174,,,ML
