time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"December 20 , 1907","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Pleasant Joseph, known as Cousin Joe, (December 20, 1907 — October 2, 1989) was a New Orleans blues and jazz singer, famous for his 1940s recordings with Sidney Bechet and Mezz Mezzrow.",0,0,,7183506,1907-12-20,1907-12-20,ML
"October 2 , 1989","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Pleasant Joseph, known as Cousin Joe, (December 20, 1907 — October 2, 1989) was a New Orleans blues and jazz singer, famous for his 1940s recordings with Sidney Bechet and Mezz Mezzrow.",0,0,,7183506,1989-10-02,1989-10-02,ML
1940s,CD,YEAR_REGEX_1,TIME,time_reference,"Pleasant Joseph, known as Cousin Joe, (December 20, 1907 — October 2, 1989) was a New Orleans blues and jazz singer, famous for his 1940s recordings with Sidney Bechet and Mezz Mezzrow.",0,0,,7183506,,,ML
1945,CD,YEAR_REGEX_1,TIME,time_reference,"Until 1945, Cousin Joe toured Louisiana; that year he was asked to take part in the King Jazz recording sessions organized by Mezzrow and Bechet.",0,3,== Life ==,7183506,1945-01-01,1945-12-31,ML
that year,IN NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Until 1945, Cousin Joe toured Louisiana; that year he was asked to take part in the King Jazz recording sessions organized by Mezzrow and Bechet.",0,3,== Life ==,7183506,,,ML
the 1970s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the 1970s, Cousin Joe toured extensively throughout the UK and Europe, both individually and as part of the American Blues Legends '74 revue organised by Big Bear Music.",1,3,== Life ==,7183506,1970-01-01,1979-12-31,ML
'74,POS,YEAR_REGEX_2,TIME,,"In the 1970s, Cousin Joe toured extensively throughout the UK and Europe, both individually and as part of the American Blues Legends '74 revue organised by Big Bear Music.",1,3,== Life ==,7183506,,,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Chicago : University of Chicago Press, 1987.",1,5,== Autobiography ==,7183506,1987-01-01,1987-12-31,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,1971 :,0,7,== Partial discography ==,7183506,1971-01-01,1971-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,1973 :,0,8,== Partial discography ==,7183506,1973-01-01,1973-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,1974 :,0,9,== Partial discography ==,7183506,1974-01-01,1974-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,1974 : American Blues Legends '74 (Big Bear Records),0,10,== Partial discography ==,7183506,1974-01-01,1974-12-31,ML
'74,NNP,YEAR_REGEX_2,TIME,time_reference,1974 : American Blues Legends '74 (Big Bear Records),0,10,== Partial discography ==,7183506,,,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,1984 :,0,11,== Partial discography ==,7183506,1984-01-01,1984-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,1985 :,0,12,== Partial discography ==,7183506,1985-01-01,1985-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,1995 :,0,13,== Partial discography ==,7183506,1995-01-01,1995-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,1996 :,0,14,== Partial discography ==,7183506,1996-01-01,1996-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003 :,0,15,== Partial discography ==,7183506,2003-01-01,2003-12-31,ML
1913–1965,CD,YEAR_REGEX_1,TIME,time_reference,"Magic Bostic - Bostic, Earl, 1913–1965",1,15,== Partial discography ==,7183506,1913-01-01,1965-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005 :,0,17,== Filmography ==,7183506,2005-01-01,2005-12-31,ML
29 August 1984,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,DVD The Blues of Cousin Joe (live - 29 August 1984 in New Orleans)  (Storyville Films),1,17,== Filmography ==,7183506,1984-08-29,1984-08-29,ML
