,Sentence,Business meeting,Coincidence,Education,Music making,Personal life,Public celebration
0,"Alice Margaret Ghostley (August 14, 1923 – September 21, 2007) was an American actress and singer.",0.015998486,0.013749027,2.9571734e-06,6.9579786e-05,0.00035701087,0.969823
1,"She was best known for her roles as corn-sufferer Mrs. Dobbs on Good Times, Esmeralda (1969–70; 1972) on Bewitched, as Cousin Alice (1970–71) on Mayberry R.F.D., and as Bernice Clifton (1986–93) on Designing Women, for which she received an Emmy nomination for Best Supporting Actress in a Comedy Series in 1992.",0.1882111,3.4771092e-06,7.437411e-08,3.0783554e-05,2.1025205e-08,0.8117545
2,She was a regular on Nichols (1971–72) and The Julie Andrews Hour (1972–73).,0.9998605,9.786118e-05,3.4223618e-08,3.497727e-05,1.1433592e-10,6.6860607e-06
3,==,0.124878764,0.21344112,0.0013716007,0.0017026727,0.65860575,7.902396e-08
4,Early life ==,0.0019447302,0.14564976,0.022118486,4.7269286e-06,0.8208643,0.009417957
5,"Ghostley was born in Eve, Missouri, in 1923 to Edna Muriel (née Rooney) and Harry Francis Ghostley, who worked as a telegraph operator.",0.0007148547,0.0014097153,4.307292e-08,9.60283e-06,0.99220455,0.0056612124
6,"She grew up in Henryetta, Oklahoma.",3.4842984e-07,2.2535412e-06,0.0013508411,9.58083e-07,0.9984831,0.00016244037
7,"She attended the University of Oklahoma, but dropped out to pursue a career in theater.",0.00055056735,6.3910946e-08,0.9992066,0.00024276169,9.936109e-10,4.731842e-09
8,==,0.124878764,0.21344112,0.0013716007,0.0017026727,0.65860575,7.902396e-08
9,Career ==,1.0,4.7553845e-13,2.1761314e-17,4.5407397e-19,9.245216e-14,7.686053e-12
10,===,0.0018068925,2.1080356e-05,2.7498634e-05,0.00044118572,0.9977034,1.2509472e-11
11,Stage =,3.7923456e-08,1.0238737e-09,2.0919864e-10,1.0,4.490088e-09,9.6605415e-14
12,==,0.12487878,0.21344116,0.0013716018,0.0017026735,0.6586057,7.902412e-08
13,Ghostley first came to Broadway in Leonard Sillman's New Faces of 1952 and in the film version released in 1954.,0.98685604,0.00042400695,6.385281e-13,0.012716589,3.436889e-06,1.5361234e-08
14,"She appeared in the 1960 revue A Thurber Carnival and in The Beauty Part (1962), playing several distinct roles in each.",5.633384e-07,0.58812755,2.5569358e-05,0.41184628,4.116282e-13,2.815306e-10
15,"She also performed in several musical comedies, including Shangri-La (1956).",0.0016642269,0.03118124,2.1386168e-05,0.9671331,4.3746114e-12,3.2320517e-13
16,"In 1978, she succeeded Dorothy Loudon, who had created the role of Miss Hannigan in the original Broadway run of the musical Annie.",0.83829427,8.3101884e-05,8.878837e-06,0.16161348,1.8092108e-07,4.2749204e-09
17,===,0.0018068915,2.1080356e-05,2.7498634e-05,0.00044118572,0.9977034,1.2509472e-11
18,Television =,0.00025781558,9.350069e-07,5.8261732e-05,2.0610331e-07,0.004728666,0.99495405
19,==,0.12487878,0.21344116,0.0013716018,0.0017026735,0.6586057,7.902412e-08
20,"A veteran of early television, Ghostley appeared as Joy, one of the ugly stepsisters in the 1957 musical television production of Richard Rodgers and Oscar Hammerstein's Cinderella, which starred Julie Andrews in the title role.",0.0013810429,0.7193156,3.0517874e-08,0.27927557,2.6907119e-05,8.5163543e-07
21,The other stepsister was played by actress Kaye Ballard.,1.0379194e-06,0.00019586447,8.0314413e-07,0.0068481136,0.9929386,1.5578735e-05
22,"Twelve years later, Ghostley guest-starred as a harried maternity nurse on Ballard's comedy series, The Mothers-in-Law.",0.87988013,4.125665e-05,5.494755e-07,0.0008184284,0.119255446,4.1600324e-06
23,"Ghostley guest-starred on the NBC police comedy, Car 54, Where Are You?, with Joe E. Ross and Fred Gwynne.",0.00024547765,0.99922943,8.530027e-11,0.00052319135,1.895571e-06,4.6920374e-09
24,"She portrayed recurring characters on several situation comedies, beginning with Bewitched in 1966 in ""Maid To Order"", in which Ghostley played an inept maid named Naomi, who was hired by Darrin Stephens (played by Dick York) to assist his wife Samantha (Elizabeth Montgomery) during her pregnancy.",0.85327274,0.14669229,1.3826537e-09,3.502629e-05,1.911299e-08,1.20559065e-08
25,"Towards the end of the 1965–66 season, actress-comedian Alice Pearce, who was featured as nosy neighbor Gladys Kravitz on Bewitched, died.",0.95016795,0.008957929,1.09392595e-07,0.007202114,0.0318179,0.0018539986
26,"The producers of the series immediately offered the role of Gladys to Ghostley, who refused it.",0.99969995,0.00027896478,1.585328e-05,5.2390365e-06,1.4942149e-08,1.15695106e-10
27,"As a result, in the fall of 1966, character actress Sandra Gould assumed the role of Gladys.",0.00085700623,2.446008e-06,4.807626e-06,0.009461397,0.989668,6.428089e-06
28,"In September 1969, after the death of actress Marion Lorne, who played Aunt Clara, Ghostley joined Bewitched as a semiregular in the role of Esmeralda, a shy witch who served as a maid and babysitter to the Stephens' household.",0.99588627,2.0430563e-05,3.1987452e-07,0.0036469765,0.0003683751,7.7686724e-05
29,Ghostley's character of Esmeralda was created to replace Aunt Clara's role as a bumbler of magic.,0.9887518,0.0006155495,3.7019304e-06,1.21472185e-05,0.008899912,0.0017170102
30,"(Coincidentally, Ghostley and Lorne shared a brief scene together in the 1967 film The Graduate, a few months prior to Lorne's death and before Ghostley was cast in Bewitched.)Ghostley's Esmeralda appeared in 15 episodes of Bewitched between 1969 and 1972.",0.9950481,0.0029810106,2.3298729e-07,2.4109806e-05,0.00065138424,0.0012951876
31,"During her two years on Bewitched, Ghostley also joined the cast of Mayberry R.F.D., playing Cousin Alice after Frances Bavier's character, Aunt Bee, was written out of the series.",0.7153252,0.060321264,8.0183793e-10,0.22434305,7.8486355e-06,2.677001e-06
32,She appeared in 14 episodes.,0.082432605,0.079459175,0.00027133644,0.29455733,1.0244479e-07,0.54327947
33,"On February 22, 1969, she appeared as Aggie on The Ghost & Mrs Muir (starring Edward Mulhare and Hope Lange).",0.62440425,0.0012843369,0.00027602247,0.00149007,0.086936854,0.28560853
34,"The episode was entitled ""Make Me A Match"".",0.00016988766,0.9950702,4.249759e-09,2.963749e-06,2.3133808e-07,0.0047567175
35,The captain and Mrs. Muir matched her with Claymore Gregg (Charles Nelson Reilly).,0.0014398617,0.9936232,8.03987e-05,0.00015675147,0.0045669214,0.00013292115
36,"On March 6, 1970, she appeared on another episode of The Ghost & Mrs Muir, ""Curious Cousin"".",0.0020842976,0.55267906,0.004145269,0.24534376,0.16213775,0.033609837
37,She played nosey Cousin Harriet.,0.0029468804,0.0047042537,0.14721291,0.8401225,0.005012944,4.6196263e-07
38,She interferes with Mrs Muir's private life.,5.271378e-05,5.7517245e-05,7.9655877e-07,0.01668369,0.009073698,0.97413164
39,"To divert her excessive attention, Claymore, posing as Captain Gregg, comes to court her.",0.8218641,0.0017994585,5.7413697e-08,0.1759493,2.4097608e-07,0.00038683313
40,"After eight years, Bewitched was cancelled by ABC in the spring of 1972.",0.9999075,3.5233548e-08,1.1932945e-09,1.3018305e-05,5.2806204e-09,7.954673e-05
41,"Later that year in September, Ghostley was hired as a semiregular for the ABC-TV variety series, The Julie Andrews Hour; in addition to participating in songs and sketches, Andrews and Ghostley were featured in a recurring segment as roommates sharing a small apartment.",0.05930408,0.9406958,1.8442585e-10,5.583399e-08,2.3233895e-09,7.4720404e-08
42,The Julie Andrews Hour was cancelled by ABC in the spring of 1973 after 24 episodes.,0.9999906,1.1259108e-06,6.6831424e-10,7.003781e-06,2.797574e-09,1.364772e-06
43,"Throughout the 1970s and 1980s, Ghostley appeared in episodes of situation comedies such as Hogan's Heroes (alternating with Kathleen Freeman playing Gertrude Linkmaier, General Burkhalter's sister), Good Times, Maude, One Day at a Time, The Odd Couple, and What's Happening!!.",0.07176804,0.15206929,2.5525578e-08,0.77616155,1.1029005e-06,3.724647e-08
44,"Between 1986 and 1993, Ghostley portrayed Bernice Clifton, the slightly off-kilter, eccentric friend of Julia and Suzanne Sugarbaker's mother, Perky, on Designing Women.",0.7021767,0.26618025,3.8185193e-09,6.733281e-05,0.024989253,0.0065865084
45,She later played Irna Wallingsford in six episodes of Evening Shade.,0.00645052,5.2675732e-05,0.011415336,0.9818381,2.4758765e-05,0.00021846959
46,"She also had a recurring role of Ida Mae Brindle in the sitcom Small Wonder, which ran from 1985 to 1989.",0.0005445573,0.099599026,4.1643347e-09,0.86768377,0.031951718,0.00022097761
47,"Among many other guest roles, she appeared in a flashback episode as the crazed mother-in-law of Dorothy Zbornak (Bea Arthur) on The Golden Girls.",2.3827909e-06,0.12527981,8.0211e-08,0.87216794,0.0025497354,1.8109052e-08
48,She made a one-time appearance as Great-Grandma in Sabrina the Teenage Witch.,0.034895074,0.59113604,0.0036633234,0.37025735,4.643137e-05,1.7441304e-06
49,"Ghostley also made a few guest appearances on the daytime drama Passions in 2000, playing the ghost of Matilda Matthews.",1.83639e-05,0.002693854,6.8277872e-09,0.99728763,6.4873845e-08,2.1386708e-09
50,===,0.0018068925,2.1080356e-05,2.7498634e-05,0.00044118572,0.9977034,1.2509472e-11
51,Film =,0.15170707,3.3495894e-08,0.00035133093,6.7241876e-07,0.63270456,0.21523634
52,==,0.124878764,0.21344112,0.0013716007,0.0017026727,0.65860575,7.902396e-08
53,"Among her roles in motion pictures, Ghostley appeared in To Kill a Mockingbird (1962), playing Stephanie Crawford, the neighborhood gossip.",0.2945429,0.022758152,0.029959463,0.652595,0.00012650773,1.7977587e-05
54,She starred in Gator as Gator's partner in crime who brings her cats along on a burglary.,0.999897,1.969916e-06,5.8677404e-05,2.6733262e-05,1.5579622e-05,1.9494756e-08
55,She appeared in the film version of Grease as shop teacher Mrs. Murdock.,0.014652166,0.981202,0.0020247474,1.580589e-05,0.00018797861,0.0019173397
56,"In 1985, she had a supporting role in the Nancy Allen comedy Not for Publication.",6.507613e-05,0.0015205352,1.0361313e-09,0.9981067,5.9249206e-09,0.00030763677
57,Alice played Grandmama in the direct-to-video movie Addams Family Reunion.,0.8958661,0.093136586,0.0019946531,0.00880801,1.3679913e-05,0.00018101858
58,==,0.124878764,0.21344116,0.0013716005,0.0017026726,0.6586057,7.9023955e-08
59,Awards ==,8.535015e-10,2.7788607e-08,7.9906405e-13,1.32074065e-11,1.5073718e-12,1.0
60,Ghostley received a Tony nomination in 1963 for different roles she played in the Broadway comedy The Beauty Part.,0.0024461849,0.9463331,7.234094e-08,0.051215567,1.6507752e-12,5.006464e-06
61,She also received a Tony award for Best Featured Actress for her role in The Sign in Sidney Brustein's Window.,0.0024455418,8.545829e-08,9.0693e-09,0.99687,3.3900469e-10,0.00068436936
