source,thm_type_1,thm_type_2,thm_explanation_1,thm_explanation_2,sentenceIndex,paragraphIndex
ML,Public celebration,Confidence value: 0.8428281,Education,Confidence value: 0.12980689,0.0,0.0
ML,Business meeting,Confidence value: 0.6212573,Personal life,Confidence value: 0.37870404,3.0,0.0
ML,Public celebration,Confidence value: 0.9984108,Business meeting,Confidence value: 0.0010242224,0.0,2.0
ML,Public celebration,Confidence value: 0.91461694,Personal life,Confidence value: 0.07351367,2.0,2.0
ML,Business meeting,Confidence value: 0.9252669,Music making,Confidence value: 0.07130992,4.0,2.0
ML,Public celebration,Confidence value: 0.9970108,Education,Confidence value: 0.002916389,5.0,2.0
ML,Music making,Confidence value: 0.9993006,Public celebration,Confidence value: 0.000696995,10.0,2.0
ML,Education,Confidence value: 0.76052517,Public celebration,Confidence value: 0.11773103,0.0,3.0
ML,Public celebration,Confidence value: 0.9991689,Coincidence,Confidence value: 0.0008160078,2.0,3.0
ML,Public celebration,Confidence value: 0.9995671,Business meeting,Confidence value: 0.00039539408,9.0,3.0
ML,Public celebration,Confidence value: 0.9656938,Education,Confidence value: 0.031926863,10.0,3.0
